neuron_id,group,n_pairs,source,n_groups,exclusive,swc
1005857944,dense,1,EM,1,True,True
1008024276,dense,8,EM,1,True,True
1008378609,dense,1,EM,1,True,True
1012954687,dense,1,EM,1,True,True
1013346945,dense,1,EM,1,True,True
1014344148,dense,1,EM,1,True,True
1035601661,dense,1,EM,1,True,True
1036637638,dense,1,EM,1,True,True
1037293275,dense,2,EM,1,True,True
1042656011,dense,1,EM,1,True,True
1043117106,dense,1,EM,1,True,True
1043705078,dense,2,EM,1,True,True
1048250312,dense,1,EM,1,True,True
1051980223,dense,1,EM,1,True,True
1070426862,dense,7,EM,1,True,True
1105169664,dense,1,EM,1,True,True
1107081827,dense,1,EM,1,True,True
1107561814,dense,1,EM,1,True,True
1110972158,dense,1,EM,1,True,True
1131827390,dense,5,EM,1,True,True
1134107162,dense,1,EM,1,True,True
1135441187,dense,3,EM,1,True,True
1135837629,dense,1,EM,1,True,True
1160073701,dense,1,EM,1,True,True
1167304403,dense,1,EM,1,True,True
1168915489,dense,1,EM,1,True,True
1191315642,dense,1,EM,1,True,True
1192019859,dense,1,EM,1,True,True
1198330286,dense,2,EM,1,True,True
1224595608,dense,1,EM,1,True,True
1224941044,dense,1,EM,1,True,True
1225290633,dense,3,EM,1,True,True
1225640135,dense,1,EM,1,True,True
1228265278,dense,1,EM,1,True,True
1261000309,dense,1,EM,1,True,True
1261423370,dense,1,EM,2,False,True
1262360335,dense,1,EM,1,True,True
1289359184,dense,2,EM,1,True,True
1316245799,dense,1,EM,1,True,True
1321564092,dense,3,EM,1,True,True
1352684733,dense,1,EM,1,True,True
1354368623,dense,1,EM,1,True,True
1378251040,dense,3,EM,1,True,True
1383016399,dense,1,EM,1,True,True
1406911688,dense,3,EM,1,True,True
1443135486,dense,1,EM,1,True,True
1449247522,dense,2,EM,1,True,True
1449618949,dense,1,EM,1,True,True
1479156699,dense,1,EM,1,True,True
1480525278,dense,1,EM,1,True,True
1572390197,dense,2,EM,1,True,True
1578826464,dense,1,EM,1,True,True
1630051981,dense,1,EM,1,True,True
1639886198,dense,1,EM,2,False,True
1640555311,dense,4,EM,2,False,True
1640572741,dense,1,EM,1,True,True
1640887603,dense,2,EM,1,True,True
1640909284,dense,1,EM,1,True,True
1640922516,dense,6,EM,1,True,True
1640922754,dense,1,EM,1,True,True
1666561406,dense,1,EM,1,True,True
1667251683,dense,2,EM,1,True,True
