rule,target,coverage,false_intake,precision,n_selected,n_target
"D5-a  前兩名腦區 = {mb_4, dfp_5}",projection,0.8543689320388349,0.1360544217687075,0.8148148148148148,108,103
D5-b  同上 且 share_2_total >= 0.20,projection,0.6699029126213593,0.047619047619047616,0.9078947368421053,76,103
D5-c  同上 且 share_2_total >= 0.25,projection,0.5825242718446602,0.006802721088435374,0.9836065573770492,61,103
D5-d  同上 且 share_12_total >= 0.65,projection,0.5145631067961165,0.061224489795918366,0.8548387096774194,62,103
"D5-e  主腦區屬 {mb_4,dfp_5} 且 share_2_total>=0.20",projection,0.7281553398058253,0.1292517006802721,0.7978723404255319,94,103
D2-a  vox_1 >= 20000,dense,0.891156462585034,0.27184466019417475,0.8238993710691824,159,147
D2-b  vox_1 >= 30000,dense,0.7619047619047619,0.18446601941747573,0.8549618320610687,131,147
D2-c  vox_1 >= 20000 且 share_2_total <= 0.25,dense,0.7687074829931972,0.17475728155339806,0.8625954198473282,131,147
"D2-d  vox_1 >= 20000 且 前兩名腦區 != {mb_4,dfp_5}",dense,0.7619047619047619,0.07766990291262135,0.9333333333333333,120,147
D2-e  vox_1 >= 15000 且 share_2_total <= 0.25 且 非D5腦區,dense,0.673469387755102,0.07766990291262135,0.9252336448598131,107,147
