neuron_id,group,region_1,region_2,vox_1,vox_2,vox_neuropil,vox_total,vox_other,other_frac,share_1,share_2,share_12,share_1_total,share_2_total,share_12_total,side_1,side_2,side_share_1,side_share_2,top2_sides_same_region,region_pair
5HT1A-F-200016,dense,ccp_16,vmp_15,36712.0,25728.0,131262.0,157264.0,26002.0,0.1653398107640655,0.279684904999162,0.19600493669150248,0.47568984169066447,0.2334418557330349,0.16359751755010682,0.3970393732831417,ccp_16_r,vmp_15_r,0.206304947357194,0.19600493669150248,False,ccp_16 + vmp_15
Cha-F-000088,dense,al_3,ms_12,79017.0,8699.0,90486.0,112206.0,21720.0,0.19357253622800918,0.8732511106690538,0.09613641889353049,0.9693875295625842,0.704213678412919,0.0775270484644315,0.7817407268773506,al_3_r,ms_12_r,0.8732511106690538,0.09613641889353049,False,al_3 + ms_12
Cha-F-000239,dense,al_3,dmp_10,31666.0,11513.0,69156.0,85582.0,16426.0,0.19193288308289128,0.4578923014633582,0.16647868586962808,0.6243709873329862,0.37000771190203546,0.13452595171881937,0.5045336636208548,al_3_r,dmp_10_r,0.4578923014633582,0.16647868586962808,False,al_3 + dmp_10
Cha-F-000329,dense,vlp_21,dlp_23,23441.0,17222.0,55719.0,61116.0,5397.0,0.08830748085607697,0.420700299718229,0.30908666702561066,0.7297869667438396,0.38354931605471565,0.2817920020943779,0.6653413181490935,vlp_21_r,dlp_23_r,0.420700299718229,0.30720221109495865,False,dlp_23 + vlp_21
Cha-F-000427,dense,lh_25,dfp_5,29119.0,1970.0,33024.0,34651.0,1627.0,0.04695391186401547,0.8817526647286822,0.05965358527131783,0.94140625,0.8403509278231508,0.05685261608611584,0.8972035439092667,lh_25_r,dfp_5_r,0.8817526647286822,0.05965358527131783,False,dfp_5 + lh_25
Cha-F-000461,dense,dlp_23,lh_25,46455.0,38881.0,165735.0,186515.0,20780.0,0.11141195078143849,0.2802968594442936,0.23459739946299815,0.5148942589072918,0.24906843953569419,0.20846044554057314,0.4575288850762673,dlp_23_r,lh_25_r,0.2802968594442936,0.23459739946299815,False,dlp_23 + lh_25
Cha-F-100135,dense,dfp_5,ms_12,38225.0,4606.0,47579.0,53481.0,5902.0,0.11035694919691105,0.8034006599550222,0.09680741503604531,0.9002080749910675,0.714739814139601,0.08612404405302818,0.8008638581926292,dfp_5_r,dfp_5_l,0.6552260451039325,0.14817461485108976,True,dfp_5 + ms_12
Cha-F-200299,dense,vlp_21,dmp_10,159328.0,5807.0,169561.0,176725.0,7164.0,0.04053755835337389,0.9396500374496494,0.034247262047286814,0.9738972994969362,0.9015589192247843,0.03285896166360164,0.934417880888386,vlp_21_r,dmp_10_r,0.9396500374496494,0.034247262047286814,False,dmp_10 + vlp_21
Cha-F-300267,dense,dfp_5,dlp_23,37868.0,7141.0,54445.0,61876.0,7431.0,0.12009502876721184,0.695527596657177,0.13115988612361099,0.826687482780788,0.6119981899282436,0.11540823582649169,0.7274064257547352,dfp_5_r,dlp_23_r,0.6084488933786389,0.13115988612361099,False,dfp_5 + dlp_23
Cha-F-300344,dense,vlp_21,spp_20,40663.0,5533.0,54140.0,57291.0,3151.0,0.05499991272625718,0.751071296638345,0.10219800517177688,0.853269301810122,0.7097624408720392,0.09657712380653156,0.8063395646785708,vlp_21_r,dmp_10_r,0.751071296638345,0.06534909493904692,False,spp_20 + vlp_21
Cha-F-400237,dense,vlp_21,dmp_10,226291.0,4316.0,236952.0,249945.0,12993.0,0.05198343635599832,0.9550077652857962,0.01821465950909889,0.9732224247948952,0.9053631798995779,0.017267798915761468,0.9226309788153394,vlp_21_r,dmp_10_r,0.9550077652857962,0.01821465950909889,False,dmp_10 + vlp_21
Cha-F-400298,dense,eb_8,lat_tri_7,9601.0,1701.0,13306.0,19601.0,6295.0,0.32115708382225394,0.721554186081467,0.1278370659852698,0.8493912520667368,0.4898219478598031,0.0867812866690475,0.5766032345288505,eb_8_r,eb_8_l,0.38539004960168344,0.33616413647978355,True,eb_8 + lat_tri_7
Cha-F-500071,dense,vlp_21,spp_20,47230.0,3044.0,54174.0,59059.0,4885.0,0.0827138962732183,0.8718204304647986,0.05618931590800015,0.9280097463727988,0.7997087658104607,0.05154167866032273,0.8512504444707835,vlp_21_r,spp_20_r,0.8448886919924687,0.02997747997194226,False,spp_20 + vlp_21
Cha-F-500310,dense,dlp_23,idlp_24,22614.0,5489.0,32632.0,37236.0,4604.0,0.12364378558384359,0.693000735474381,0.1682091198823241,0.861209855356705,0.6073155011279407,0.14741110753034697,0.7547266086582877,dlp_23_r,idlp_24_r,0.693000735474381,0.1682091198823241,False,dlp_23 + idlp_24
Cha-F-700236,dense,lh_25,spp_20,40270.0,11504.0,72732.0,78078.0,5346.0,0.06846999154691462,0.5536765110267833,0.15816971896826706,0.7118462299950503,0.5157662849970542,0.14733983964753194,0.6631061246445862,lh_25_r,spp_20_r,0.5536765110267833,0.15816971896826706,False,lh_25 + spp_20
Cha-F-800090,dense,dfp_5,dlp_23,73287.0,35308.0,138600.0,180221.0,41621.0,0.23094422958478755,0.5287662337662338,0.2547474747474747,0.7835137085137085,0.4066507232786412,0.19591501545324908,0.6025657387318903,dfp_5_r,dlp_23_r,0.5287662337662338,0.2547474747474747,False,dfp_5 + dlp_23
E0585-F-600004,dense,dlp_23,idlp_24,24242.0,3522.0,30790.0,34363.0,3573.0,0.10397811599685708,0.7873335498538486,0.11438778824293602,0.9017213380967847,0.7054680906789279,0.10249396152838809,0.807962052207316,dlp_23_r,idlp_24_r,0.7873335498538486,0.11438778824293602,False,dlp_23 + idlp_24
GH146-M-000001,dense,al_3,dfp_5,100370.0,4091.0,115064.0,133287.0,18223.0,0.13672001020354574,0.8722971563651533,0.0355541263992213,0.9078512827643747,0.7530366802463856,0.030693165875141613,0.7837298461215272,al_3_r,dfp_5_r,0.8722971563651533,0.0355541263992213,False,al_3 + dfp_5
Gad1-F-000245,dense,dfp_5,fb_6,21379.0,17302.0,57641.0,71970.0,14329.0,0.19909684590801724,0.3708991863430544,0.30016828299300846,0.6710674693360629,0.2970543281923024,0.24040572460747534,0.5374600527997777,dfp_5_r,fb_6_l,0.2442532225325723,0.18885862493711073,False,dfp_5 + fb_6
Gad1-F-000694,dense,vlp_21,lh_25,84954.0,1225.0,86925.0,89088.0,2163.0,0.02427936422413793,0.9773252804141501,0.014092608570606844,0.991417888984757,0.9535964439655172,0.013750448994252873,0.9673468929597702,vlp_21_r,lh_25_r,0.9773252804141501,0.014092608570606844,False,lh_25 + vlp_21
Gad1-F-000703,dense,lh_25,dlp_23,97599.0,12940.0,124701.0,134143.0,9442.0,0.07038757147223486,0.7826641326051916,0.10376821356685191,0.8864323461720435,0.727574305032689,0.09646422101786899,0.8240385260505579,lh_25_r,dlp_23_r,0.7826641326051916,0.10376821356685191,False,dlp_23 + lh_25
Gad1-F-100171,dense,dfp_5,fb_6,20634.0,12135.0,37169.0,43840.0,6671.0,0.15216697080291972,0.5551400360515484,0.3264817455406387,0.8816217815921871,0.4706660583941606,0.27680200729927007,0.7474680656934306,dfp_5_r,fb_6_l,0.5551400360515484,0.1701417848206839,False,dfp_5 + fb_6
Gad1-F-100784,dense,fb_6,dfp_5,35425.0,32889.0,99426.0,127529.0,28103.0,0.22036556391095358,0.35629513406955926,0.3307887272946714,0.6870838613642307,0.27777995593159205,0.2578942828689945,0.5356742388005865,dfp_5_r,fb_6_r,0.3307887272946714,0.2118761692112727,False,dfp_5 + fb_6
Gad1-F-200186,dense,al_3,ms_12,15016.0,7137.0,26666.0,36700.0,10034.0,0.2734059945504087,0.5631140778519463,0.2676441911047776,0.8307582689567239,0.40915531335149863,0.19446866485013625,0.6036239782016348,al_3_r,ms_12_r,0.5609390234755869,0.2403435085877147,False,al_3 + ms_12
Gad1-F-200219,dense,dfp_5,fspp_19,29018.0,4548.0,43500.0,51049.0,7549.0,0.147877529432506,0.667080459770115,0.10455172413793104,0.771632183908046,0.5684342494466101,0.08909087347450488,0.657525122921115,dfp_5_r,fspp_19_r,0.667080459770115,0.10455172413793104,False,dfp_5 + fspp_19
Gad1-F-200247,dense,dlp_23,spp_20,55623.0,25051.0,135419.0,149826.0,14407.0,0.09615821019048763,0.41074738404507494,0.18498881250046154,0.5957361965455364,0.3712506507548757,0.16720061938515343,0.5384512701400291,dlp_23_r,spp_20_r,0.41074738404507494,0.18498881250046154,False,dlp_23 + spp_20
Gad1-F-200719,dense,al_3,ms_12,46017.0,7822.0,54621.0,62756.0,8135.0,0.1296290394543948,0.8424781677376834,0.14320499441606707,0.9856831621537504,0.7332685320925489,0.12464146854484033,0.8579100006373892,al_3_r,ms_12_r,0.7896230387579869,0.14320499441606707,False,al_3 + ms_12
Gad1-F-400220,dense,dfp_5,fspp_19,27663.0,1572.0,31403.0,34954.0,3551.0,0.10159066201293128,0.8809030984300863,0.05005891156895838,0.9309620099990447,0.7914115694913315,0.04497339360302111,0.8363849630943526,dfp_5_r,fspp_19_r,0.8809030984300863,0.05005891156895838,False,dfp_5 + fspp_19
Gad1-F-500004,dense,dlp_23,lh_25,44058.0,33384.0,129296.0,146923.0,17627.0,0.11997440836356459,0.34075300086622945,0.2581982427917337,0.5989512436579632,0.29987136118919433,0.22722106137228343,0.5270924225614778,dlp_23_r,lh_25_r,0.34075300086622945,0.2581982427917337,False,dlp_23 + lh_25
Gad1-F-500321,dense,spp_20,lh_25,26582.0,22344.0,62165.0,71536.0,9371.0,0.13099698054126593,0.4276039572106491,0.35943054773586425,0.7870345049465133,0.37158912994855736,0.3123462312681727,0.68393536121673,spp_20_r,lh_25_r,0.4276039572106491,0.35943054773586425,False,lh_25 + spp_20
Gad1-F-500457,dense,eb_8,mb_4,11008.0,4991.0,19322.0,31712.0,12390.0,0.39070383451059537,0.5697132801987372,0.2583065935203395,0.8280198737190767,0.34712411705348134,0.15738521695257315,0.5045093340060545,eb_8_r,eb_8_l,0.3054549218507401,0.2642583583479971,True,eb_8 + mb_4
Gad1-F-600059,dense,dlp_23,mb_4,19932.0,14113.0,48436.0,57248.0,8812.0,0.15392677473448854,0.41151209843917747,0.29137418449087454,0.7028862829300521,0.3481693683622135,0.2465238960313024,0.5946932643935159,dlp_23_r,mb_4_r,0.41151209843917747,0.20786192088529193,False,dlp_23 + mb_4
Gad1-F-600604,dense,al_3,vlp_21,43161.0,13703.0,76875.0,87837.0,10962.0,0.1247993442398989,0.5614439024390244,0.17825040650406504,0.7396943089430894,0.49137607158714436,0.1560048726618623,0.6473809442490067,al_3_r,vlp_21_r,0.5614439024390244,0.17825040650406504,False,al_3 + vlp_21
Gad1-F-700172,dense,al_3,ms_12,23589.0,1687.0,25534.0,30637.0,5103.0,0.1665633058067043,0.9238270541239132,0.06606877105036423,0.9898958251742774,0.7699513659953651,0.05506413813362927,0.8250155041289944,al_3_r,al_3_l,0.8749902091329208,0.048836844990992404,True,al_3 + ms_12
Gad1-F-700193,dense,al_3,lh_25,21934.0,3192.0,27810.0,42766.0,14956.0,0.3497170649581443,0.7887090974469615,0.11477885652642934,0.9034879539733909,0.5128840667820231,0.07463873170275452,0.5875227984847776,al_3_r,lh_25_r,0.7887090974469615,0.11477885652642934,False,al_3 + lh_25
