rule,target,coverage_of_target,false_intake_from_other,margin
share_1 >= 0.30,dense,0.9251700680272109,1.0,-0.07482993197278909
share_1 >= 0.35,dense,0.891156462585034,0.9902912621359223,-0.09913479955088833
share_1 >= 0.40,dense,0.8367346938775511,0.9514563106796117,-0.11472161680206061
share_1 >= 0.45,dense,0.7414965986394558,0.8349514563106796,-0.09345485767122375
share_1 >= 0.50,dense,0.6394557823129252,0.6116504854368932,0.02780529687603206
share_1 >= 0.55,dense,0.5102040816326531,0.3883495145631068,0.12185456706954628
share_1 >= 0.60,dense,0.42857142857142855,0.2621359223300971,0.16643550624133147
share_1 >= 0.65,dense,0.3877551020408163,0.1553398058252427,0.2324152962155736
share_1 >= 0.70,dense,0.3129251700680272,0.10679611650485436,0.20612905356317285
share_1 >= 0.75,dense,0.272108843537415,0.0970873786407767,0.17502146489663828
share_1 >= 0.80,dense,0.22448979591836735,0.06796116504854369,0.15652863086982366
share_1 >= 0.85,dense,0.17006802721088435,0.02912621359223301,0.14094181361865132
share_1_total >= 0.30,dense,0.8503401360544217,0.941747572815534,-0.09140743676111229
share_1_total >= 0.35,dense,0.7687074829931972,0.6990291262135923,0.06967835677960499
share_1_total >= 0.40,dense,0.6666666666666666,0.5145631067961165,0.15210355987055013
share_1_total >= 0.45,dense,0.5102040816326531,0.3106796116504854,0.19952446998216766
share_1_total >= 0.50,dense,0.42857142857142855,0.18446601941747573,0.24410540915395282
share_1_total >= 0.55,dense,0.36054421768707484,0.11650485436893204,0.2440393633181428
share_1_total >= 0.60,dense,0.32653061224489793,0.0970873786407767,0.22944323360412122
share_1_total >= 0.65,dense,0.2653061224489796,0.07766990291262135,0.18763621953635826
share_1_total >= 0.70,dense,0.22448979591836735,0.04854368932038835,0.175946106597979
share_1_total >= 0.75,dense,0.10884353741496598,0.02912621359223301,0.07971732382273297
share_1_total >= 0.80,dense,0.05442176870748299,0.009708737864077669,0.04471303084340532
share_1_total >= 0.85,dense,0.027210884353741496,0.0,0.027210884353741496
share_2 >= 0.10,projection,0.941747572815534,0.7891156462585034,0.15263192655703062
share_2 <= 0.10,dense,0.2108843537414966,0.05825242718446602,0.1526319265570306
share_2 >= 0.12,projection,0.9223300970873787,0.7074829931972789,0.21484710389009976
share_2 <= 0.12,dense,0.2925170068027211,0.07766990291262135,0.21484710389009973
share_2 >= 0.14,projection,0.912621359223301,0.6462585034013606,0.2663628558219404
share_2 <= 0.14,dense,0.35374149659863946,0.08737864077669903,0.2663628558219404
share_2 >= 0.16,projection,0.9029126213592233,0.5510204081632653,0.3518922131959581
share_2 <= 0.16,dense,0.4489795918367347,0.0970873786407767,0.351892213195958
share_2 >= 0.18,projection,0.883495145631068,0.47619047619047616,0.40730466944059185
share_2 <= 0.18,dense,0.5238095238095238,0.11650485436893204,0.4073046694405918
share_2 >= 0.20,projection,0.883495145631068,0.4217687074829932,0.4617264381480748
share_2 <= 0.20,dense,0.5782312925170068,0.11650485436893204,0.46172643814807474
share_2 >= 0.22,projection,0.8640776699029126,0.38095238095238093,0.48312528895053164
share_2 <= 0.22,dense,0.6190476190476191,0.13592233009708737,0.4831252889505317
share_2 >= 0.24,projection,0.8155339805825242,0.32653061224489793,0.4890033683376263
share_2 <= 0.24,dense,0.673469387755102,0.18446601941747573,0.48900336833762625
share_2 >= 0.26,projection,0.7669902912621359,0.2857142857142857,0.4812760055478502
share_2 <= 0.26,dense,0.7142857142857143,0.23300970873786409,0.4812760055478502
share_2 >= 0.28,projection,0.7184466019417476,0.23809523809523808,0.4803513638465095
share_2 <= 0.28,dense,0.7619047619047619,0.2815533980582524,0.48035136384650945
share_2 >= 0.30,projection,0.6990291262135923,0.20408163265306123,0.494947493560531
share_2 <= 0.30,dense,0.7959183673469388,0.30097087378640774,0.494947493560531
