group,region_1,n,pct
dense,dfp_5,50,34.01360544217687
dense,al_3,24,16.3265306122449
dense,vlp_21,19,12.925170068027212
dense,dlp_23,18,12.244897959183673
dense,fb_6,18,12.244897959183673
dense,lh_25,6,4.081632653061225
dense,eb_8,4,2.7210884353741496
dense,spp_20,3,2.0408163265306123
dense,dmp_10,2,1.3605442176870748
dense,ccp_16,1,0.6802721088435374
dense,cmp_13,1,0.6802721088435374
dense,lob_27,1,0.6802721088435374
projection,mb_4,63,61.165048543689316
projection,dfp_5,38,36.89320388349515
projection,eb_8,1,0.9708737864077669
projection,lh_25,1,0.9708737864077669
