feature_set,model,n,features,balanced_acc_mean,balanced_acc_sd,auc_mean,auc_sd
B_swc_neuropil,logistic,250,"cable_length_um, sidetot_top2, arbor_separation",0.8783722943722944,0.06759621172952597,0.9335186147186145,0.05030081735079144
B_minimal,logistic,250,"cable_length_um, sidetot_top2",0.8709696969696971,0.06458980565032604,0.9230666666666666,0.05830904480167659
A_swc_minimal,logistic,250,"cable_length_um, arbor_separation",0.8566017316017317,0.0660876319871276,0.9083324675324677,0.06019540044318872
B_minimal,tree_d2,250,"cable_length_um, sidetot_top2",0.8545865800865802,0.06997237067404745,0.8897584415584414,0.06031327832047194
A_swc_minimal,tree_d2,250,"cable_length_um, arbor_separation",0.8417207792207791,0.07448092127419237,0.9016073593073592,0.06406974308203991
A_swc_only,tree_d2,250,"cable_length_um, n_branch_points, arbor_separation, span_um",0.8417207792207791,0.07448092127419237,0.9010731601731601,0.06553459605228476
B_swc_neuropil,tree_d2,250,"cable_length_um, sidetot_top2, arbor_separation",0.8407943722943724,0.07527939037184145,0.8987411255411254,0.05883855974521672
A_swc_only,logistic,250,"cable_length_um, n_branch_points, arbor_separation, span_um",0.8399177489177488,0.06336560903627513,0.9033177489177491,0.06081474878295502
B_neuropil_only,logistic,250,"sidetot_top2, regiontot_balance21, sidetot_n_above_20pct",0.7703008658008658,0.0759895292269013,0.8415783549783549,0.06985564348234125
B_neuropil_only,tree_d2,250,"sidetot_top2, regiontot_balance21, sidetot_n_above_20pct",0.7232683982683983,0.06314608155439551,0.7962238095238093,0.06968172774506297
