feature,scope,spearman_rho,p,n
region_top2,pooled,-0.5298896942351077,1.6841290435845297e-19,250
region_top2,dense,-0.1042848831498538,0.20874509420232693,147
region_top2,projection,-0.28906558889425826,0.003062583455126918,103
side_top2,pooled,-0.5517119953919263,2.584290559151743e-21,250
side_top2,dense,-0.03189672759144384,0.7013316845153723,147
side_top2,projection,-0.20012739972762816,0.04267910090668613,103
region_balance21,pooled,-0.35315701051216813,9.356293276352051e-09,250
region_balance21,dense,-0.0036758872375310734,0.9647549912432589,147
region_balance21,projection,-0.17719544875455784,0.07335946049068791,103
side_balance21,pooled,-0.3371938751020016,4.611056794639047e-08,250
side_balance21,dense,0.016362042780829474,0.8440632053169244,147
side_balance21,projection,-0.05846109915213286,0.5574882197296201,103
region_top1,pooled,0.0072304516872269955,0.9094343670628838,250
region_top1,dense,-0.1318559263764743,0.11138932466939316,147
region_top1,projection,-0.011784474805605589,0.9059536961563197,103
region_top3_sum,pooled,-0.5866872146581116,1.6297477025844772e-24,250
region_top3_sum,dense,-0.3093298778230285,0.00013765582738059287,147
region_top3_sum,projection,-0.3501284774238661,0.00028838766340413943,103
region_n_above_20pct,pooled,-0.388421171139557,1.9880388737763145e-10,250
region_n_above_20pct,dense,-0.08066568195072389,0.3314217783665885,147
region_n_above_20pct,projection,-0.13818611091699545,0.16391991630627045,103
side_n_above_20pct,pooled,-0.47541390540454836,1.6751180698444164e-15,250
side_n_above_20pct,dense,-0.11595857235303235,0.16191984832806608,147
side_n_above_20pct,projection,-0.22594667847378208,0.021739712454564797,103
other_fraction,pooled,-0.4493075409206547,7.975457234901029e-14,250
other_fraction,dense,-0.16602316602316605,0.04446193430779404,147
other_fraction,projection,-0.29558933356763173,0.0024347594182576896,103
region_neff_simpson,pooled,0.18008697739163826,0.004282774808828256,250
region_neff_simpson,dense,0.1828121104050654,0.0266730962709084,147
region_neff_simpson,projection,0.06657734042085842,0.5040174861519084,103
