group,label,side,feature,n,rho,p
projection,0,EM,revisit_r16um,122,0.0015533262004252461,0.986452225020646
projection,0,EM,overdraw_2d_mean,122,0.028581202087824532,0.7546577709458016
projection,0,EM,branch_per_100um,122,0.08664916238882787,0.3426180323350073
projection,0,EM,local_density_r10,122,0.07699629607781103,0.39925685415481105
projection,0,EM,hull_volume_um3,122,0.4983929737798467,5.164760394003263e-09
projection,0,EM,cable_length_um,122,0.2739538625652117,0.0022625913932475625
projection,0,EM,n_branch_points,122,0.24554863444010971,0.006408352392686653
projection,0,EM,occupied_volume_um3,122,0.2867090837065931,0.0013661979292118275
projection,0,FC,revisit_r16um,122,0.17843505039805285,0.04925229586364353
projection,0,FC,overdraw_2d_mean,122,0.23407331591832584,0.009460095599317224
projection,0,FC,branch_per_100um,122,-0.009114417694518461,0.9206319418768636
projection,0,FC,local_density_r10,122,0.4787454517528312,2.4360380796423665e-08
projection,0,FC,hull_volume_um3,122,0.6027743142294337,2.04098589168064e-13
projection,0,FC,cable_length_um,122,0.367597221839038,3.110201657718785e-05
projection,0,FC,n_branch_points,122,0.2413386310001338,0.007407749950842638
projection,0,FC,occupied_volume_um3,122,0.3684630584728174,2.9693300222347056e-05
projection,1,EM,revisit_r16um,94,0.3907896908348972,9.852547526220779e-05
projection,1,EM,overdraw_2d_mean,94,0.35207659449603695,0.0005014872839926956
projection,1,EM,branch_per_100um,94,-0.06626201248586384,0.525730925031635
projection,1,EM,local_density_r10,94,0.2816889177070952,0.005951079039823223
projection,1,EM,hull_volume_um3,94,-0.10760707876632755,0.3019169433556751
projection,1,EM,cable_length_um,94,0.12699978036902146,0.22254837033545147
projection,1,EM,n_branch_points,94,-0.14074215911903204,0.17604487264909782
projection,1,EM,occupied_volume_um3,94,0.07515586915550374,0.4715663654586896
projection,1,FC,revisit_r16um,94,0.45353979445899845,4.418283474302634e-06
projection,1,FC,overdraw_2d_mean,94,0.49475426318709875,4.0045138767037403e-07
projection,1,FC,branch_per_100um,94,0.25875374116795224,0.01179606208708176
projection,1,FC,local_density_r10,94,0.5585681712702405,4.911825836667412e-09
projection,1,FC,hull_volume_um3,94,-0.055224786901975895,0.5970385978824224
projection,1,FC,cable_length_um,94,0.028952730749210703,0.7817729169634362
projection,1,FC,n_branch_points,94,0.10844281300453693,0.29815577135882443
projection,1,FC,occupied_volume_um3,94,0.017869788571081503,0.8642634508957421
dense,0,EM,revisit_r16um,414,0.574079557804304,1.154279527023277e-37
dense,0,EM,overdraw_2d_mean,414,0.5379808305486579,1.9623277251452045e-32
dense,0,EM,branch_per_100um,414,0.5187336555869293,6.809317163254988e-30
dense,0,EM,local_density_r10,414,0.49860690534518665,2.0978127119066972e-27
dense,0,EM,hull_volume_um3,414,-0.45683441890044035,9.752592707304447e-23
dense,0,EM,cable_length_um,414,0.3365795729018812,2.0077855392392184e-12
dense,0,EM,n_branch_points,414,0.48449556531414295,9.34786889089394e-26
dense,0,EM,occupied_volume_um3,414,0.2982250874292734,5.975642276358338e-10
dense,0,FC,revisit_r16um,414,0.2033075341875708,3.075580967523906e-05
dense,0,FC,overdraw_2d_mean,414,0.14654128528310448,0.0028006668167627883
dense,0,FC,branch_per_100um,414,0.09895566802412517,0.04418793927700688
dense,0,FC,local_density_r10,414,0.10291349909999399,0.0363304603189647
dense,0,FC,hull_volume_um3,414,-0.47680927852789773,6.873593787259847e-25
dense,0,FC,cable_length_um,414,-0.050657694769884166,0.30382026192370576
dense,0,FC,n_branch_points,414,-0.018478455162463037,0.7077525676034085
dense,0,FC,occupied_volume_um3,414,-0.0520467213105025,0.2907359996362203
dense,1,EM,revisit_r16um,268,0.43415508572183475,9.56682130535964e-14
dense,1,EM,overdraw_2d_mean,268,0.4164829781228943,1.1437109390152633e-12
dense,1,EM,branch_per_100um,268,0.26541707351018906,1.0627407283409135e-05
dense,1,EM,local_density_r10,268,0.3864843886876556,5.606255043651413e-11
dense,1,EM,hull_volume_um3,268,-0.051834108556203455,0.39801990548861776
dense,1,EM,cable_length_um,268,0.34071900768566143,1.0409522091153902e-08
dense,1,EM,n_branch_points,268,0.38222000153831154,9.450083437271169e-11
dense,1,EM,occupied_volume_um3,268,0.32551732878995304,4.9448304357370206e-08
dense,1,FC,revisit_r16um,268,0.39242663627197916,2.674190547535997e-11
dense,1,FC,overdraw_2d_mean,268,0.3307375221898542,2.923520448701773e-08
dense,1,FC,branch_per_100um,268,0.3173831753990248,1.0998331876244333e-07
dense,1,FC,local_density_r10,268,0.39587534472403746,1.7284012702361675e-11
dense,1,FC,hull_volume_um3,268,-0.048748135418767415,0.4267392766025655
dense,1,FC,cable_length_um,268,0.2626571009060489,1.3214932252617668e-05
dense,1,FC,n_branch_points,268,0.31309408030044267,1.6606748441861534e-07
dense,1,FC,occupied_volume_um3,268,0.2688139791244269,8.100322662887842e-06
