group,label,n,rho_em,rho_fc,rho_em_fc_cross,partial_em,partial_em_p,partial_fc,partial_fc_p,beta_em,beta_fc,note
projection,0,122,-0.26547336250076237,-0.6073744844363843,0.33989251551864624,-0.07901188062943272,0.3869926549604016,-0.5703445369395902,7.000456577390559e-12,-0.06674179531204039,-0.5846894477375447,
projection,1,94,0.4035735448369713,0.08295640172989473,0.5366153983703598,0.42698298916357863,1.7729545652399233e-05,-0.17305374872733936,0.09531984601260228,0.5042636487704238,-0.1876392370387375,
dense,0,414,0.6394383678965634,0.500245317221014,0.5213564179380207,0.5124322255463267,4.267193247077688e-29,0.2543427779344416,1.5545377668127576e-07,0.5199653506446196,0.22915804455704855,
dense,1,268,0.3815920697567272,0.3127980936351815,0.8219647379997982,0.23011563875893515,0.0001443011344203768,-0.001628160720739926,0.9788349485412557,0.38376404516280055,-0.002642419200802452,
projection,0,71,-0.41483041019025213,-0.6022253788871502,,,,,,,,common_range_0.0019_0.0094
dense,0,243,0.44282940537066584,0.15438656738925474,,,,,,,,common_range_0.0019_0.0094
projection,0,122,,,,-0.0864141026038385,,-0.5802834963679078,,,,direction_similarity score
projection,0,122,,,,-0.0639655367598145,,-0.5323998768279967,,,,direction_inverse score
projection,1,94,,,,0.4931059165006061,,-0.2692349018279086,,,,direction_similarity score
projection,1,94,,,,0.39661322152791695,,-0.18908077112762547,,,,direction_inverse score
dense,0,414,,,,0.5819611047705453,,0.12187205971064585,,,,direction_similarity score
dense,0,414,,,,0.35302172148039734,,0.32934505738629977,,,,direction_inverse score
dense,1,268,,,,0.4231433647862128,,-0.12461273007896169,,,,direction_similarity score
dense,1,268,,,,0.043854230609686046,,0.19964186037579795,,,,direction_inverse score
projection,0,123,-0.2706033198260087,,,,,,,,,mediation_em_ctrl_fwd_-0.218_ctrl_rev_-0.185_stage1_0.209
projection,0,123,,-0.6094076273668321,,,,,,,,mediation_fc_ctrl_fwd_-0.205_ctrl_rev_-0.263_stage1_0.570
projection,1,97,0.38637516032118135,,,,,,,,,mediation_em_ctrl_fwd_0.194_ctrl_rev_0.230_stage1_-0.341
projection,1,97,,0.0857794792176687,,,,,,,,mediation_fc_ctrl_fwd_0.056_ctrl_rev_0.067_stage1_-0.061
dense,0,415,0.6402271163336106,,,,,,,,,mediation_em_ctrl_fwd_0.114_ctrl_rev_0.618_stage1_-0.657
dense,0,415,,0.5022636422723441,,,,,,,,mediation_fc_ctrl_fwd_0.348_ctrl_rev_0.225_stage1_-0.461
dense,1,271,0.3785047834944553,,,,,,,,,mediation_em_ctrl_fwd_0.141_ctrl_rev_0.375_stage1_-0.357
dense,1,271,,0.31229755270744236,,,,,,,,mediation_fc_ctrl_fwd_0.250_ctrl_rev_0.174_stage1_-0.264
