fc_id,em_id,group,label,centroid_dist,ratio_dist,pass_orient,pass_all
Cha-F-000009,1048215779,projection,1,15.585647,0.059102226,True,True
Cha-F-000009,1078693835,projection,1,25.827349,0.015227273,True,True
Cha-F-400112,1224258912,projection,0,88.907394,0.077831686,True,True
Cha-F-400112,5813022925,projection,0,94.368904,0.122430444,True,True
Cha-F-400201,1639886198,projection,0,99.568504,0.15729563,True,True
Cha-F-400201,1640555311,projection,0,96.375916,0.17145577,True,True
Cha-F-800086,579916831,projection,0,48.737976,0.27395535,True,True
Cha-F-800086,5812981543,projection,1,50.418324,0.12236286,True,True
E0585-F-200015,457175171,projection,1,32.069386,0.22351898,True,True
E0585-F-200015,518899665,projection,0,40.54333,0.097490825,True,True
E0585-F-300042,457175171,projection,1,32.42429,0.22100793,True,True
E0585-F-300042,642664141,projection,1,21.618986,0.32995468,True,True
fru-F-200052,1228683492,projection,0,97.61313,0.25976506,True,True
fru-F-200052,456156825,projection,0,50.85451,0.0760845,True,True
fru-F-400010,862705904,projection,1,8.947556,0.08584093,True,True
fru-F-400010,1173745330,projection,1,10.006183,0.1199942,True,True
fru-F-400071,1205090786,projection,1,12.756403,0.14900964,True,True
fru-F-400071,1173745330,projection,1,11.620893,0.029216962,True,True
fru-F-400141,862705904,projection,1,15.335808,0.17681526,True,True
fru-F-400141,1142356576,projection,1,7.645451,0.07167882,True,True
fru-F-400196,1100792636,projection,0,89.16983,0.06595067,True,True
fru-F-400196,1141324564,projection,1,6.230196,0.09847581,True,True
fru-F-400214,983759126,projection,1,13.722729,0.21889989,True,True
fru-F-400214,1173045815,projection,1,9.400041,0.100226365,True,True
fru-F-400229,5813087817,projection,0,15.265985,0.15038371,True,True
fru-F-400229,1700644008,projection,0,86.27039,0.13983078,True,True
fru-F-400338,1141678665,projection,1,13.495034,0.053834748,True,True
fru-F-400338,1205090786,projection,1,20.071222,0.23561269,True,True
fru-F-400437,1173745330,projection,1,8.387632,0.01888429,True,True
fru-F-400437,1141678665,projection,1,7.0088053,0.03724574,True,True
fru-F-400475,5901203987,projection,0,94.9872,0.09113619,True,True
fru-F-400475,519591210,projection,0,66.478584,0.020466533,True,True
fru-F-500083,1261130127,projection,0,107.039925,0.35508946,True,False
fru-F-500083,1261129711,projection,0,99.89378,0.3548362,True,True
fru-F-500115,1206114100,projection,1,15.339445,0.09317602,True,True
fru-F-500115,1173745330,projection,1,8.510294,0.07661353,True,True
fru-F-500297,1051630846,projection,1,18.896362,0.066017315,True,True
fru-F-500297,948035783,projection,0,82.08141,0.048870966,True,True
fru-F-500435,1142011140,projection,1,9.420379,0.06261223,True,True
