method,alpha,n_fc,rank1_judged,rank1_hit_pct,MRR,median_rank_of_correct,p@5_pct,pool_auc,delta_pp
center,0.25,1276,1247,31.28,0.4753,3,69.12,0.893,0.27
none,,1276,1248,31.01,0.4627,3,67.08,0.8979,0.0
topk,0.25,1276,1237,28.05,0.4326,3,62.85,0.8869,-2.96
center,0.5,1276,1249,26.02,0.4302,3,65.67,0.8818,-4.99
topk,0.5,1276,1230,23.17,0.3777,4,56.03,0.864,-7.84
center,0.75,1276,1245,22.01,0.3766,4,59.09,0.8621,-9.0
center,1.0,1276,1237,16.01,0.3089,6,47.73,0.8302,-15.0
topk,0.75,1276,1221,14.09,0.2823,7,44.44,0.8209,-16.92
ranknorm,,1276,1240,8.31,0.17,22,24.29,0.744,-22.7
topk,1.0,1276,1206,3.4,0.1092,27,15.6,0.74,-27.61
zscore,,1276,1249,0.8,0.0428,69,4.39,0.7782,-30.21
