method,alpha,n_fc,rank1_judged,rank1_hit_pct,MRR,median_rank_of_correct,p@5_pct,pool_auc,delta_pp
center,0.25,638,625,31.68,0.4772,3,69.28,0.8949,0.81
none,,638,622,30.87,0.4607,3,68.18,0.898,0.0
center,0.5,638,629,27.34,0.4422,3,65.99,0.8864,-3.53
topk,0.25,638,618,27.02,0.4265,4,63.17,0.8879,-3.85
center,0.75,638,627,22.97,0.396,4,60.03,0.8714,-7.9
topk,0.5,638,617,21.88,0.3667,5,55.17,0.866,-8.99
center,1.0,638,624,17.47,0.3307,5,52.19,0.8474,-13.4
topk,0.75,638,615,13.01,0.2612,8,39.03,0.8233,-17.86
ranknorm,,638,617,8.27,0.1659,19,22.73,0.7689,-22.6
topk,1.0,638,611,5.73,0.1244,27,15.83,0.74,-25.14
zscore,,638,623,0.48,0.0395,66,3.76,0.7919,-30.39
