method,alpha,n_fc,rank1_judged,rank1_hit_pct,MRR,median_rank_of_correct,p@5_pct,pool_auc,delta_pp
center,0.25,1276,1237,24.58,0.3829,5,54.0,0.8549,2.61
none,,1276,1238,21.97,0.3632,5,53.92,0.8607,0.0
center,0.5,1276,1243,20.51,0.337,6,48.75,0.8433,-1.46
topk,0.25,1276,1231,19.82,0.3413,5,51.41,0.8477,-2.15
center,0.75,1276,1239,17.84,0.303,7,43.18,0.826,-4.13
topk,0.5,1276,1233,15.98,0.2993,6,46.55,0.8282,-5.99
center,1.0,1276,1241,13.62,0.262,9,38.48,0.8009,-8.35
topk,0.75,1276,1219,11.32,0.2345,9,35.34,0.7991,-10.65
ranknorm,,1276,1244,6.99,0.1494,26,21.32,0.7214,-14.98
topk,1.0,1276,1213,5.52,0.1397,21,20.53,0.7498,-16.45
zscore,,1276,1245,2.57,0.074,67,9.48,0.7584,-19.4
