method,alpha,n_fc,rank1_judged,rank1_hit_pct,MRR,median_rank_of_correct,p@5_pct,pool_auc,delta_pp
center,0.25,638,609,26.44,0.3944,4,54.86,0.858,5.27
center,0.5,638,614,23.29,0.3546,6,49.84,0.8494,2.12
none,,638,614,21.17,0.3488,5,52.66,0.862,0.0
center,0.75,638,609,18.88,0.3128,7,45.45,0.8363,-2.29
topk,0.25,638,606,17.99,0.3228,5,51.1,0.8503,-3.18
center,1.0,638,615,15.12,0.2771,9,41.54,0.8177,-6.05
topk,0.5,638,603,14.59,0.2735,7,42.79,0.8308,-6.58
topk,0.75,638,603,10.28,0.2134,11,30.56,0.7995,-10.89
ranknorm,,638,627,5.58,0.1407,25,20.53,0.7424,-15.59
topk,1.0,638,601,5.49,0.1236,27,15.52,0.7417,-15.68
zscore,,638,630,2.54,0.0765,58,10.5,0.7704,-18.63
