em_id,mean_score,max_score,n_chance,n_rank1,n_top5,group
200326126,0.2079066,0.5864237,1119,0,0,unseen
203253072,0.2729909,0.777034,408,0,0,unseen
203253253,0.06313612,0.3400419,290,0,0,both
203257652,0.27117467,0.7411049,720,0,3,unseen
203594169,0.07665252,0.48533377,392,0,0,unseen
203598504,0.19953279,0.46341437,295,0,0,unseen
203598542,0.19646093,0.7622767,371,0,0,unseen
203598557,0.33602896,0.7482138,456,3,47,unseen
203931040,0.25491244,0.73812145,404,0,0,unseen
204962969,0.20011488,0.6347303,309,0,0,unseen
206555682,0.15841071,0.37840205,63,0,0,unseen
232513671,0.19110139,0.4321929,30,0,0,unseen
233105330,0.21596277,0.3864371,263,0,0,unseen
262167456,0.24509223,0.39044705,48,0,0,unseen
262840563,0.16465327,0.2973191,27,0,0,unseen
264014957,0.30325243,0.78483695,574,0,0,unseen
264438143,0.11214805,0.32770297,351,0,0,unseen
264779403,0.25781068,0.5343289,209,0,0,unseen
264783939,0.1364855,0.42210937,101,0,0,unseen
264822904,0.09889269,0.36559385,264,0,0,unseen
265120424,0.11473206,0.33745253,330,0,0,unseen
265120589,0.12138104,0.30669725,342,0,0,unseen
265120597,0.11224738,0.4085251,417,0,0,unseen
265124786,0.047203097,0.32138225,321,0,0,unseen
265155147,0.2180768,0.49023128,797,0,0,unseen
266187342,0.18215919,0.5299806,713,0,0,unseen
266187383,0.08338548,0.39604458,799,0,0,neg_only
266187477,0.11799441,0.27660537,326,0,0,unseen
266187532,0.24688902,0.50494117,797,0,0,unseen
266187559,0.048614934,0.30817273,268,0,0,unseen
266191395,0.089903176,0.32987761,324,0,0,unseen
266191407,0.116701305,0.80565184,1049,0,0,unseen
266527996,0.22885185,0.50117636,741,0,0,unseen
266528086,0.1826637,0.4843163,766,0,0,unseen
266626740,0.23800959,0.5859741,406,1,13,unseen
266691460,0.3159305,0.6748645,294,0,0,unseen
266873389,0.061662655,0.3065459,288,0,0,unseen
267214250,0.1673617,0.3406367,317,0,0,pos_only
267223027,0.096706554,0.42169234,889,0,0,unseen
267227062,0.020944266,0.22067507,274,0,0,unseen
267304783,0.31849748,0.61583096,95,0,0,unseen
267551639,0.15522651,0.39461666,329,0,0,both
267559575,0.3289692,0.7601646,301,0,0,unseen
267896360,0.10298322,0.44000334,738,0,0,neg_only
268237554,0.03210408,0.27402043,224,0,0,unseen
268731005,0.10455959,0.6599647,411,0,0,unseen
294428266,0.3102762,0.71478736,21,0,0,unseen
294432626,0.26840767,0.51987374,10,0,0,unseen
294432760,0.15499006,0.40069592,49,0,0,unseen
294436967,0.023836972,0.1069085,565,0,0,pos_only
294437328,0.6160076,0.8162605,14,0,0,unseen
294437347,0.22287865,0.56556994,25,0,0,unseen
294441510,0.1909079,0.41830787,20,0,0,unseen
294445804,0.28902736,0.6567006,156,0,0,unseen
294445931,0.73793566,0.7847814,2,0,0,unseen
294450004,0.26224452,0.71058804,754,0,0,unseen
294756576,0.62644815,0.69521964,2,0,0,unseen
294760680,0.4035375,0.48211464,2,0,0,unseen
294760699,0.20431615,0.57032824,178,0,0,unseen
294760723,0.38025573,0.4562448,5,0,0,unseen
294760837,0.27613282,0.6442509,68,0,0,unseen
294774719,0.6411777,0.6443162,2,0,0,unseen
294774792,0.1899638,0.41729242,124,0,0,unseen
294778999,0.39094666,0.7960751,9,0,0,unseen
294783216,0.16651061,0.5178942,129,0,0,unseen
294787849,0.26585656,0.5641583,335,0,0,unseen
294792184,0.29943976,0.8601082,722,0,5,unseen
294792311,0.16293767,0.35909688,74,0,0,unseen
294795822,0.090345606,0.24899778,383,0,0,unseen
295063181,0.11233914,0.5225819,857,0,0,unseen
295103172,0.2235036,0.36437505,12,0,0,unseen
295106899,0.37310785,0.74975055,58,0,0,unseen
295107514,0.19326498,0.59143317,204,0,0,unseen
295111672,0.21922319,0.453161,36,0,0,unseen
295111734,0.25831327,0.54479474,29,0,0,unseen
295115222,0.17924164,0.29888013,19,0,0,unseen
295115429,0.6125876,0.84042376,16,0,0,unseen
295115628,0.49245554,0.77814907,29,0,0,unseen
295115794,0.16342737,0.3010782,6,0,0,unseen
295119694,0.14311914,0.19753334,7,0,0,unseen
295120601,0.4396733,0.80810434,9,0,0,unseen
295120620,0.17305002,0.2972924,55,0,0,unseen
295124412,0.27282545,0.6891376,88,0,0,unseen
295127956,0.26230514,0.4788026,21,0,0,unseen
295132077,0.12557854,0.3791052,398,0,0,unseen
295132487,0.098522045,0.28726763,285,0,0,unseen
295133015,0.087838426,0.31138453,309,0,0,unseen
295133452,0.28928578,0.85732365,250,0,0,unseen
295133743,0.0930922,0.29143512,295,0,0,unseen
295133778,0.20588674,0.4916636,312,0,0,unseen
295133927,0.09535094,0.28295508,167,0,0,unseen
295136668,0.09140117,0.22823223,148,0,0,unseen
295136965,0.2431588,0.63572323,520,0,0,unseen
295137019,0.39377627,0.7520825,163,0,0,unseen
295137515,0.071085714,0.24807161,324,0,0,unseen
295439322,0.53094083,0.7865484,21,0,0,unseen
295443136,0.17563677,0.4300629,83,0,0,unseen
295443724,0.29056498,0.40631285,3,0,0,unseen
295456869,0.5863663,0.72982854,23,0,0,unseen
295461302,0.20012301,0.39524803,93,0,0,unseen
295461534,0.36231855,0.5865616,65,0,0,unseen
295461570,0.14620627,0.43784943,475,0,0,unseen
295461707,0.46051222,0.7107581,21,0,0,unseen
295461871,0.43815327,0.48050967,2,0,0,unseen
295466276,0.36449218,0.6273256,54,0,0,unseen
295470623,0.54892653,0.74892235,12,0,0,unseen
295470816,0.32201487,0.5743621,72,0,0,unseen
295473813,0.24678059,0.7068126,572,0,0,unseen
