group,method,feature,n_fp,n_tn,n_fn,n_tp,auc_fp_vs_tn,auc_fn_vs_tp
projection,NBLAST,em_cable_per_hull_um2,8,110,9,89,0.6715909090909091,0.25218476903870163
projection,NBLAST,em_fill_ratio,8,110,9,89,0.6761363636363636,0.26092384519350814
projection,NBLAST,em_revisit_r16um,8,110,9,89,0.6068181818181818,0.3096129837702871
projection,NBLAST,em_hull_volume_um3,8,110,9,89,0.5181818181818182,0.6067415730337079
projection,NBLAST,em_cable_length_um,8,110,9,89,0.5772727272727273,0.5355805243445693
projection,NBLAST,fc_cable_per_hull_um2,8,110,9,89,0.53125,0.45318352059925093
projection,NBLAST,fc_fill_ratio,8,110,9,89,0.5323863636363636,0.449438202247191
projection,NBLAST,fc_revisit_r16um,8,110,9,89,0.50625,0.30586766541822724
projection,NBLAST,fc_hull_volume_um3,8,110,9,89,0.5198863636363636,0.5518102372034956
projection,NBLAST,fc_cable_length_um,8,110,9,89,0.5107954545454545,0.48813982521847693
projection,NBLAST,fc_sidetot_top2,8,110,9,89,0.23858173076923078,0.4069912609238452
projection,NBLAST,fc_regiontot_top2,8,110,9,89,0.2530048076923077,0.5493133583021224
projection,NBLAST,frac_nn_gt10,8,110,9,89,0.006818181818181818,0.9962546816479401
projection,CNN,em_cable_per_hull_um2,3,115,3,95,0.06811594202898551,0.2596491228070175
projection,CNN,em_fill_ratio,3,115,3,95,0.06521739130434782,0.2771929824561403
projection,CNN,em_revisit_r16um,3,115,3,95,0.29130434782608694,0.43157894736842106
projection,CNN,em_hull_volume_um3,3,115,3,95,0.8246376811594203,0.9403508771929825
projection,CNN,em_cable_length_um,3,115,3,95,0.4391304347826087,0.8245614035087719
projection,CNN,fc_cable_per_hull_um2,3,115,3,95,0.042028985507246375,0.23859649122807017
projection,CNN,fc_fill_ratio,3,115,3,95,0.042028985507246375,0.24912280701754386
projection,CNN,fc_revisit_r16um,3,115,3,95,0.3347826086956522,0.4456140350877193
projection,CNN,fc_hull_volume_um3,3,115,3,95,0.8507246376811595,0.8
projection,CNN,fc_cable_length_um,3,115,3,95,0.49130434782608695,0.7368421052631579
projection,CNN,fc_sidetot_top2,3,115,3,95,0.6406727828746177,0.21754385964912282
projection,CNN,fc_regiontot_top2,3,115,3,95,0.4908256880733945,0.3473684210526316
projection,CNN,frac_nn_gt10,3,115,3,95,0.19420289855072465,0.9473684210526315
dense,NBLAST,em_cable_per_hull_um2,100,283,69,230,0.8409893992932862,0.3505671077504726
dense,NBLAST,em_fill_ratio,100,283,69,230,0.8432862190812721,0.3511342155009452
dense,NBLAST,em_revisit_r16um,100,283,69,230,0.8174558303886926,0.31238185255198486
dense,NBLAST,em_hull_volume_um3,100,283,69,230,0.21890459363957598,0.5343730308758664
dense,NBLAST,em_cable_length_um,100,283,69,230,0.6609187279151943,0.36027095148078137
dense,NBLAST,fc_cable_per_hull_um2,100,283,69,230,0.7808303886925795,0.3645872715816005
dense,NBLAST,fc_fill_ratio,100,283,69,230,0.781113074204947,0.36509136735979836
dense,NBLAST,fc_revisit_r16um,100,283,69,230,0.644434628975265,0.31512287334593575
dense,NBLAST,fc_hull_volume_um3,100,283,69,230,0.2218904593639576,0.5257718966603655
dense,NBLAST,fc_cable_length_um,100,283,69,230,0.44037102473498235,0.3836798991808444
dense,NBLAST,fc_sidetot_top2,100,283,69,230,0.29567137809187277,0.5357277882797732
dense,NBLAST,fc_regiontot_top2,100,283,69,230,0.2210424028268551,0.5210459987397605
dense,NBLAST,frac_nn_gt10,100,283,69,230,0.032208480565371025,0.9501575299306868
dense,CNN,em_cable_per_hull_um2,35,348,24,275,0.3265188834154351,0.6602272727272728
dense,CNN,em_fill_ratio,35,348,24,275,0.3233990147783251,0.6628030303030303
dense,CNN,em_revisit_r16um,35,348,24,275,0.367816091954023,0.6393181818181818
dense,CNN,em_hull_volume_um3,35,348,24,275,0.6348111658456486,0.4778030303030303
dense,CNN,em_cable_length_um,35,348,24,275,0.4171592775041051,0.675530303030303
dense,CNN,fc_cable_per_hull_um2,35,348,24,275,0.38448275862068965,0.6727272727272727
dense,CNN,fc_fill_ratio,35,348,24,275,0.3807881773399015,0.6734848484848485
dense,CNN,fc_revisit_r16um,35,348,24,275,0.4513136288998358,0.6642424242424242
dense,CNN,fc_hull_volume_um3,35,348,24,275,0.632183908045977,0.4706060606060606
dense,CNN,fc_cable_length_um,35,348,24,275,0.5493431855500821,0.6807575757575758
dense,CNN,fc_sidetot_top2,35,348,24,275,0.534072249589491,0.46545454545454545
dense,CNN,fc_regiontot_top2,35,348,24,275,0.4560755336617406,0.35848484848484846
dense,CNN,frac_nn_gt10,35,348,24,275,0.6317733990147784,0.4731818181818182
