group,label,feature,method,n,rho,p
projection,0,em_cable_per_hull_um2,NBLAST,118,-0.2631545339383951,0.003988291752268715
projection,0,em_cable_per_hull_um2,CNN,118,-0.22606926802019775,0.013833630341175863
projection,0,em_cable_per_hull_um2,CNN_foldrank,118,-0.22931288406568467,0.012495345763035657
projection,0,em_fill_ratio,NBLAST,118,-0.2770272651466403,0.002390075642625434
projection,0,em_fill_ratio,CNN,118,-0.22211711026155606,0.015631693328987086
projection,0,em_fill_ratio,CNN_foldrank,118,-0.2260904836236241,0.013824486303489134
projection,0,em_revisit_r16um,NBLAST,118,0.006110868697049552,0.9476365819698818
projection,0,em_revisit_r16um,CNN,118,-0.0886130750689911,0.33997419457732525
projection,0,em_revisit_r16um,CNN_foldrank,118,-0.08133455628248662,0.3812660206462415
projection,0,em_hull_volume_um3,NBLAST,118,0.493380507623412,1.3748363649644772e-08
projection,0,em_hull_volume_um3,CNN,118,0.2346237536678308,0.01054768529511995
projection,0,em_hull_volume_um3,CNN_foldrank,118,0.24464668752977578,0.007586177475691786
projection,0,em_cable_length_um,NBLAST,118,0.27072280646695857,0.0030261003092103764
projection,0,em_cable_length_um,CNN,118,0.04307194481506773,0.643281642912507
projection,0,em_cable_length_um,CNN_foldrank,118,0.05870833639849418,0.5277189031585003
projection,0,fc_cable_per_hull_um2,NBLAST,118,-0.6234130542529721,4.714730334542525e-14
projection,0,fc_cable_per_hull_um2,CNN,118,-0.27107408531121896,0.002987005150327276
projection,0,fc_cable_per_hull_um2,CNN_foldrank,118,-0.2800966677959857,0.002126472333987744
projection,0,fc_fill_ratio,NBLAST,118,-0.628394865546098,2.581515198117568e-14
projection,0,fc_fill_ratio,CNN,118,-0.2817097410924376,0.0019987560684462864
projection,0,fc_fill_ratio,CNN_foldrank,118,-0.2892406982572207,0.0014896153043770725
projection,0,fc_revisit_r16um,NBLAST,118,0.16563426843347095,0.07305321150072092
projection,0,fc_revisit_r16um,CNN,118,-0.001932095435530455,0.9834334963540841
projection,0,fc_revisit_r16um,CNN_foldrank,118,-0.01992470720558367,0.8304262261255994
projection,0,fc_hull_volume_um3,NBLAST,118,0.6005785350413723,6.531199395637454e-13
projection,0,fc_hull_volume_um3,CNN,118,0.2524543829854453,0.005815880054786869
projection,0,fc_hull_volume_um3,CNN_foldrank,118,0.2511411802067931,0.006085108237211306
projection,0,fc_cable_length_um,NBLAST,118,0.35450481505379394,8.195147766786322e-05
projection,0,fc_cable_length_um,CNN,118,0.12259127276669135,0.18600159928117402
projection,0,fc_cable_length_um,CNN_foldrank,118,0.1141999169868987,0.2181898056373034
projection,0,fc_sidetot_top2,NBLAST,112,-0.3577779264129702,0.00010754921371371785
projection,0,fc_sidetot_top2,CNN,112,-0.13104271683030902,0.1684459568121806
projection,0,fc_sidetot_top2,CNN_foldrank,112,-0.1342936381214458,0.15804135015155032
projection,0,fc_regiontot_top2,NBLAST,112,-0.43439001184823284,1.7067892562730804e-06
projection,0,fc_regiontot_top2,CNN,112,-0.19888986028780853,0.03552785523363727
projection,0,fc_regiontot_top2,CNN_foldrank,112,-0.20630143186673638,0.029085274840048046
projection,0,frac_nn_gt10,NBLAST,118,-0.934873056865248,5.265714584007242e-54
projection,0,frac_nn_gt10,CNN,118,-0.39043043302924935,1.2380276900901336e-05
projection,0,frac_nn_gt10,CNN_foldrank,118,-0.42473176630456405,1.6379014184176617e-06
projection,1,em_cable_per_hull_um2,NBLAST,98,0.44207536240467377,5.182723312553717e-06
projection,1,em_cable_per_hull_um2,CNN,98,0.07678641303747039,0.4523493411915074
projection,1,em_cable_per_hull_um2,CNN_foldrank,98,0.10092299878443006,0.3227633285888044
projection,1,em_fill_ratio,NBLAST,98,0.43595031408593915,7.226985033429884e-06
projection,1,em_fill_ratio,CNN,98,0.11742866073574099,0.24950262088341188
projection,1,em_fill_ratio,CNN_foldrank,98,0.14290456623779774,0.1603939682016242
projection,1,em_revisit_r16um,NBLAST,98,0.4094722406247424,2.830900054789095e-05
projection,1,em_revisit_r16um,CNN,98,0.10608456082875117,0.29850430964592967
projection,1,em_revisit_r16um,CNN_foldrank,98,0.11061890892000335,0.27820842158397713
projection,1,em_hull_volume_um3,NBLAST,98,-0.11952776583664065,0.24108036393650328
projection,1,em_hull_volume_um3,CNN,98,-0.12898968943735264,0.20556873420728589
projection,1,em_hull_volume_um3,CNN_foldrank,98,-0.14303861107838173,0.15999802251357978
projection,1,em_cable_length_um,NBLAST,98,0.12451712811294327,0.2218583197766876
projection,1,em_cable_length_um,CNN,98,-0.02862822063141917,0.7796109807962266
projection,1,em_cable_length_um,CNN_foldrank,98,-0.030326049410209804,0.766902591487761
projection,1,fc_cable_per_hull_um2,NBLAST,98,0.05257905864848635,0.6071236209733144
projection,1,fc_cable_per_hull_um2,CNN,98,-0.12663353198628896,0.2140401622467036
projection,1,fc_cable_per_hull_um2,CNN_foldrank,98,-0.11669357153946384,0.2524993064959928
projection,1,fc_fill_ratio,NBLAST,98,0.042274940436510366,0.6793752467948688
projection,1,fc_fill_ratio,CNN,98,-0.12400649194709708,0.22377442180773394
projection,1,fc_fill_ratio,CNN_foldrank,98,-0.11490741289784956,0.2598833891731909
projection,1,fc_revisit_r16um,NBLAST,98,0.4239481507907544,1.361192919836112e-05
projection,1,fc_revisit_r16um,CNN,98,0.21411651581568902,0.03425411491805669
projection,1,fc_revisit_r16um,CNN_foldrank,98,0.2192254567061288,0.03009542810129884
projection,1,fc_hull_volume_um3,NBLAST,98,-0.040566089148880685,0.6916664661626163
projection,1,fc_hull_volume_um3,CNN,98,-0.023005729275253302,0.8220938320736823
projection,1,fc_hull_volume_um3,CNN_foldrank,98,-0.04314211033299044,0.6731696681231607
projection,1,fc_cable_length_um,NBLAST,98,0.0040808388958320715,0.9681887396048537
projection,1,fc_cable_length_um,CNN,98,-0.07928304817308747,0.43774039453430813
projection,1,fc_cable_length_um,CNN_foldrank,98,-0.10233413188848624,0.31600879528192943
projection,1,fc_sidetot_top2,NBLAST,98,0.2921880649415763,0.0035071321681289605
projection,1,fc_sidetot_top2,CNN,98,0.3038694662808957,0.002351454961472587
projection,1,fc_sidetot_top2,CNN_foldrank,98,0.30723842377167204,0.0020890406675309315
projection,1,fc_regiontot_top2,NBLAST,98,0.14648936373882188,0.15005382537524856
projection,1,fc_regiontot_top2,CNN,98,0.23149833898762373,0.021815620290730028
projection,1,fc_regiontot_top2,CNN_foldrank,98,0.21032655918808627,0.037642642570815975
projection,1,frac_nn_gt10,NBLAST,98,-0.9196297075531242,9.64451132256961e-41
projection,1,frac_nn_gt10,CNN,98,-0.4136908746628923,2.294857183997406e-05
projection,1,frac_nn_gt10,CNN_foldrank,98,-0.43124264743234586,9.290830648876533e-06
dense,0,em_cable_per_hull_um2,NBLAST,383,0.6341601692309649,1.7655593228542992e-44
dense,0,em_cable_per_hull_um2,CNN,383,-0.09532588667835412,0.062362066233481936
dense,0,em_cable_per_hull_um2,CNN_foldrank,383,-0.11648436837456841,0.022610106279345087
dense,0,em_fill_ratio,NBLAST,383,0.6372155634747351,5.075718305763302e-45
dense,0,em_fill_ratio,CNN,383,-0.08837520654047087,0.08412013539378922
dense,0,em_fill_ratio,CNN_foldrank,383,-0.10828827085481095,0.034128541401158875
dense,0,em_revisit_r16um,NBLAST,383,0.5847919702921949,1.6457962613269597e-36
dense,0,em_revisit_r16um,CNN,383,-0.05924173192443224,0.24743172191347393
dense,0,em_revisit_r16um,CNN_foldrank,383,-0.0840568365567202,0.10047487478900019
dense,0,em_hull_volume_um3,NBLAST,383,-0.4323394603164928,7.099379972205377e-19
dense,0,em_hull_volume_um3,CNN,383,0.09557046346870064,0.061690132625636614
dense,0,em_hull_volume_um3,CNN_foldrank,383,0.10601819943161649,0.038090149186246584
dense,0,em_cable_length_um,NBLAST,383,0.3591680655619526,4.186445982453485e-13
dense,0,em_cable_length_um,CNN,383,-0.05028018200111465,0.32639202863384253
dense,0,em_cable_length_um,CNN_foldrank,383,-0.06266040135120123,0.22114749240175466
dense,0,fc_cable_per_hull_um2,NBLAST,383,0.4959129749015701,3.625216529505016e-25
dense,0,fc_cable_per_hull_um2,CNN,383,-0.06965655131864835,0.173702535968794
dense,0,fc_cable_per_hull_um2,CNN_foldrank,383,-0.07770481066923243,0.1290046850154576
dense,0,fc_fill_ratio,NBLAST,383,0.49899361754298927,1.6585995027057628e-25
dense,0,fc_fill_ratio,CNN,383,-0.07043215896190123,0.16894924818470575
dense,0,fc_fill_ratio,CNN_foldrank,383,-0.0775295300345667,0.12987274415577907
dense,0,fc_revisit_r16um,NBLAST,383,0.19611082258377255,0.00011200510038011181
dense,0,fc_revisit_r16um,CNN,383,0.044083927844413145,0.38960284568592773
dense,0,fc_revisit_r16um,CNN_foldrank,383,0.03909970484065511,0.44547116272079157
dense,0,fc_hull_volume_um3,NBLAST,383,-0.45746197499888097,3.3179964253937767e-21
dense,0,fc_hull_volume_um3,CNN,383,0.084803222311603,0.0974803683112232
dense,0,fc_hull_volume_um3,CNN_foldrank,383,0.09502886072190424,0.06318619172450389
dense,0,fc_cable_length_um,NBLAST,383,-0.05630343294937115,0.27170248142286135
dense,0,fc_cable_length_um,CNN,383,0.05807092549800677,0.2569150967973065
dense,0,fc_cable_length_um,CNN_foldrank,383,0.06749944018873132,0.18744471791973671
dense,0,fc_sidetot_top2,NBLAST,383,-0.2168890330718302,1.853850862825074e-05
dense,0,fc_sidetot_top2,CNN,383,0.09631600808643098,0.05967861678736396
dense,0,fc_sidetot_top2,CNN_foldrank,383,0.10970468848617418,0.03183886072243583
dense,0,fc_regiontot_top2,NBLAST,383,-0.3261826381183292,6.052056377086274e-11
dense,0,fc_regiontot_top2,CNN,383,-0.04434645105938361,0.38678293773749794
dense,0,fc_regiontot_top2,CNN_foldrank,383,-0.03733664441664993,0.4662719280960268
dense,0,frac_nn_gt10,NBLAST,383,-0.9176894721983323,8.162041990269688e-155
