group,feature,bin,lo,hi,n,method,frac_reaching_true
projection,em_cable_per_hull_um2,1,0.0016398108513937,0.0055059241521354,30,NBLAST,0.0
projection,em_cable_per_hull_um2,1,0.0016398108513937,0.0055059241521354,30,CNN,0.0
projection,em_cable_per_hull_um2,1,0.0016398108513937,0.0055059241521354,30,CNN_foldrank,0.0
projection,em_cable_per_hull_um2,2,0.0056141921175107,0.0082262112470957,29,NBLAST,0.06896551724137931
projection,em_cable_per_hull_um2,2,0.0056141921175107,0.0082262112470957,29,CNN,0.0
projection,em_cable_per_hull_um2,2,0.0056141921175107,0.0082262112470957,29,CNN_foldrank,0.0
projection,em_cable_per_hull_um2,3,0.0083096235088328,0.0116892928304314,30,NBLAST,0.0
projection,em_cable_per_hull_um2,3,0.0083096235088328,0.0116892928304314,30,CNN,0.0
projection,em_cable_per_hull_um2,3,0.0083096235088328,0.0116892928304314,30,CNN_foldrank,0.0
projection,em_cable_per_hull_um2,4,0.0124914602425787,0.0468348137662644,29,NBLAST,0.13793103448275862
projection,em_cable_per_hull_um2,4,0.0124914602425787,0.0468348137662644,29,CNN,0.0
projection,em_cable_per_hull_um2,4,0.0124914602425787,0.0468348137662644,29,CNN_foldrank,0.0
dense,em_cable_per_hull_um2,1,0.0009491635667522,0.0034570917122179,97,NBLAST,0.010309278350515464
dense,em_cable_per_hull_um2,1,0.0009491635667522,0.0034570917122179,97,CNN,0.020618556701030927
dense,em_cable_per_hull_um2,1,0.0009491635667522,0.0034570917122179,97,CNN_foldrank,0.07216494845360824
dense,em_cable_per_hull_um2,2,0.0034647790488889,0.0059667901423478,98,NBLAST,0.12244897959183673
dense,em_cable_per_hull_um2,2,0.0034647790488889,0.0059667901423478,98,CNN,0.01020408163265306
dense,em_cable_per_hull_um2,2,0.0034647790488889,0.0059667901423478,98,CNN_foldrank,0.02040816326530612
dense,em_cable_per_hull_um2,3,0.0060531199753833,0.0105064770541019,92,NBLAST,0.21739130434782608
dense,em_cable_per_hull_um2,3,0.0060531199753833,0.0105064770541019,92,CNN,0.021739130434782608
dense,em_cable_per_hull_um2,3,0.0060531199753833,0.0105064770541019,92,CNN_foldrank,0.03260869565217391
dense,em_cable_per_hull_um2,4,0.0107103393802287,0.0656279066536399,96,NBLAST,0.6770833333333334
dense,em_cable_per_hull_um2,4,0.0107103393802287,0.0656279066536399,96,CNN,0.0
dense,em_cable_per_hull_um2,4,0.0107103393802287,0.0656279066536399,96,CNN_foldrank,0.0
