group,label,test,method,n,rho,p
projection,0,EM 密度,NBLAST,118,-0.2631545339383951,0.003988291752268715
projection,0,EM 密度,CNN,118,-0.22606926802019775,0.013833630341175863
projection,0,EM 密度,CNN_foldrank,118,-0.22931288406568467,0.012495345763035657
projection,0,EM 密度 | EM cable,NBLAST,118,-0.37717878472009575,2.5516537613194384e-05
projection,0,EM 密度 | EM cable,CNN,118,-0.25143031320900283,0.006024898036932333
projection,0,EM 密度 | EM cable,CNN_foldrank,118,-0.2600625448489714,0.004454593796253145
projection,0,EM cable,NBLAST,118,0.27072280646695857,0.0030261003092103764
projection,0,EM cable,CNN,118,0.04307194481506773,0.643281642912507
projection,0,EM cable,CNN_foldrank,118,0.05870833639849418,0.5277189031585003
projection,0,EM cable | EM 密度,NBLAST,118,0.3820829776013478,1.959573388128897e-05
projection,0,EM cable | EM 密度,CNN,118,0.12080415013795581,0.19254831315386797
projection,0,EM cable | EM 密度,CNN_foldrank,118,0.138835401445396,0.13378148042063887
projection,0,EM 密度 | FC 密度,NBLAST,118,-0.04417023719776818,0.6348327300228037
projection,0,EM 密度 | FC 密度,CNN,118,-0.14048363498077396,0.12918260937590084
projection,0,EM 密度 | FC 密度,CNN_foldrank,118,-0.14074917089586525,0.12845319066483424
projection,0,FC 密度 | EM 密度,NBLAST,118,-0.5868890707168415,2.864445140416406e-12
projection,0,FC 密度 | EM 密度,CNN,118,-0.2070004994424372,0.02450724105248745
projection,0,FC 密度 | EM 密度,CNN_foldrank,118,-0.21581239310438208,0.018920359033636626
projection,0,FC cable,NBLAST,118,0.35450481505379394,8.195147766786322e-05
projection,0,FC cable,CNN,118,0.12259127276669135,0.18600159928117402
projection,0,FC cable,CNN_foldrank,118,0.1141999169868987,0.2181898056373034
projection,0,FC 第二 compartment 佔比,NBLAST,112,-0.3577779264129702,0.00010754921371371785
projection,0,FC 第二 compartment 佔比,CNN,112,-0.13104271683030902,0.1684459568121806
projection,0,FC 第二 compartment 佔比,CNN_foldrank,112,-0.1342936381214458,0.15804135015155032
projection,0,FC 第二 compartment | FC cable,NBLAST,112,-0.29184176259939354,0.0017951899137448836
projection,0,FC 第二 compartment | FC cable,CNN,112,-0.1100376959281793,0.248100058045506
projection,0,FC 第二 compartment | FC cable,CNN_foldrank,112,-0.11657793709090719,0.22092098395885876
projection,0,孤兒率 (空間不重疊),NBLAST,118,-0.934873056865248,5.265714584007242e-54
projection,0,孤兒率 (空間不重疊),CNN,118,-0.39043043302924935,1.2380276900901336e-05
projection,0,孤兒率 (空間不重疊),CNN_foldrank,118,-0.42473176630456405,1.6379014184176617e-06
projection,0,孤兒率 | EM 密度,NBLAST,118,-0.932884768693115,2.84426041602361e-53
projection,0,孤兒率 | EM 密度,CNN,118,-0.36081693263989206,5.97421944973388e-05
projection,0,孤兒率 | EM 密度,CNN_foldrank,118,-0.3964072421050601,8.842539821569235e-06
projection,1,EM 密度,NBLAST,98,0.44207536240467377,5.182723312553717e-06
projection,1,EM 密度,CNN,98,0.07678641303747039,0.4523493411915074
projection,1,EM 密度,CNN_foldrank,98,0.10092299878443006,0.3227633285888044
projection,1,EM 密度 | EM cable,NBLAST,98,0.4320172184672005,8.916940828646781e-06
projection,1,EM 密度 | EM cable,CNN,98,0.08176657575746382,0.42347699219604235
projection,1,EM 密度 | EM cable,CNN_foldrank,98,0.10641622290395493,0.2969876164529004
projection,1,EM cable,NBLAST,98,0.12451712811294327,0.2218583197766876
projection,1,EM cable,CNN,98,-0.02862822063141917,0.7796109807962266
projection,1,EM cable,CNN_foldrank,98,-0.030326049410209804,0.766902591487761
projection,1,EM cable | EM 密度,NBLAST,98,0.06889604134363869,0.5002561871575513
projection,1,EM cable | EM 密度,CNN,98,-0.04016499771998165,0.6945631571042685
projection,1,EM cable | EM 密度,CNN_foldrank,98,-0.04548947181802532,0.6564821789798236
projection,1,EM 密度 | FC 密度,NBLAST,98,0.4799857432162143,5.699063963314933e-07
projection,1,EM 密度 | FC 密度,CNN,98,0.1623110473166861,0.11031274771445587
projection,1,EM 密度 | FC 密度,CNN_foldrank,98,0.18438599261391753,0.06913666066482307
projection,1,FC 密度 | EM 密度,NBLAST,98,-0.21468791970134604,0.03376620288276145
projection,1,FC 密度 | EM 密度,CNN,98,-0.19046311060859775,0.06030846044821906
projection,1,FC 密度 | EM 密度,CNN_foldrank,98,-0.19325518728400798,0.0565727735096077
projection,1,FC cable,NBLAST,98,0.0040808388958320715,0.9681887396048537
projection,1,FC cable,CNN,98,-0.07928304817308747,0.43774039453430813
projection,1,FC cable,CNN_foldrank,98,-0.10233413188848624,0.31600879528192943
projection,1,FC 第二 compartment 佔比,NBLAST,98,0.2921880649415763,0.0035071321681289605
projection,1,FC 第二 compartment 佔比,CNN,98,0.3038694662808957,0.002351454961472587
projection,1,FC 第二 compartment 佔比,CNN_foldrank,98,0.30723842377167204,0.0020890406675309315
projection,1,FC 第二 compartment | FC cable,NBLAST,98,0.29235644727409255,0.0034873809906879392
projection,1,FC 第二 compartment | FC cable,CNN,98,0.3031154559356305,0.0024141084317656413
projection,1,FC 第二 compartment | FC cable,CNN_foldrank,98,0.3066218079026909,0.002134997176982089
