fold,n_test,fc_seen,em_seen,both_seen,neither_seen
0,122,0.860655737704918,0.6311475409836066,0.5655737704918032,0.07377049180327869
1,122,0.8114754098360656,0.7459016393442623,0.6475409836065574,0.09016393442622951
2,122,0.8442622950819673,0.680327868852459,0.5573770491803278,0.03278688524590164
3,122,0.8524590163934426,0.5983606557377049,0.5163934426229508,0.06557377049180328
4,122,0.860655737704918,0.6721311475409836,0.5983606557377049,0.06557377049180328
5,122,0.8852459016393442,0.6639344262295082,0.5819672131147541,0.03278688524590164
6,122,0.8360655737704918,0.7295081967213115,0.6475409836065574,0.08196721311475409
7,122,0.9180327868852459,0.7377049180327869,0.680327868852459,0.02459016393442623
8,122,0.9344262295081968,0.7131147540983607,0.6721311475409836,0.02459016393442623
9,121,0.8099173553719008,0.6776859504132231,0.5619834710743802,0.0743801652892562
all,1219,0.8613617719442166,0.6849876948318294,0.6029532403609515,0.05660377358490566
