test,n,value,p
prior_only_fc_prior,1050,0.7391582769674102,
prior_only_em_prior,835,0.8253714825872942,
prior_only_mean,735,0.8479643671692189,
within_label_rho_真配對_FC,371,0.34932876885208186,4.353058978808811e-12
within_label_rho_真配對_EM,371,0.5616253836742836,3.173860903492548e-32
within_label_rho_假配對_FC,364,0.08389408196014005,0.11006303949316103
within_label_rho_假配對_EM,364,0.23144173634474433,8.151904498283016e-06
counter_prior_假配對但 FC 先驗 >= 0.5,159,0.8930817610062893,
counter_prior_假配對但 EM 先驗 >= 0.5,103,0.8932038834951457,
counter_prior_真配對但 FC 先驗 <= 0.2,103,0.8446601941747572,
counter_prior_真配對但 EM 先驗 <= 0.2,60,0.7166666666666667,
accuracy_all,1219,0.9294503691550451,
