fc_id,em_id,group
5HT1A-F-200016,1191315642,dense
Cha-F-400298,1167304403,dense
Cha-F-400298,1261000309,dense
Gad1-F-700172,5813039309,dense
TH-F-100083,331662710,dense
TH-F-200037,331662710,dense
TH-F-200096,331662710,dense
TH-F-200106,5813041180,dense
TH-M-000008,1131827390,dense
TH-M-000021,604289581,dense
TH-M-000021,550404663,dense
TH-M-000032,859265651,dense
TH-M-000032,5813027592,dense
TH-M-200035,294436967,dense
TH-M-200035,452971138,dense
TH-M-300017,5813054384,dense
TH-M-300017,947573616,dense
Trh-F-000008,1671638278,dense
Trh-F-100052,361312808,dense
Trh-M-100024,329289084,dense
Trh-M-700039,5813021583,dense
Trh-M-700039,981000564,dense
VGlut-F-200143,328870472,dense
VGlut-F-200143,298612190,dense
VGlut-F-200251,548712377,dense
VGlut-F-200251,5813020996,dense
VGlut-F-200319,424716408,dense
VGlut-F-200392,857793013,dense
VGlut-F-400186,1762359683,dense
VGlut-F-400186,1916800213,dense
VGlut-F-700541,1762359683,dense
VGlut-F-700541,1888199872,dense
Cha-F-000088,1640887603,dense
Cha-F-000088,5813047691,dense
Cha-F-000239,1640572741,dense
Cha-F-000239,5813054726,dense
Cha-F-000329,640539567,dense
Cha-F-000329,1043705078,dense
Cha-F-000427,573670049,dense
Cha-F-000427,573333284,dense
Cha-F-000461,487144598,dense
Cha-F-100135,393063351,dense
Cha-F-200299,5813027276,dense
Cha-F-200299,1321564092,dense
Cha-F-300267,328611004,dense
Cha-F-300344,5812978978,dense
Cha-F-300344,5813053836,dense
Cha-F-300344,859507274,dense
Cha-F-400237,5813098368,dense
Cha-F-400237,5813027276,dense
Cha-F-500071,1105169664,dense
Cha-F-500071,1012954687,dense
Cha-F-500310,5813009312,dense
Cha-F-700236,360259229,dense
Cha-F-800090,296139882,dense
Cha-F-800090,297251714,dense
E0585-F-600004,5813010510,dense
GH146-M-000001,610274029,dense
Gad1-F-000245,953414780,dense
Gad1-F-000694,5813033371,dense
Gad1-F-000694,1480525278,dense
Gad1-F-000703,424716408,dense
Gad1-F-000703,5813068669,dense
Gad1-F-100171,1224595608,dense
Gad1-F-100784,832016427,dense
Gad1-F-200186,1916800213,dense
Gad1-F-200186,1762359683,dense
Gad1-F-200219,5901197108,dense
Gad1-F-200247,543692985,dense
Gad1-F-200719,5813039309,dense
Gad1-F-200719,1640555311,dense
Gad1-F-400220,550638250,dense
Gad1-F-500004,294436967,dense
Gad1-F-500321,574377562,dense
Gad1-F-500457,1261423370,dense
Gad1-F-600059,328546871,dense
