neuron_id,group,region_1,region_2,vox_1,vox_2,vox_neuropil,vox_total,vox_other,other_frac,share_1_total,share_2_total,share_12_total,side_1,side_2,side_share_1_total,side_share_2_total,top2_sides_same_region,region_pair
5HT1A-F-200016,dense,ccp_16,vmp_15,36712.0,25728.0,131262.0,157264.0,26002.0,0.1653398107640655,0.2334418557330349,0.16359751755010682,0.3970393732831417,ccp_16_r,vmp_15_r,0.17219452640146504,0.16359751755010682,False,ccp_16 + vmp_15
Cha-F-000088,dense,al_3,ms_12,79017.0,8699.0,90486.0,112206.0,21720.0,0.19357253622800918,0.704213678412919,0.0775270484644315,0.7817407268773506,al_3_r,ms_12_r,0.704213678412919,0.0775270484644315,False,al_3 + ms_12
Cha-F-000239,dense,al_3,dmp_10,31666.0,11513.0,69156.0,85582.0,16426.0,0.19193288308289128,0.37000771190203546,0.13452595171881937,0.5045336636208548,al_3_r,dmp_10_r,0.37000771190203546,0.13452595171881937,False,al_3 + dmp_10
Cha-F-000329,dense,vlp_21,dlp_23,23441.0,17222.0,55719.0,61116.0,5397.0,0.08830748085607697,0.38354931605471565,0.2817920020943779,0.6653413181490935,vlp_21_r,dlp_23_r,0.38354931605471565,0.2800739577197461,False,dlp_23 + vlp_21
Cha-F-000427,dense,lh_25,dfp_5,29119.0,1970.0,33024.0,34651.0,1627.0,0.04695391186401547,0.8403509278231508,0.05685261608611584,0.8972035439092667,lh_25_r,dfp_5_r,0.8403509278231508,0.05685261608611584,False,dfp_5 + lh_25
Cha-F-000461,dense,dlp_23,lh_25,46455.0,38881.0,165735.0,186515.0,20780.0,0.11141195078143849,0.24906843953569419,0.20846044554057314,0.4575288850762673,dlp_23_r,lh_25_r,0.24906843953569419,0.20846044554057314,False,dlp_23 + lh_25
Cha-F-100135,dense,dfp_5,ms_12,38225.0,4606.0,47579.0,53481.0,5902.0,0.11035694919691105,0.714739814139601,0.08612404405302818,0.8008638581926292,dfp_5_r,dfp_5_l,0.5829172977319048,0.13182251640769618,True,dfp_5 + ms_12
Cha-F-200299,dense,vlp_21,dmp_10,159328.0,5807.0,169561.0,176725.0,7164.0,0.04053755835337389,0.9015589192247843,0.03285896166360164,0.934417880888386,vlp_21_r,dmp_10_r,0.9015589192247843,0.03285896166360164,False,dmp_10 + vlp_21
Cha-F-300267,dense,dfp_5,dlp_23,37868.0,7141.0,54445.0,61876.0,7431.0,0.12009502876721184,0.6119981899282436,0.11540823582649169,0.7274064257547352,dfp_5_r,dlp_23_r,0.5353772060249531,0.11540823582649169,False,dfp_5 + dlp_23
Cha-F-300344,dense,vlp_21,spp_20,40663.0,5533.0,54140.0,57291.0,3151.0,0.05499991272625718,0.7097624408720392,0.09657712380653156,0.8063395646785708,vlp_21_r,dmp_10_r,0.7097624408720392,0.06175490042065944,False,spp_20 + vlp_21
