group,region_pair,n,pct
dense,dfp_5 + fb_6,22,14.965986394557824
dense,dfp_5 + mb_4,20,13.60544217687075
dense,al_3 + ms_12,14,9.523809523809524
dense,dfp_5 + dlp_23,11,7.482993197278912
dense,dmp_10 + vlp_21,10,6.802721088435375
dense,dfp_5 + fspp_19,9,6.122448979591836
dense,dlp_23 + lh_25,7,4.761904761904762
dense,al_3 + dfp_5,4,2.7210884353741496
dense,dlp_23 + idlp_24,4,2.7210884353741496
dense,dlp_23 + spp_20,4,2.7210884353741496
dense,dlp_23 + vlp_21,4,2.7210884353741496
dense,fb_6 + ms_12,3,2.0408163265306123
dense,spp_20 + vlp_21,3,2.0408163265306123
dense,dfp_5 + idlp_24,2,1.3605442176870748
dense,dfp_5 + ms_12,2,1.3605442176870748
dense,dfp_5 + spp_20,2,1.3605442176870748
dense,dmp_10 + fb_6,2,1.3605442176870748
dense,eb_8 + ms_12,2,1.3605442176870748
dense,lh_25 + spp_20,2,1.3605442176870748
dense,lh_25 + vlp_21,2,1.3605442176870748
dense,al_3 + ammc_2,1,0.6802721088435374
dense,al_3 + dmp_10,1,0.6802721088435374
dense,al_3 + lh_25,1,0.6802721088435374
dense,al_3 + pan_11,1,0.6802721088435374
dense,al_3 + vlp_21,1,0.6802721088435374
dense,al_3 + vmp_15,1,0.6802721088435374
dense,ccp_16 + dlp_23,1,0.6802721088435374
dense,ccp_16 + dmp_10,1,0.6802721088435374
dense,ccp_16 + vmp_15,1,0.6802721088435374
dense,cmp_13 + ms_12,1,0.6802721088435374
dense,dfp_5 + lh_25,1,0.6802721088435374
dense,dlp_23 + fspp_19,1,0.6802721088435374
dense,dlp_23 + mb_4,1,0.6802721088435374
dense,dmp_10 + lh_25,1,0.6802721088435374
dense,dmp_10 + vmp_15,1,0.6802721088435374
dense,eb_8 + lat_tri_7,1,0.6802721088435374
dense,eb_8 + mb_4,1,0.6802721088435374
dense,lob_27 + vlp_21,1,0.6802721088435374
projection,dfp_5 + mb_4,88,85.43689320388349
projection,eb_8 + mb_4,4,3.8834951456310676
projection,mb_4 + ms_12,4,3.8834951456310676
projection,dfp_5 + idlp_24,2,1.9417475728155338
projection,cal_18 + mb_4,1,0.9708737864077669
projection,dfp_5 + spp_20,1,0.9708737864077669
projection,dlp_23 + mb_4,1,0.9708737864077669
projection,lh_25 + mb_4,1,0.9708737864077669
projection,mb_4 + sog_1,1,0.9708737864077669
