check,frac_projection,frac_dense,group,n,frac_mb_ge_0.05,median,region,threshold,frac_ge_0.01,frac_ge_0.05,frac_ge_0.1,n_al_ge5,n_al_and_calyx_ge5,frac_top2_same_hemisphere,frac_top1_right
top1_mb_or_dfp,0.9805825242718447,0.3401360544217687,,,,,,,,,,,,,
top1_mb,0.6116504854368932,0.0,,,,,,,,,,,,,
top1_dfp,0.36893203883495146,0.3401360544217687,,,,,,,,,,,,,
top1_dfp_mb_share,,,projection,38.0,0.9210526315789473,0.31008915912188634,,,,,,,,,
top1_dfp_mb_share,,,dense,50.0,0.48,0.04539738398807153,,,,,,,,,
mb_or_dfp,1.0,0.7210884353741497,,,,,mb_4|dfp_5,0.01,,,,,,,
mb_and_dfp,0.970873786407767,0.42857142857142855,,,,,mb_4&dfp_5,0.01,,,,,,,
mb_or_dfp,1.0,0.6054421768707483,,,,,mb_4|dfp_5,0.05,,,,,,,
mb_and_dfp,0.9223300970873787,0.21768707482993196,,,,,mb_4&dfp_5,0.05,,,,,,,
mb_or_dfp,1.0,0.5034013605442177,,,,,mb_4|dfp_5,0.1,,,,,,,
mb_and_dfp,0.8446601941747572,0.1292517006802721,,,,,mb_4&dfp_5,0.1,,,,,,,
mb_or_dfp,0.9902912621359223,0.47619047619047616,,,,,mb_4|dfp_5,0.15,,,,,,,
mb_and_dfp,0.7864077669902912,0.08843537414965986,,,,,mb_4&dfp_5,0.15,,,,,,,
mb_or_dfp,0.9805825242718447,0.42857142857142855,,,,,mb_4|dfp_5,0.2,,,,,,,
mb_and_dfp,0.6699029126213593,0.047619047619047616,,,,,mb_4&dfp_5,0.2,,,,,,,
region_share,,,projection,,,0.348248650145369,mb_4,,1.0,0.970873786407767,0.970873786407767,,,,
region_share,,,dense,,,0.006764647889460193,mb_4,,0.4421768707482993,0.22448979591836735,0.1360544217687075,,,,
region_share,,,projection,,,0.31393109351594267,dfp_5,,0.970873786407767,0.9514563106796117,0.8737864077669902,,,,
region_share,,,dense,,,0.09369834231951675,dfp_5,,0.7074829931972789,0.5986394557823129,0.4965986394557823,,,,
region_share,,,projection,,,0.0,al_3,,0.038834951456310676,0.0,0.0,,,,
region_share,,,dense,,,0.0,al_3,,0.19047619047619047,0.16326530612244897,0.16326530612244897,,,,
region_share,,,projection,,,0.0,cal_18,,0.02912621359223301,0.009708737864077669,0.009708737864077669,,,,
region_share,,,dense,,,0.0,cal_18,,0.07482993197278912,0.006802721088435374,0.0,,,,
region_share,,,projection,,,0.0,lh_25,,0.0970873786407767,0.05825242718446602,0.009708737864077669,,,,
region_share,,,dense,,,0.0010691651367757636,lh_25,,0.3469387755102041,0.16326530612244897,0.10884353741496598,,,,
pn_like,,,projection,,,,,,,,,0.0,0.0,,
pn_like,,,dense,,,,,,,,,24.0,0.0,,
hemisphere,,,projection,,,,,,,,,,,0.9029126213592233,0.9320388349514563
hemisphere,,,dense,,,,,,,,,,,0.8231292517006803,0.9727891156462585
