neuron_id,group,exclusive,n_pairs,sidetot_top1,sidetot_top2,sidetot_top1_2_sum,sidetot_top3_sum,sidetot_balance21,sidetot_dominance_gap,sidetot_hhi,sidetot_entropy,sidetot_neff_shannon,sidetot_neff_simpson,sidetot_n_above_thr,sidetot_n_above_10pct,sidetot_n_above_20pct,regiontot_top1,regiontot_top2,regiontot_top1_2_sum,regiontot_top3_sum,regiontot_balance21,regiontot_dominance_gap,regiontot_hhi,regiontot_entropy,regiontot_neff_shannon,regiontot_neff_simpson,regiontot_n_above_thr,regiontot_n_above_10pct,regiontot_n_above_20pct,top_region,second_region,top_region_laterality,other_fraction,neuropil_fraction,total_voxels,neuropil_voxels,source,cable_length_um,n_nodes,n_branch_points,n_tips,branch_per_100um,span_um,radius_gyration_um,hull_volume_um3,hull_area_um2,occupied_volume_um3,n_voxels,fill_ratio,cable_per_occupied_um2,cable_per_hull_um2,cable_per_rg,cable_per_span,local_density_r5,local_density_r10,revisit_r4um,revisit_r8um,revisit_r16um,overdraw_2d_mean,overdraw_2d_max,elongation,flatness,arbor_separation,arbor_balance,arbor_centroid_dist_um,bridge_fraction
Gad1-F-601324,projection,True,2,0.3558692421991085,0.3277966461473148,0.6836658883464233,0.7426236467841223,0.9211154190277364,0.0280725960517936,0.3012640040307259,1.275789288449491,3.5815271528050907,3.31934777013058,3.0,2.0,2.0,0.3558692421991085,0.3277966461473148,0.6836658883464233,0.7426236467841223,0.9211154190277364,0.0280725960517936,0.3012640040307259,1.275789288449491,3.5815271528050907,3.31934777013058,3.0,2.0,2.0,mb_4,cal_18,1.0,0.2523349607302059,0.7476650392697941,18844.0,14089.0,FC,727.2073433611608,913,17,19,2.337710166872876,187.02881520110188,74.52595055569073,371597.11630813614,34844.4572151965,3480.0,435,0.0093649811779333,0.2089676274026324,0.001956977897423,9.757773472714629,3.8882101807640415,19.0,49.0,0.8152548692389695,0.8339533754141752,0.946884561668178,1.3535169165758376,1.4258967516885506,0.3612201996090696,0.1372090813978768,3.8089876069760544,0.915038297196022,132.0681507397551,0.3128785153356169
Gad1-F-600115,projection,True,1,0.3846717272606206,0.2746703955253695,0.6593421227859901,0.7411106671993608,0.7140384282499567,0.110001331735251,0.2897360562450908,1.3415722776005263,3.825052824846517,3.45141717244225,3.0,2.0,2.0,0.3846717272606206,0.3564389399387401,0.7411106671993608,0.7550273005726462,0.9266055045871558,0.0282327873218804,0.3346743086172032,1.1464874647853904,3.147119105828588,2.9879795797047244,2.0,2.0,2.0,dfp_5,mb_4,1.0,0.2438407244639765,0.7561592755360235,15018.0,11356.0,FC,963.4563382558148,214,27,29,2.8024103353639487,161.74426067523652,44.81181672263409,248379.70788579356,25192.736821555864,4448.0,556,0.0179080651872141,0.2166043925934835,0.003878965582401,21.50005085085472,5.956664763458421,13.0,38.0,0.8055655002138921,0.8192655937549447,0.9871478875571874,1.3915274522076706,1.5054005285247107,0.4712032067083421,0.3072997175674381,2.3621321914763573,0.7015129550271119,69.02064083329743,0.3506980461999072
fru-M-400031,projection,True,2,0.4479830148619957,0.2836028090805161,0.7315858239425119,0.7885840274375308,0.6330659861465548,0.1643802057814796,0.3269625762670417,1.236330272264428,3.442955543954397,3.058454002342045,3.0,2.0,2.0,0.4503919647231749,0.3406010125755349,0.7909929772987098,0.7936469051118733,0.7562324358625692,0.10979095214764,0.3614506147574269,1.0674933231569117,2.9080807373370066,2.7666296837566864,2.0,2.0,2.0,dfp_5,mb_4,0.9893028737195178,0.2063530948881267,0.7936469051118733,24492.0,19438.0,FC,1082.171633159372,197,32,36,2.957017077464582,137.64034500509942,39.93179880251724,220797.362934323,23160.29462075379,5008.0,626,0.0226814303098794,0.2160885848960407,0.00490119817908,27.10049798936565,7.862314157373543,12.0,41.0,0.7933809627268124,0.8350089762032191,1.1661332253872545,1.4357371124826006,1.5199039791564215,0.6978075023258886,0.2742298321993919,1.835226624604708,0.6548113003356416,54.541208792381376,0.3782018614772307
Gad1-F-900001,projection,True,2,0.5196277676756872,0.2799229864156594,0.7995507540913467,0.8643705209113275,0.538699053108275,0.2397047812600277,0.3691987205453456,1.1737212506485124,3.2340048170258813,2.708568433072829,3.0,2.0,2.0,0.5260990480265268,0.3447427532356402,0.870841801262167,0.8712161728527115,0.6552810816305785,0.1813562947908866,0.4122131885316978,0.9719433513244002,2.6430758966907497,2.425929174081007,2.0,2.0,2.0,dfp_5,mb_4,0.9753990037613094,0.1287838271472884,0.8712161728527115,18698.0,16290.0,FC,1170.540189758804,262,44,46,3.75894825183802,145.80186559462217,37.20505473809786,233054.84606513145,22765.95193939827,5536.0,692,0.0237540651630683,0.2114415082656799,0.0050225953655204,31.461859094113212,8.028293636607478,12.0,44.0,0.8151394079100306,0.865784164022784,1.1255194132296191,1.4167991017054853,1.465006495317652,0.6008895967356418,0.4093993596643137,2.980100593574714,0.1419036788164223,79.06553225422537,0.373876494994505
Gad1-F-700131,projection,True,2,0.5424338864893536,0.1276047586572705,0.6700386451466243,0.7481624611654164,0.2352448138576517,0.414829127832083,0.3678773047040681,1.2299775408517128,3.421152699251044,2.718297615028008,3.0,2.0,1.0,0.5424338864893536,0.1276047586572705,0.6700386451466243,0.7481624611654164,0.2352448138576517,0.414829127832083,0.367877304704068,1.2299775408517128,3.421152699251044,2.7182976150280083,3.0,2.0,1.0,dfp_5,mb_4,1.0,0.224861710994923,0.7751382890050769,26394.0,20459.0,FC,1479.2291642355367,349,60,62,4.0561666475125175,166.9198850029684,37.39536331084931,194270.97238123763,21915.09898399617,6904.0,863,0.0355379906497383,0.2142568314362017,0.0076142572722223,39.5564859723231,8.861910995261175,15.0,53.0,0.80392889360627,0.93859718542864,1.4445597306987663,1.4813609818268307,1.6201852839381563,0.4567075924230768,0.2724666932610918,2.3578410908561502,0.4370486107465415,59.76493862346001,0.3406918872143787
fru-F-400141,projection,True,2,0.3607960624866252,0.3102931735501819,0.6710892360368071,0.7355874170768243,0.8600237247924081,0.0505028889364433,0.2840387950155445,1.378894607141218,3.9705102271797807,3.520645832711948,3.0,2.0,2.0,0.4252942435266424,0.3139310935159426,0.7392253370425851,0.7702118553391826,0.7381503471872799,0.1113631500106997,0.3328378179917148,1.178068447079481,3.248094273853733,3.0044662774014834,2.0,2.0,2.0,mb_4,dfp_5,0.6966891415920298,0.2290177616092445,0.7709822383907554,23365.0,18014.0,FC,1480.72485635058,313,68,72,4.592345411665066,170.38466051645773,42.75607731005847,334583.8290537367,28972.847726690416,6808.0,851,0.0203476659922694,0.2174977756096621,0.0044255720921669,34.6319154961916,8.690482182271065,16.0,48.0,0.8300027221696076,0.9348010456758712,1.2177013621304111,1.4997280731876763,1.6025160783014936,0.6121253474522379,0.3545563051334627,3.316331194174212,0.1083720983524568,101.01837699907544,0.3834342568547653
fru-F-700104,projection,True,2,0.3678824950913759,0.3412626491466546,0.7091451442380305,0.7774505361727836,0.9276403571795137,0.0266198459447213,0.2847915020107949,1.3945677803127066,4.033230954024472,3.5113407280042206,4.0,2.0,2.0,0.4086995922066153,0.3687887026128983,0.7774882948195136,0.8457936867542667,0.9023466371027348,0.0399108895937169,0.3314856774569599,1.205171309172781,3.337330744469299,3.0167215901201034,3.0,2.0,2.0,mb_4,dfp_5,0.6699926090169993,0.1542063132457332,0.8457936867542667,26484.0,22400.0,FC,1605.43872553218,345,79,84,4.920773290417086,152.36494229597875,39.83657972343504,340930.9274542371,28795.28203533079,7432.0,929,0.0217991370143372,0.2160170513364074,0.0047089852995154,40.30061658601011,10.536798697521322,16.0,48.0,0.8431926079475736,0.9205497279427638,1.238764448713102,1.5034065368105385,1.573959534835471,0.6239113523208636,0.4776605423749713,3.2778688333668518,0.1036458850122521,94.37820693365988,0.3898734460089584
Gad1-F-500365,projection,True,2,0.5743778280542986,0.1744343891402714,0.7488122171945701,0.7821549773755656,0.3036927621861152,0.3999434389140271,0.4088438712480293,1.069637229680002,2.91432207863501,2.4459214637299524,2.0,2.0,1.0,0.5743778280542986,0.1744343891402714,0.7488122171945701,0.7821549773755656,0.3036927621861152,0.3999434389140271,0.4088438712480292,1.069637229680002,2.91432207863501,2.445921463729953,2.0,2.0,1.0,dfp_5,mb_4,1.0,0.2177036199095022,0.7822963800904977,35360.0,27662.0,FC,1690.4307820456054,393,77,82,4.555051932195745,146.07085020241277,32.55292533014443,227147.5640721747,21745.057186692466,7680.0,960,0.0338106201198782,0.2201081747455215,0.0074419938816006,51.92869042955855,11.572677092678983,17.0,63.0,0.8418479990266959,1.0110231950033526,1.488055265885216,1.564253212825826,1.6654490463503502,0.4829409532531027,0.4026154212698279,1.9869630932437992,0.6364715556091437,46.4589439547476,0.3791599487496106
G0239-F-000011,projection,True,2,0.3594896135116809,0.3258645133452506,0.6853541268569315,0.7662577821611293,0.9064643347050754,0.0336251001664303,0.2671262942984267,1.4971425784300316,4.468901274081894,3.74354760779493,4.0,2.0,2.0,0.3594896135116809,0.3258645133452506,0.6853541268569315,0.7662577821611293,0.9064643347050754,0.0336251001664303,0.2671262942984267,1.4971425784300314,4.468901274081893,3.74354760779493,4.0,2.0,2.0,dfp_5,mb_4,1.0,0.1398015163656537,0.8601984836343463,32446.0,27910.0,FC,1697.3379090721028,374,73,77,4.300852506140482,261.3973353292521,66.58655493422236,662868.4115050888,55414.28740164691,7720.0,965,0.01164635373478,0.2198624234549356,0.0025605955565421,25.490700198393217,6.493325216701853,19.0,76.0,0.8952204161772694,1.1225779821905442,1.4532002646165263,1.599480343288504,1.75344825317366,0.4480546596457107,0.2523974198263515,4.486935179328079,0.1381282048109454,168.42208592355465,0.3108253375570388
Gad1-F-500524,projection,True,2,0.2622233107797814,0.1570890610170529,0.4193123717968343,0.5560420047148149,0.5990659661412727,0.1051342497627284,0.2511607102354041,1.4967173088584578,4.467001190404182,3.981514461647823,4.0,3.0,1.0,0.3379052750818969,0.1574870648746288,0.4953923399565257,0.6321219728745063,0.4660686780828124,0.1804182102072681,0.2909769048311756,1.3142104522928468,3.721811277323636,3.436698869898965,3.0,3.0,1.0,mb_4,dfp_5,0.5520521880945909,0.3650920001224627,0.6349079998775373,32663.0,20738.0,FC,1707.4191831389055,405,79,80,4.626866136924094,207.2917458268672,46.82389200306054,410138.8791022501,34377.75941021469,7872.0,984,0.0191934985954781,0.2168977620857349,0.0041630268919548,36.46470017971389,8.23679291391064,16.0,46.0,0.8224562539204747,0.9005375438496337,1.100141226249295,1.490773465761613,1.646498730124306,0.541718930405651,0.425756553831364,3.1212406098863137,0.1378381908235953,102.39477283196506,0.3952887761357187
