tol,n_matched_pairs,feature,auc,cliffs_delta,p
1.25,40,regiontot_top2,0.683125,-0.36624999999999996,0.004884063010547593
1.25,40,sidetot_top2,0.80375,-0.6074999999999999,2.986793263176959e-06
1.25,40,regiontot_balance21,0.65375,-0.3075,0.018160720694238207
1.25,40,sidetot_balance21,0.705625,-0.41125,0.0015723242610790444
1.25,40,regiontot_top1,0.561875,0.12375000000000003,0.3432227814163519
1.25,40,regiontot_top3_sum,0.563125,-0.12624999999999997,0.3335131899573651
1.25,40,regiontot_n_above_20pct,0.5875,-0.17500000000000004,0.11544796262311124
1.25,40,sidetot_n_above_20pct,0.74125,-0.48250000000000004,2.3564698742316855e-05
1.25,40,other_fraction,0.5549999999999999,-0.10999999999999999,0.3998052259800805
1.25,40,regiontot_neff_simpson,0.515625,0.03125,0.8136256134756809
1.5,53,regiontot_top2,0.6995372018511926,-0.3990744037023852,0.0004025104722651281
1.5,53,sidetot_top2,0.793876824492702,-0.587753648985404,1.8594218472192924e-07
1.5,53,regiontot_balance21,0.6934852260590958,-0.3869704521181915,0.000601325993105368
1.5,53,sidetot_balance21,0.7290850836596654,-0.4581701673193307,4.84712573776133e-05
1.5,53,regiontot_top1,0.6336774652901388,0.2673549305802776,0.017812833328350295
1.5,53,regiontot_top3_sum,0.5318618725525098,0.06372374510501966,0.5738721344149951
1.5,53,regiontot_n_above_20pct,0.6037735849056604,-0.2075471698113207,0.03261307920173628
1.5,53,sidetot_n_above_20pct,0.7235671057315771,-0.44713421146315413,6.494483902203431e-06
1.5,53,other_fraction,0.6343894624421502,-0.26877892488430044,0.017213138649259944
1.5,53,regiontot_neff_simpson,0.5525097899608402,-0.10501957992168032,0.35297279889010325
2.0,78,regiontot_top2,0.7616699539776463,-0.5233399079552925,1.6910698339329817e-08
2.0,78,sidetot_top2,0.8369493754109139,-0.6738987508218277,3.749589446054244e-13
2.0,78,regiontot_balance21,0.7412886259040106,-0.482577251808021,1.9774125419907447e-07
2.0,78,sidetot_balance21,0.7690664036817882,-0.5381328073635766,6.613447322783051e-09
2.0,78,regiontot_top1,0.6365877712031558,0.2731755424063116,0.003243690116035362
2.0,78,regiontot_top3_sum,0.5124917817225509,0.024983563445101886,0.7890038931486864
2.0,78,regiontot_n_above_20pct,0.6858974358974359,-0.3717948717948718,3.3924134342901593e-06
2.0,78,sidetot_n_above_20pct,0.7779421433267587,-0.5558842866535174,1.0650433655738724e-11
2.0,78,other_fraction,0.688198553583169,-0.3763971071663379,4.979263760488239e-05
2.0,78,regiontot_neff_simpson,0.5192307692307692,-0.038461538461538436,0.6796609077126554
