fc_id,em_id,group,label,score,em_density,em_cable_in_query_hull_um,query_hull_um3,eff_density,orphan_fwd
Cha-F-000009,1048215779,projection,1,0.3657734650382657,0.016002091438961,6423.0,489708.78304938454,0.013115958345701704,0.316622691292876
Cha-F-000009,1078693835,projection,1,0.4638950817708449,0.0243669855778049,24865.0,489708.78304938454,0.050775074617137296,0.17355614189387278
Cha-F-400112,1224258912,projection,0,-0.865296525614647,0.0091179727043628,0.0,321402.5919650599,0.0,1.0
Cha-F-400112,5813022925,projection,0,-0.8119221613793822,0.0068913572478504,0.0,321402.5919650599,0.0,1.0
Cha-F-400201,1639886198,projection,0,-0.7753938172541694,0.0297841940948102,0.0,555304.7631873908,0.0,1.0
Cha-F-400201,1640555311,projection,0,-0.7674157860105526,0.0252402226461247,0.0,555304.7631873908,0.0,1.0
Cha-F-800086,579916831,projection,0,0.0755932580147284,0.0034028474886436,1674.0,1577004.6920317577,0.0010615060363855207,0.3897012078830261
Cha-F-800086,5812981543,projection,1,0.1956345249806534,0.0072280261757006,8267.0,1577004.6920317577,0.0052422164891273,0.42657342657342656
E0585-F-200015,457175171,projection,1,0.2721011366949297,0.0036420220650583,8185.0,1890265.0876449212,0.004330080502199658,0.4044642857142857
E0585-F-200015,518899665,projection,0,0.1794890506894377,0.0046005613689424,8345.0,1890265.0876449212,0.004414724714826652,0.40267857142857144
E0585-F-300042,457175171,projection,1,0.3616640610217221,0.0036420220650583,7912.0,1399067.8340258158,0.005655193985293215,0.3241106719367589
E0585-F-300042,642664141,projection,1,0.3564795441419253,0.0038952075205343,3590.0,1399067.8340258158,0.002565994237512973,0.2391304347826087
fru-F-200052,1228683492,projection,0,-0.796706349076046,0.0124914602425787,0.0,418957.4666215898,0.0,1.0
fru-F-200052,456156825,projection,0,-0.2654480160090322,0.0049672818079755,4136.0,418957.4666215898,0.009872123853889235,0.951510333863275
fru-F-400010,862705904,projection,1,0.2493414234178971,0.0067382309598167,5818.0,379335.8010857549,0.015337334317898322,0.3132400430570506
fru-F-400010,1173745330,projection,1,0.345297960645134,0.0049933603985814,2341.0,379335.8010857549,0.0061713131038501155,0.2319698600645856
fru-F-400071,1205090786,projection,1,0.3521866387446078,0.0051644024342298,4774.0,431858.2770187927,0.011054552509577709,0.20293724966622162
fru-F-400071,1173745330,projection,1,0.2529921939187209,0.0049933603985814,2458.0,431858.2770187927,0.0056916820420071235,0.40186915887850466
fru-F-400141,862705904,projection,1,0.2710010317956982,0.0067382309598167,6323.0,363176.5377037328,0.017410265652012164,0.2882388787324802
fru-F-400141,1142356576,projection,1,0.4098586893575159,0.0076559704478945,5558.0,363176.5377037328,0.01530385204711112,0.1785496648385131
fru-F-400196,1100792636,projection,0,-0.774029440740762,0.0116892928304314,0.0,368586.85124129575,0.0,1.0
fru-F-400196,1141324564,projection,1,0.3432899088869561,0.0048580545335437,1909.0,368586.85124129575,0.005179240641848808,0.3494094488188976
fru-F-400214,983759126,projection,1,0.3250486307209309,0.0048562414811737,5366.0,525617.3552475931,0.010208947528896443,0.2628428927680798
fru-F-400214,1173045815,projection,1,0.3225903170873185,0.0057789996728459,2996.0,525617.3552475931,0.005699963994888883,0.2483790523690773
fru-F-400229,5813087817,projection,1,0.3406697183614339,0.0062531361524346,8883.0,577651.4898586594,0.015377784279883887,0.2873900293255132
fru-F-400229,1700644008,projection,0,-0.6751889210432005,0.0069635322587279,109.0,577651.4898586594,0.0001886950902293531,1.0
