fc_id,em_id,label_x,label_y,_merge
Cha-F-000088,1640909284,1.0,1.0,both
Cha-F-000088,1699974843,1.0,1.0,both
VGlut-F-200392,792326206,1.0,1.0,both
Cha-F-000088,5813055277,1.0,1.0,both
VGlut-F-400898,1640922516,0.0,0.0,both
Trh-M-500163,862671913,1.0,1.0,both
VGlut-F-400186,1640922516,0.0,0.0,both
VGlut-F-500335,1640922516,0.0,0.0,both
Trh-M-100024,5813020684,0.0,0.0,both
VGlut-F-700541,1640922516,0.0,0.0,both
Trh-M-300140,1008024276,1.0,1.0,both
Trh-M-500163,953410147,1.0,1.0,both
VGlut-F-800130,5813132949,1.0,1.0,both
Trh-M-500163,672006007,1.0,1.0,both
TH-F-300062,1262360335,1.0,1.0,both
Trh-M-500163,891663788,1.0,1.0,both
VGlut-F-000463,1037293275,1.0,1.0,both
Trh-M-400110,1008024276,1.0,1.0,both
Trh-F-400055,1008024276,1.0,1.0,both
Trh-F-300112,1008024276,1.0,1.0,both
Trh-M-400023,988567837,1.0,1.0,both
TH-M-100063,1449247522,1.0,1.0,both
VGlut-F-400898,1668944259,1.0,1.0,both
Trh-M-400052,1008024276,1.0,1.0,both
Trh-M-400131,1008024276,1.0,1.0,both
fru-F-000094,298603730,1.0,1.0,both
Cha-F-000239,1037293275,0.0,0.0,both
VGlut-F-000177,672283773,0.0,0.0,both
TH-F-300062,1666561406,1.0,1.0,both
VGlut-F-400757,1730651751,1.0,1.0,both
TH-F-300062,1168915489,1.0,1.0,both
Trh-M-300138,1008024276,1.0,1.0,both
TH-M-100057,1449247522,1.0,1.0,both
TH-F-200026,329970706,0.0,0.0,both
VGlut-F-300438,5813019526,1.0,1.0,both
Cha-F-000239,1794055377,1.0,1.0,both
VGlut-F-200392,5813027276,0.0,0.0,both
VGlut-F-400186,1730651751,1.0,1.0,both
Cha-F-000239,1316245799,0.0,0.0,both
TH-F-200106,1225640135,1.0,1.0,both
TH-F-100036,359931311,1.0,1.0,both
VGlut-F-400184,1730651751,1.0,1.0,both
Trh-M-400023,1051980223,1.0,1.0,both
Trh-M-300071,1008024276,1.0,1.0,both
VGlut-F-700541,1668944259,1.0,1.0,both
VGlut-F-100002,1978573010,1.0,1.0,both
VGlut-F-300438,297580589,0.0,0.0,both
VGlut-F-600204,5813064410,0.0,0.0,both
TH-F-200004,484126552,0.0,0.0,both
VGlut-F-500335,1730651751,1.0,1.0,both
Cha-F-400237,5813021533,0.0,0.0,both
TH-M-000032,542376096,0.0,0.0,both
Trh-M-400131,988567837,1.0,1.0,both
TH-M-300063,329970706,1.0,1.0,both
TH-F-000036,510987433,0.0,0.0,both
Cha-F-500071,609548390,1.0,1.0,both
TH-M-200010,5813083780,0.0,0.0,both
VGlut-F-200036,979627466,0.0,0.0,both
VGlut-F-000463,5813024692,0.0,0.0,both
TH-M-200095,393766777,0.0,0.0,both
Cha-F-400237,701201945,1.0,1.0,both
Gad1-F-600059,359598627,1.0,1.0,both
Gad1-F-600059,1110972158,1.0,1.0,both
Cha-F-000329,454002974,0.0,0.0,both
Cha-F-200299,5812987694,1.0,1.0,both
TH-F-000036,486880919,0.0,0.0,both
VGlut-F-100002,5813055298,0.0,0.0,both
Gad1-F-600059,298595394,1.0,1.0,both
TH-M-200010,735941254,0.0,0.0,both
VGlut-F-400049,327499164,0.0,0.0,both
TH-M-200095,579575594,0.0,0.0,both
VGlut-F-600204,1005857944,0.0,0.0,both
VGlut-F-600204,5813068748,0.0,0.0,both
VGlut-F-400049,330268940,0.0,0.0,both
VGlut-F-200319,421646999,0.0,0.0,both
Gad1-F-600059,455431209,1.0,1.0,both
VGlut-F-000158,361273559,0.0,0.0,both
VGlut-F-600204,669325882,0.0,0.0,both
TH-F-100075,510987433,0.0,0.0,both
TH-F-200004,510987433,0.0,0.0,both
TH-F-100075,329225149,0.0,0.0,both
TH-F-000036,326817334,0.0,0.0,both
Cha-F-000329,579510789,1.0,1.0,both
VGlut-F-000158,298214577,0.0,0.0,both
VGlut-F-300438,358890923,0.0,0.0,both
TH-M-000029,5813055949,0.0,0.0,both
TH-F-000010,359931311,1.0,1.0,both
Cha-F-200299,5813059915,0.0,0.0,both
VGlut-F-200036,5813056261,0.0,0.0,both
VGlut-F-000016,5813033371,0.0,0.0,both
Trh-M-700039,543692985,0.0,0.0,both
TH-F-200106,5813055913,0.0,0.0,both
TH-F-300062,5813082239,1.0,1.0,both
VGlut-F-300438,390280026,0.0,0.0,both
Trh-M-300071,5813062858,1.0,1.0,both
TH-M-200013,1107561814,0.0,0.0,both
TH-M-000029,487143497,0.0,0.0,both
VGlut-F-000111,484359937,1.0,1.0,both
Trh-M-700039,516055524,0.0,0.0,both
Cha-F-300267,329646990,0.0,0.0,both
VGlut-F-500002,329225149,0.0,0.0,both
Cha-F-100135,424793122,0.0,0.0,both
VGlut-F-100002,5813126031,0.0,0.0,both
VGlut-F-100002,2095549849,0.0,0.0,both
VGlut-F-000111,5813032849,1.0,1.0,both
VGlut-F-400049,360255138,0.0,0.0,both
VGlut-F-000303,5813056909,0.0,0.0,both
VGlut-F-000111,671233447,1.0,1.0,both
TH-F-300078,576825965,0.0,0.0,both
Cha-F-100135,735941254,0.0,0.0,both
VGlut-F-400049,329225149,0.0,0.0,both
TH-M-300063,5813020673,0.0,0.0,both
TH-F-000019,514842241,0.0,0.0,both
Cha-F-000329,609548390,1.0,1.0,both
TH-M-000008,5813055913,0.0,0.0,both
TH-M-200013,5813048837,0.0,0.0,both
TH-F-000019,487143497,0.0,0.0,both
VGlut-F-200392,5812987694,0.0,0.0,both
Trh-M-100071,707539688,0.0,0.0,both
TH-F-000036,602368546,0.0,0.0,both
VGlut-F-700261,1228265278,0.0,0.0,both
TH-F-000009,1014344148,0.0,0.0,both
Trh-M-200043,2040301572,0.0,0.0,both
TH-F-000009,5813063093,0.0,0.0,both
VGlut-F-000303,329897255,0.0,0.0,both
Trh-F-100066,707539688,0.0,0.0,both
VGlut-F-100035,5813068707,1.0,1.0,both
VGlut-F-100035,488231898,0.0,0.0,both
Trh-F-100001,707539688,0.0,0.0,both
VGlut-F-200062,487143497,0.0,0.0,both
Trh-F-100001,922069357,0.0,0.0,both
Trh-M-100071,614081151,0.0,0.0,both
VGlut-F-400334,576825965,0.0,0.0,both
Trh-M-700039,1043117106,0.0,0.0,both
Trh-M-100071,922069357,0.0,0.0,both
TH-F-200064,5813055800,0.0,0.0,both
Trh-F-100038,704699661,0.0,0.0,both
TH-F-300078,736860990,0.0,0.0,both
Trh-F-100066,614081151,0.0,0.0,both
TH-F-200096,5813020673,1.0,1.0,both
Trh-M-100025,614081151,0.0,0.0,both
VGlut-F-200062,417221397,0.0,0.0,both
TH-F-100095,329970706,0.0,0.0,both
TH-M-300005,423101189,0.0,0.0,both
VGlut-F-100035,636789034,0.0,0.0,both
Trh-F-100066,5813057861,0.0,0.0,both
TH-F-200096,5813055800,0.0,0.0,both
VGlut-F-000177,1042656011,0.0,0.0,both
Trh-M-100025,705795727,0.0,0.0,both
TH-M-200013,1192019859,0.0,0.0,both
