fc_id,em_id,score,label
Cha-F-000009,1078693835,0,1.0
Cha-F-800086,5812981264,0,1.0
E0585-F-200015,457175171,0,0.8
G0239-F-000001,300972942,0,1.0
G0239-F-000001,5813068729,0,1.0
G0239-F-000003,300972942,0,1.0
G0239-F-000003,5813068729,0,1.0
G0239-F-000005,300972942,0,1.0
G0239-F-000005,5813068729,0,1.0
G0239-F-000007,300972942,0,1.0
G0239-F-000007,5813068729,0,1.0
G0239-F-000008,300972942,0,1.0
G0239-F-000008,5813068729,0,1.0
G0239-F-000009,5813068729,0,1.0
G0239-F-000009,300972942,0,1.0
G0239-F-000012,300972942,0,1.0
G0239-F-000012,5813068729,0,1.0
G0239-F-000013,300972942,0,1.0
G0239-F-000013,5813068729,0,1.0
Gad1-F-300154,517854468,0,0.8
Gad1-F-300154,423774471,0,0.8
Gad1-F-400259,457175171,0,1.0
Gad1-F-500365,768555687,0,0.8
Gad1-F-500365,5812982924,0,1.0
Gad1-F-500365,672352543,0,1.0
Gad1-F-500365,673085197,0,1.0
Gad1-F-500365,706840303,0,1.0
Gad1-F-700131,673085197,0,0.8
Gad1-F-700131,706840303,0,1.0
Gad1-F-700131,5812982924,0,1.0
Gad1-F-700131,768555687,0,1.0
Gad1-F-700131,672352543,0,1.0
TH-F-000101,331662710,0,1.0
TH-F-100083,331662710,0,1.0
TH-F-100099,331662710,0,1.0
TH-F-200033,517514142,0,0.9
TH-F-200081,331662710,0,1.0
TH-M-300021,517514142,0,0.8
