,fc_id,em_id
0,5HT1A-F-200016,1191315642
1,Cha-F-400298,1167304403
2,Cha-F-400298,1261000309
3,Gad1-F-700172,5813039309
4,TH-F-100083,331662710
5,TH-F-200037,331662710
6,TH-F-200096,331662710
7,TH-F-200106,5813041180
8,TH-M-000008,1131827390
9,TH-M-000021,604289581
10,TH-M-000021,550404663
11,TH-M-000032,859265651
12,TH-M-000032,5813027592
13,TH-M-200035,294436967
14,TH-M-200035,452971138
15,TH-M-300017,5813054384
16,TH-M-300017,947573616
17,Trh-F-000008,1671638278
18,Trh-F-100052,361312808
19,Trh-M-100024,329289084
20,Trh-M-700039,5813021583
21,Trh-M-700039,981000564
22,VGlut-F-200143,328870472
23,VGlut-F-200143,298612190
24,VGlut-F-200251,548712377
25,VGlut-F-200251,5813020996
26,VGlut-F-200319,424716408
27,VGlut-F-200392,857793013
28,VGlut-F-400186,1762359683
29,VGlut-F-400186,1916800213
30,VGlut-F-700541,1762359683
31,VGlut-F-700541,1888199872
32,Cha-F-000088,1640887603
33,Cha-F-000088,5813047691
34,Cha-F-000239,1640572741
35,Cha-F-000239,5813054726
36,Cha-F-000329,640539567
37,Cha-F-000329,1043705078
38,Cha-F-000427,573670049
39,Cha-F-000427,573333284
40,Cha-F-000461,487144598
41,Cha-F-100135,393063351
42,Cha-F-200299,5813027276
43,Cha-F-200299,1321564092
44,Cha-F-300267,328611004
45,Cha-F-300344,5812978978
46,Cha-F-300344,5813053836
47,Cha-F-300344,859507274
48,Cha-F-400237,5813098368
49,Cha-F-400237,5813027276
50,Cha-F-500071,1105169664
51,Cha-F-500071,1012954687
52,Cha-F-500310,5813009312
53,Cha-F-700236,360259229
54,Cha-F-800090,296139882
55,Cha-F-800090,297251714
56,E0585-F-600004,5813010510
57,GH146-M-000001,610274029
58,Gad1-F-000245,953414780
59,Gad1-F-000694,5813033371
60,Gad1-F-000694,1480525278
61,Gad1-F-000703,424716408
62,Gad1-F-000703,5813068669
63,Gad1-F-100171,1224595608
64,Gad1-F-100784,832016427
65,Gad1-F-200186,1916800213
66,Gad1-F-200186,1762359683
67,Gad1-F-200219,5901197108
68,Gad1-F-200247,543692985
69,Gad1-F-200719,5813039309
70,Gad1-F-200719,1640555311
71,Gad1-F-400220,550638250
72,Gad1-F-500004,294436967
73,Gad1-F-500321,574377562
74,Gad1-F-500457,1261423370
75,Gad1-F-600059,328546871
76,Gad1-F-600604,1793403571
77,Gad1-F-700193,634379734
78,Gad1-F-700607,977338882
79,Gad1-F-700607,915610561
80,Gad1-F-700607,1008378609
81,Gad1-F-800371,5813082723
82,Gad1-F-900395,5813049380
83,TH-F-000009,5813054384
84,TH-F-000009,1378251040
85,TH-F-000010,5812980529
86,TH-F-000010,360591860
87,TH-F-000010,5901203505
88,TH-F-000012,487144598
89,TH-F-000019,859265651
90,TH-F-000019,5813027592
91,TH-F-000036,859265651
92,TH-F-000046,604289581
93,TH-F-000046,550404663
94,TH-F-000079,1378251040
95,TH-F-000091,331662710
96,TH-F-100005,1378251040
97,TH-F-100005,5813054384
98,TH-F-100036,360591860
99,TH-F-100036,5901203505
100,TH-F-100050,1131827390
101,TH-F-100075,859265651
102,TH-F-100095,331662710
103,TH-F-100099,331662710
104,TH-F-200004,859265651
105,TH-F-200004,5813011298
106,TH-F-200010,331662710
107,TH-F-200026,5813009595
108,TH-F-200034,331662710
109,TH-F-200064,331662710
110,TH-F-200081,331662710
111,TH-F-200085,1131827390
112,TH-F-300037,331662710
113,TH-F-300046,1131827390
114,TH-F-300062,5813060068
