fc_id,em_id,score,label
fru-M-400120,267214250,0.7418 ,1
VGlut-F-100374,1888199872,0.7208 ,1
VGlut-F-100374,5813034455,0.7553 ,1
VGlut-F-700261,5813047489,0.7431 ,1
VGlut-F-700261,5813057579,0.7090 ,0
TH-M-300032,5813020735,0.7002 ,1
VGlut-F-400641,1312061760,0.7081 ,1
TH-F-100111,792040520,0.7127 ,1
fru-M-300332,673776769,0.7056 ,0
Gad1-F-600594,1667251683,0.7265 ,0
fru-M-500322,5813021602,0.7089 ,0
fru-M-100277,390331583,0.7197 ,1
Trh-M-200100,1888199872,0.7007 ,0
Trh-M-200100,5813034455,0.7332 ,0
fru-M-200408,5813054384,0.7463 ,1
fru-M-200408,1378251040,0.7023 ,1
5HT1A-F-300000,1351065769,0.7031 ,1
fru-M-200273,550326974,0.7018 ,1
fru-M-200357,1325133618,0.7520 ,1
VGlut-F-500164,550404663,0.7382 ,1
VGlut-F-500164,674882250,0.7395 ,0
VGlut-F-000232,5813054384,0.7746 ,1
Gad1-F-700255,1012112513,0.7069 ,1
Gad1-F-700255,946658448,0.7256 ,1
fru-M-000339,5813019588,0.7082 ,1
fru-M-000339,329289084,0.7039 ,1
Gad1-F-600304,5813054622,0.7945 ,1
Gad1-F-600304,5813054777,0.7817 ,1
Gad1-F-800572,5813013574,0.7240 ,1
Gad1-F-800572,1044701474,0.7108 ,1
VGlut-F-200250,5813020996,0.7219 ,1
VGlut-F-400320,5813039309,0.7136 ,0
VGlut-F-400320,1671257931,0.7358 ,0
Gad1-F-700282,547552266,0.7588 ,1
Gad1-F-700282,518930199,0.7115 ,1
TH-F-000028,5813054384,0.7509 ,1
TH-F-000028,5813021112,0.7101 ,1
VGlut-F-500428,1639886198,0.7130 ,0
5HT1A-F-400024,1313849992,0.7281 ,1
VGlut-F-600323,1130458829,0.7067 ,1
VGlut-F-600323,1005624122,0.7110 ,1
fru-M-200271,925008763,0.7059 ,1
Trh-F-100069,823058891,0.7021 ,0
Trh-F-100069,5813054384,0.8020 ,1
fru-M-700205,361005850,0.7170 ,0
TH-F-100113,5813054384,0.7689 ,1
TH-F-100113,797442049,0.7227 ,0
VGlut-F-600091,1130458829,0.7200 ,1
TH-F-000000,5813054622,0.7063 ,0
TH-F-000000,5813054777,0.7086 ,0
Gad1-F-600218,5813054077,0.7065 ,1
Gad1-F-600218,1105459542,0.7011 ,1
VGlut-F-500523,975289165,0.7087 ,1
VGlut-F-500523,944249308,0.7014 ,1
Trh-M-200022,388975834,0.7043 ,0
Trh-M-200022,297938585,0.7038 ,1
Trh-F-100023,823058891,0.7003 ,0
Trh-F-100023,5813054384,0.7843 ,1
5HT1A-F-700024,975289165,0.7097 ,1
5HT1A-F-700024,1130458829,0.7500 ,1
fru-M-800110,550326974,0.7226 ,1
fru-M-300325,5813021602,0.7134 ,0
fru-M-300325,361005850,0.7667 ,0
Gad1-F-000162,543256347,0.7145 ,1
fru-M-900070,5813019588,0.7226 ,1
fru-M-900070,946641212,0.7193 ,1
Trh-F-200112,203253253,0.7036 ,1
VGlut-F-600711,5813034455,0.7401 ,1
VGlut-F-600711,1667251683,0.7435 ,0
Gad1-F-100112,5813056917,0.7024 ,1
VGlut-F-300246,5813054384,0.7515 ,1
VGlut-F-300246,947573616,0.7109 ,0
5-HT1B-F-500017,1946178096,0.7105 ,0
5-HT1B-F-500017,5813054622,0.8328 ,1
fru-M-100291,298258399,0.7605 ,1
TH-M-000047,5813060068,0.7307 ,1
Trh-M-100060,297230760,0.7212 ,1
TH-F-100109,5813054384,0.7910 ,1
TH-F-100109,797442049,0.7243 ,0
VGlut-F-500200,1130458829,0.7376 ,1
VGlut-F-500200,944249308,0.7033 ,1
TH-M-200092,297183251,0.7246 ,1
TH-M-200092,5813081818,0.7029 ,1
fru-M-000376,5813019588,0.7316 ,1
fru-M-000376,5813055834,0.7002 ,1
VGlut-F-700170,1702651358,0.7041 ,0
VGlut-F-700170,1640922754,0.7033 ,0
Gad1-F-200472,1888199872,0.7086 ,0
Gad1-F-200472,1702306037,0.7347 ,0
TH-F-200090,1224941044,0.7113 ,1
TH-F-200090,1224595273,0.7469 ,1
Gad1-F-600604,1793403571,0.7255 ,1
VGlut-F-400233,975289165,0.7092 ,1
VGlut-F-400233,1130458829,0.7124 ,1
Gad1-F-600267,911574041,0.7199 ,1
TH-F-000046,604289581,0.7159 ,0
TH-F-000046,550404663,0.7135 ,0
TH-F-200114,5813054384,0.7328 ,1
TH-F-200114,1352676969,0.7173 ,0
fru-M-800105,550326974,0.7006 ,1
Cha-F-000239,5813054777,0.7110 ,0
Cha-F-000239,1640572741,0.7229 ,0
VGlut-F-500239,5813055632,0.7375 ,1
Gad1-F-700167,5901196806,0.7165 ,1
Gad1-F-700167,2135408892,0.7057 ,0
VGlut-F-300554,1702651358,0.7165 ,0
VGlut-F-300554,5813039309,0.7032 ,0
TH-M-200070,1035601661,0.7039 ,1
fru-M-200345,731736853,0.7132 ,1
Trh-F-200030,1888199872,0.7264 ,0
Trh-F-200030,5813034455,0.7163 ,0
VGlut-F-100118,1313849992,0.7247 ,1
