fc_id,em_id,score,label
Cha-F-000009,1048215779,0.6608,1
Cha-F-000009,1078693835,0.6568,1
Cha-F-400112,1224258912,0.597,0
Cha-F-400112,5813022925,0.5882,0
Cha-F-400201,1639886198,0.6211,0
Cha-F-400201,1640555311,0.6161,0
Cha-F-800086,579916831,0.6009,0
Cha-F-800086,5812981543,0.5789,1
E0585-F-200015,457175171,0.5871,1
E0585-F-200015,518899665,0.5742,0
E0585-F-300042,457175171,0.5882,1
E0585-F-300042,642664141,0.564,1
fru-F-200052,1228683492,0.5354,0
fru-F-200052,456156825,0.5145,0
fru-F-400010,862705904,0.6186,1
fru-F-400010,1173745330,0.6058,1
fru-F-400071,1205090786,0.5995,1
fru-F-400071,1173745330,0.5728,1
fru-F-400141,862705904,0.6307,1
fru-F-400141,1142356576,0.6282,1
fru-F-400196,1100792636,0.6127,0
fru-F-400196,1141324564,0.6022,1
fru-F-400214,983759126,0.6151,1
fru-F-400214,1173045815,0.6076,1
fru-F-400229,5813087817,0.6231,1
fru-F-400229,1700644008,0.6176,0
fru-F-400338,1141678665,0.6172,1
fru-F-400338,1205090786,0.6017,1
fru-F-400437,1173745330,0.6497,1
fru-F-400437,1141678665,0.6414,1
fru-F-400475,5901203987,0.6034,0
fru-F-400475,519591210,0.5806,0
fru-F-500083,1261130127,0.5128,0
fru-F-500083,1261129711,0.5046,0
fru-F-500115,1206114100,0.6179,1
fru-F-500115,1173745330,0.6145,1
fru-F-500297,1051630846,0.6034,1
fru-F-500297,948035783,0.5969,0
fru-F-500435,1142011140,0.5635,1
fru-F-500435,1510648834,0.5519,0
fru-F-500584,862705904,0.6324,1
fru-F-500584,1205090786,0.6316,1
fru-F-600168,1101133698,0.6463,0
fru-F-600168,977343309,0.6408,0
fru-F-600186,609587511,0.5728,0
fru-F-600186,550280614,0.5728,0
fru-F-700104,1142365351,0.6253,1
fru-F-700104,1173745330,0.6248,1
fru-F-700114,1224945418,0.6383,0
fru-F-700114,1224258912,0.5951,0
fru-F-700163,1142356576,0.6212,1
fru-F-700163,862705904,0.5833,1
fru-F-700245,1204175835,0.6073,1
fru-F-700245,1100792636,0.6044,0
fru-F-700257,1141337605,0.5996,0
fru-F-700257,1224258912,0.572,0
fru-M-400031,1290416713,0.552,0
fru-M-400031,1198006801,0.5495,0
fru-M-400362,955464899,0.6454,1
fru-M-400362,1469403612,0.6452,1
fru-M-400401,955464899,0.6421,1
fru-M-400401,829261936,0.6204,1
fru-M-500174,266187383,0.5907,0
fru-M-500174,977343309,0.5902,0
fru-M-500374,737832306,0.578,0
fru-M-500374,1224258912,0.5753,0
fru-M-500377,1100792636,0.6895,0
fru-M-500377,5813057274,0.6884,0
fru-M-500383,5813034306,0.6677,1
fru-M-500383,1205090786,0.6356,1
fru-M-700067,1228683492,0.5695,0
fru-M-700067,550617370,0.5646,0
fru-M-700270,1204175835,0.6238,1
fru-M-700270,1510648834,0.6128,0
G0239-F-000001,300972942,0.6995,1
G0239-F-000001,5813068729,0.6798,1
G0239-F-000003,300972942,0.736,1
G0239-F-000003,5813068729,0.7157,1
G0239-F-000005,300972942,0.7293,1
G0239-F-000005,5813068729,0.6906,1
G0239-F-000007,300972942,0.6788,1
G0239-F-000007,5813068729,0.6788,1
G0239-F-000008,300972942,0.6667,1
G0239-F-000008,267896360,0.6347,0
G0239-F-000009,5813068729,0.7157,1
G0239-F-000009,300972942,0.7108,1
G0239-F-000011,676573560,0.519,0
G0239-F-000011,636667489,0.5084,0
G0239-F-000012,300972942,0.6872,1
G0239-F-000012,5813068729,0.6588,1
G0239-F-000013,300972942,0.6786,1
G0239-F-000013,5813068729,0.6582,1
Gad1-F-001409,1610224198,0.64,0
Gad1-F-001409,1641250106,0.6286,0
Gad1-F-101173,5813020585,0.5702,0
Gad1-F-101173,5813020455,0.5487,0
Gad1-F-200227,5813022201,0.6291,1
Gad1-F-200227,860983686,0.6216,1
Gad1-F-300153,1224258912,0.6154,0
Gad1-F-300153,1224945418,0.6036,0
Gad1-F-300154,517854468,0.6568,1
