fc_id,em_id,score,label
Cha-F-400237,1135441187,0.6491,1
Trh-M-200043,1671620613,0.6213,0
Trh-F-100001,5813062858,0.6194,1
Cha-F-000088,1704347707,0.6164,1
VGlut-F-400757,1640922516,0.6105,0
Cha-F-000088,5813056598,0.5982,1
Cha-F-200299,1135441187,0.5963,1
VGlut-F-500876,1640922516,0.594,0
VGlut-F-500876,1667251683,0.5865,0
Trh-M-100024,5813049824,0.5769,1
TH-F-200026,330640044,0.5434,0
Trh-M-400023,953414780,0.538,1
Trh-M-100024,5813055834,0.5345,1
VGlut-F-500876,1669924220,0.5297,0
Trh-M-100024,946308203,0.5197,1
TH-F-000012,328533761,0.5167,1
TH-F-100036,5812980529,0.51,1
Trh-M-500163,768555687,0.506,1
VGlut-F-800130,1671257931,0.5031,1
VGlut-F-200319,5813055865,0.4969,1
TH-M-000029,5813021602,0.4962,1
VGlut-F-800130,2135408892,0.4961,1
Trh-M-400110,953414780,0.4919,1
TH-F-000019,5813021602,0.4853,1
Trh-F-400055,1070426862,0.4828,1
Trh-F-300112,953414780,0.4748,1
Trh-F-300112,922069357,0.4717,1
VGlut-F-800130,1640555311,0.4644,1
Trh-F-400055,953414780,0.4642,1
Trh-F-300112,5813053851,0.4639,1
Trh-M-400110,957506896,0.4623,1
Cha-F-000239,1733677514,0.4582,0
TH-F-000036,5813011298,0.4526,0
VGlut-F-400757,5901196806,0.4524,1
TH-M-000030,328533761,0.4512,1
Trh-M-400110,1070426862,0.4441,1
VGlut-F-400049,297251714,0.4423,0
VGlut-F-400186,1700644008,0.4418,1
TH-M-300005,1289359184,0.4407,1
VGlut-F-500876,5813034455,0.4395,1
TH-F-100050,1289359184,0.4385,1
VGlut-F-500876,5901196806,0.4355,1
TH-M-000032,5813021602,0.4354,1
Trh-F-400055,922069357,0.4316,1
VGlut-F-400898,1700644008,0.4309,1
Trh-M-400023,957506896,0.4254,1
VGlut-F-400757,5813034455,0.4228,1
VGlut-F-700541,1700644008,0.4217,1
TH-F-100075,5813011298,0.4205,1
Trh-M-400131,957506896,0.419,1
VGlut-F-400186,1888199872,0.4157,1
Trh-M-400131,953414780,0.4109,1
VGlut-F-200392,1135441187,0.4066,0
Trh-M-300138,953414780,0.3999,1
VGlut-F-700541,5901196806,0.3995,1
VGlut-F-500335,5813034455,0.3918,1
TH-M-200013,1035601661,0.3917,1
Trh-M-300138,1070426862,0.3908,1
VGlut-F-400898,5901196806,0.3905,1
VGlut-F-700541,5813034455,0.3894,1
Trh-M-400052,953414780,0.386,1
Trh-M-400052,1070426862,0.3841,1
Trh-M-400052,922069357,0.3839,1
Trh-M-400131,1070426862,0.3806,1
Trh-M-300140,922069357,0.3777,1
Trh-M-300140,1070426862,0.3738,1
VGlut-F-400184,1700644008,0.3738,1
VGlut-F-200319,360259229,0.373,0
fru-F-000094,328611004,0.372,0
Cha-F-000239,610274029,0.3703,0
VGlut-F-500335,1888199872,0.3703,1
VGlut-F-000158,296543992,0.3673,0
VGlut-F-400184,1888199872,0.3662,1
VGlut-F-400184,5901196806,0.3659,1
VGlut-F-500335,5901196806,0.3652,1
TH-F-000019,361005850,0.3646,0
VGlut-F-400184,5813034455,0.3631,1
TH-M-000029,361005850,0.3609,0
TH-M-200010,548712377,0.356,1
TH-M-000032,296139882,0.3554,0
TH-F-200026,5813049380,0.3553,0
TH-F-200004,5813021602,0.3547,0
TH-M-200095,422751191,0.344,1
fru-F-000094,422738252,0.3356,0
TH-M-000032,361005850,0.3293,0
TH-M-100016,361312808,0.3293,0
TH-F-100075,5813021602,0.3287,0
VGlut-F-500002,5813021602,0.3283,0
VGlut-F-000158,297917475,0.3232,0
TH-M-200010,5813020996,0.3223,0
TH-F-200064,361312808,0.3204,0
TH-F-200081,361312808,0.3197,0
fru-F-000094,548712377,0.3177,0
TH-M-300063,5813049380,0.3161,0
VGlut-F-000463,610274046,0.3116,0
TH-M-200095,548712377,0.3115,0
TH-F-300037,361312808,0.3109,0
VGlut-F-200319,5813068669,0.3096,0
TH-F-200034,361312808,0.3051,0
TH-M-200049,361312808,0.3035,0
VGlut-F-200036,5813021583,0.3029,0
VGlut-F-000463,610274029,0.2998,0
TH-M-200064,361312808,0.2929,0
Trh-M-300071,957506896,0.2882,1
Trh-M-300071,1070426862,0.2879,1
TH-F-100095,361312808,0.2758,0
TH-F-100075,297251714,0.2754,0
VGlut-F-500002,297251714,0.2728,0
TH-M-300063,331662710,0.2681,0
VGlut-F-500002,296139882,0.2679,0
TH-F-200004,361005850,0.267,0
TH-M-000045,361312808,0.2638,0
TH-F-200026,331662710,0.2598,0
TH-F-000009,5813021112,0.2561,0
VGlut-F-200392,950880008,0.2555,0
TH-F-100095,328611004,0.2445,0
TH-F-200081,328611004,0.2377,0
Trh-M-300071,953414780,0.2334,1
Cha-F-100135,422738252,0.2284,0
TH-F-300037,328611004,0.2122,0
TH-F-200034,328611004,0.2092,0
TH-M-300005,579268807,0.2019,0
TH-M-000008,579268807,0.1945,0
TH-F-200037,422751191,0.189,0
TH-F-200037,330640044,0.1888,0
TH-F-100095,5813049380,0.1871,0
TH-F-100083,5813049380,0.1846,0
TH-F-200037,517514142,0.1846,0
VGlut-F-200036,823058891,0.1842,0
TH-F-100099,328611004,0.1824,0
TH-M-100016,328611004,0.1784,0
VGlut-F-000111,1043705078,0.1784,1
TH-F-200037,328611004,0.1733,0
TH-M-000045,328611004,0.168,0
Cha-F-100135,5813020996,0.1669,0
VGlut-F-000303,575768294,0.1654,0
TH-M-200064,328611004,0.1622,0
TH-F-200081,5813049380,0.1617,0
TH-F-200096,5813049380,0.1593,0
TH-F-300037,393063351,0.157,0
TH-F-200064,328611004,0.1556,0
TH-F-000009,797442049,0.1533,0
TH-F-200034,393063351,0.1379,0
TH-M-200064,298258399,0.114,0
TH-F-100083,329970706,0.1079,0
VGlut-F-200062,5813021602,0.1065,0
TH-M-200035,543692985,0.1059,0
TH-F-200064,5813049380,0.1024,0
Cha-F-300267,298258399,0.1001,0
VGlut-F-100035,5813011119,0.086,0
Trh-M-100020,328611004,0.0785,0
TH-F-000091,298258399,0.0732,0
TH-F-100050,5813041180,0.0597,0
Trh-M-700039,329897255,0.0207,0
TH-F-100083,298258399,0.0164,0
TH-F-300078,447599745,0.0147,0
TH-F-300037,267551639,-0.14,0
TH-M-200049,267551639,-0.1409,0
TH-F-200034,267551639,-0.1801,0
TH-M-000045,267551639,-0.1822,0
