fc_id,em_id,score,label
Cha-F-100135,393063351,0,0.7
Cha-F-100135,393063351,0,0.8
Cha-F-300267,328611004,0,0.7
Cha-F-300267,328611004,0,0.8
Cha-F-300344,5812978978,0,0.7
Cha-F-300344,5812978978,0,0.8
GH146-M-000001,610274029,0,0.8
GH146-M-000001,610274029,0,0.9
Gad1-F-500004,294436967,0,0.7
Gad1-F-500004,294436967,0,0.6
Gad1-F-600604,1793403571,0,0.8
Gad1-F-600604,1793403571,0,0.9
Gad1-F-700282,547552266,0,0.7
Gad1-F-700282,547552266,0,0.9
TH-F-000010,360591860,0,0.6
TH-F-000010,360591860,0,0.7
TH-F-000012,328533761,0,1.0
TH-F-000012,328533761,0,0.8
TH-F-000019,5813027592,0,0.5
TH-F-000019,5813027592,0,0.7
TH-F-000019,859265651,0,0.7
TH-F-000019,859265651,0,0.8
TH-F-000046,550404663,0,0.1
TH-F-000046,550404663,0,0.4
TH-F-000046,604289581,0,0.0
TH-F-000046,604289581,0,0.4
TH-F-100075,5813011298,0,0.7
TH-F-100075,5813011298,0,0.6
TH-F-200033,517514142,0,0.9
TH-F-200033,517514142,0,0.8
TH-M-000030,328533761,0,1.0
TH-M-000030,328533761,0,0.6
TH-M-200035,294436967,0,0.8
TH-M-200035,294436967,0,0.9
Trh-F-100052,361312808,0,0.5
Trh-F-100052,361312808,0,0.9
Trh-M-100025,1225290633,0,0.6
Trh-M-100025,1225290633,0,0.8
Trh-M-100060,297230760,0,0.8
Trh-M-100060,297230760,0,0.9
Trh-M-100071,1225290633,0,0.6
Trh-M-100071,1225290633,0,0.8
Trh-M-100071,673746277,0,0.2
Trh-M-100071,673746277,0,0.0
Trh-M-400131,957506896,0,0.8
Trh-M-400131,957506896,0,0.6
Trh-M-700039,5813021583,0,0.4
Trh-M-700039,5813021583,0,0.2
VGlut-F-000111,5813057579,0,0.0
VGlut-F-000111,5813057579,0,0.1
VGlut-F-200036,5813059915,0,0.3
VGlut-F-200036,5813059915,0,0.1
VGlut-F-200143,298612190,0,0.4
VGlut-F-200143,298612190,0,0.3
VGlut-F-200143,328870472,0,0.8
VGlut-F-200143,328870472,0,0.7
VGlut-F-200594,5813058048,0,0.8
VGlut-F-200594,5813058048,0,0.9
VGlut-F-600204,5813061218,0,0.9
VGlut-F-600204,5813061218,0,0.8
VGlut-F-700261,5813057579,0,0.4
VGlut-F-700261,5813057579,0,0.0
