fc_id,em_id,score,label
Cha-F-000009,1048215779,0.2921,1
Cha-F-000009,1078693835,0.5658,1
Cha-F-400112,1224258912,-0.7104,0
Cha-F-400112,5813022925,-0.533,0
Cha-F-400201,1639886198,-0.3641,0
Cha-F-400201,1640555311,-0.3658,0
G0239-F-000001,300972942,0.5712,1
G0239-F-000001,5813068729,0.5574,1
G0239-F-000003,300972942,0.6113,1
G0239-F-000003,5813068729,0.5928,1
G0239-F-000005,300972942,0.6382,1
G0239-F-000005,5813068729,0.6362,1
G0239-F-000007,300972942,0.6668,1
G0239-F-000007,5813068729,0.6515,1
G0239-F-000008,300972942,0.6334,1
G0239-F-000008,267896360,0.3583,0
G0239-F-000009,5813068729,0.6565,1
G0239-F-000009,300972942,0.6713,1
G0239-F-000011,676573560,-0.2206,0
G0239-F-000011,636667489,-0.2037,0
G0239-F-000012,300972942,0.6491,1
G0239-F-000012,5813068729,0.6383,1
G0239-F-000013,300972942,0.7066,1
G0239-F-000013,5813068729,0.7038,1
Gad1-F-900001,1290416713,-0.5881,0
Gad1-F-900001,5813026366,-0.5306,0
TH-F-000101,331662710,0.6291,1
TH-F-000101,421641859,-0.0821,0
TH-F-100083,331662710,0.6596,1
TH-F-100083,329970706,0.2604,0
TH-F-100099,331662710,0.6345,1
TH-F-100099,329970706,0.1582,0
TH-F-200030,328943204,0.5368,0
TH-F-200030,203253253,0.3013,0
TH-F-200033,517514142,0.5659,1
TH-F-200033,608922563,0.2607,0
TH-F-200081,331662710,0.6173,1
TH-F-200081,330268940,0.2058,0
TH-F-300020,484911954,-0.0371,0
TH-F-300020,1048172314,-0.1197,0
TH-F-300073,328943204,0.4127,1
TH-F-300073,361040812,0.0073,0
TH-F-700001,418969956,-0.765,0
TH-F-700001,297166053,-0.3102,0
TH-F-700004,643830129,-0.4235,0
TH-F-700004,5813089803,-0.4192,0
TH-F-700016,5812982779,0.5017,1
TH-F-700016,5813089803,-0.5253,0
TH-F-700022,946645313,-0.3668,0
TH-F-700022,981362334,0.0051,1
TH-M-300021,517514142,0.5363,1
TH-M-300021,5813049380,0.5139,0
TH-M-500003,580287695,0.0217,0
TH-M-500003,456156825,0.0485,0
TH-M-600002,1224258912,-0.7828,0
TH-M-600002,1193560072,-0.743,0
TH-M-600003,1224595289,-0.7893,0
TH-M-600003,1224258912,-0.7829,0
TH-M-700002,1224595289,-0.6518,0
TH-M-700002,1224945418,-0.6774,0
TH-M-700013,5812979156,0.5239,1
TH-M-700013,644417074,0.4511,1
TH-M-700017,604864392,-0.4126,0
TH-M-700017,454439022,-0.0543,0
Trh-M-000099,1602402027,-0.334,1
Trh-M-000099,986828383,0.2775,1
Trh-M-800009,1048215779,0.5582,1
Trh-M-800009,1016835041,0.5207,1
VGlut-F-200594,5813058048,0.7015,1
VGlut-F-200594,328632707,-0.2913,0
VGlut-F-800070,894551935,0.4823,1
VGlut-F-800070,832357089,0.341,0
fru-F-200052,1228683492,-0.6819,0
fru-F-200052,456156825,-0.0043,0
fru-F-400010,862705904,0.4053,1
fru-F-400010,1173745330,0.5291,1
fru-F-400071,1205090786,0.4482,1
fru-F-400071,1173745330,0.4359,1
fru-F-400141,862705904,0.4172,1
fru-F-400141,1142356576,0.5364,1
fru-F-400196,1100792636,-0.6013,0
fru-F-400196,1141324564,0.4445,1
fru-F-400214,983759126,0.4238,1
fru-F-400214,1173045815,0.469,1
fru-F-400229,5813087817,0.5572,1
fru-F-400229,1700644008,-0.1982,0
fru-F-500083,1261130127,-0.3701,0
fru-F-500083,1261129711,-0.3401,0
fru-F-500115,1206114100,0.506,1
fru-F-500115,1173745330,0.5249,1
fru-F-700104,1142365351,0.4816,1
fru-F-700104,1173745330,0.5481,1
fru-F-700114,1224945418,-0.7917,0
fru-F-700114,1224258912,-0.7555,0
fru-F-700163,1142356576,0.5365,1
fru-F-700163,862705904,0.395,1
fru-M-400031,1290416713,-0.7236,0
fru-M-400031,1198006801,-0.5958,0
fru-M-500174,266187383,-0.4221,0
fru-M-500174,977343309,-0.4924,0
fru-M-700067,1228683492,-0.6041,0
fru-M-700067,550617370,-0.0678,0
