fc,em,similarity score
5HT1A-F-200016,1191315642,0.3513592907579898
1191315642,5HT1A-F-200016,0.3071356339084088
Cha-F-400298,1167304403,0.4834429556831955
1167304403,Cha-F-400298,0.4224283299470013
Cha-F-400298,1261000309,0.504582822961231
1261000309,Cha-F-400298,0.4409714650020725
Gad1-F-700172,5813039309,0.2029217559015095
5813039309,Gad1-F-700172,0.19181645212371
TH-F-100083,331662710,0.4212049478540293
331662710,TH-F-100083,0.350307675890369
TH-F-200037,331662710,0.3881571045192815
331662710,TH-F-200037,0.3391816253531787
TH-F-200096,331662710,0.4389964390017785
331662710,TH-F-200096,0.3409407987120379
TH-F-200106,5813041180,0.3876246787396317
5813041180,TH-F-200106,0.4052655173770401
TH-M-000008,1131827390,0.1898252856304127
1131827390,TH-M-000008,0.2631930275230855
TH-M-000021,604289581,0.2990881002085561
604289581,TH-M-000021,0.3713162425790748
TH-M-000021,550404663,0.1644460860260412
550404663,TH-M-000021,0.252431429526658
TH-M-000032,859265651,0.5476773986955122
859265651,TH-M-000032,0.4762432528754663
TH-M-000032,5813027592,0.3470761660486251
5813027592,TH-M-000032,0.3628630844982949
TH-M-200035,294436967,0.3891461850980631
294436967,TH-M-200035,0.3769286425274777
TH-M-200035,452971138,0.1801942670973487
452971138,TH-M-200035,0.1330462295213166
TH-M-300017,5813054384,0.3116996063903746
5813054384,TH-M-300017,0.370397602160313
TH-M-300017,947573616,0.3246070623942789
947573616,TH-M-300017,0.3325337791056335
Trh-F-000008,1671638278,0.4273989659621814
1671638278,Trh-F-000008,0.4013713729867406
Trh-F-100052,361312808,0.2472536633644491
361312808,Trh-F-100052,0.2204444923235608
Trh-M-100024,329289084,0.1515352923043204
329289084,Trh-M-100024,0.0658185409186974
Trh-M-700039,5813021583,-0.0073248594753958
5813021583,Trh-M-700039,0.1258980916003078
Trh-M-700039,981000564,-0.0420684422251446
981000564,Trh-M-700039,0.0398760156064772
VGlut-F-200143,328870472,0.5318966765822938
328870472,VGlut-F-200143,0.4823053096319572
VGlut-F-200143,298612190,0.3380821000292321
298612190,VGlut-F-200143,0.3919501024325192
VGlut-F-200251,548712377,0.4666219680459651
548712377,VGlut-F-200251,0.4511930900352924
VGlut-F-200251,5813020996,0.3545184751722188
5813020996,VGlut-F-200251,0.3802437066577324
VGlut-F-200319,424716408,0.3641750042487969
424716408,VGlut-F-200319,0.3706111477269711
VGlut-F-200392,857793013,0.2368449689557175
857793013,VGlut-F-200392,0.2816157197707892
VGlut-F-400186,1762359683,0.353733606126618
1762359683,VGlut-F-400186,0.3087843413148102
VGlut-F-400186,1916800213,0.3009610854259651
1916800213,VGlut-F-400186,0.2989803424405027
VGlut-F-700541,1762359683,0.3549849615823466
1762359683,VGlut-F-700541,0.29006452532079
VGlut-F-700541,1888199872,0.2471573610493391
