fc_id,em_id
Cha-F-100135,393063351
Cha-F-200299,5813027276
Cha-F-200299,950880008
Cha-F-400237,5813027276
Cha-F-400237,950880008
Cha-F-500071,1012954687
Gad1-F-500004,294436967
Gad1-F-600059,328546871
TH-F-000009,5813054384
TH-F-000010,5812980529
TH-F-000010,5901203505
TH-F-000019,859265651
TH-F-000091,331662710
TH-F-100036,360591860
TH-F-100036,5901203505
TH-F-100050,1131827390
TH-F-100083,331662710
TH-F-100095,331662710
TH-F-100099,331662710
TH-F-200004,5813011298
TH-F-200026,5813009595
TH-F-200037,331662710
TH-F-200064,331662710
TH-F-200081,331662710
TH-F-200096,331662710
TH-F-300062,5813060068
TH-F-300078,5813071348
TH-M-000029,859265651
TH-M-000032,859265651
TH-M-100016,331662710
TH-M-100063,1198330286
TH-M-200010,422738252
TH-M-200013,5813062871
TH-M-200035,294436967
TH-M-200064,331662710
TH-M-200095,422738252
TH-M-300005,1131827390
Trh-F-000008,1671638278
Trh-F-100038,1671638278
Trh-F-100066,5813062858
Trh-F-300112,957506896
Trh-F-400055,957506896
Trh-M-100020,361312808
Trh-M-100024,329289084
Trh-M-100025,5813062858
Trh-M-100037,1671638278
Trh-M-100071,5813062858
Trh-M-100071,1225290633
Trh-M-300138,957506896
Trh-M-300138,832016427
Trh-M-300140,957506896
Trh-M-300140,5813053851
Trh-M-400023,5813053851
Trh-M-400052,957506896
Trh-M-400110,5813053851
VGlut-F-000016,950880008
VGlut-F-000016,1321564092
VGlut-F-000016,5813027276
VGlut-F-000016,5813098368
VGlut-F-000111,5813021583
VGlut-F-000158,298254384
VGlut-F-000303,5813011119
VGlut-F-000463,1733677514
VGlut-F-000556,885168486
VGlut-F-100002,914778159
VGlut-F-100003,1671638278
VGlut-F-100035,575768294
VGlut-F-200036,797442049
VGlut-F-200062,296139882
VGlut-F-200062,297251714
VGlut-F-200251,548712377
VGlut-F-200319,424716408
VGlut-F-300438,329566197
VGlut-F-400186,5813034455
VGlut-F-400334,447599745
VGlut-F-400757,1888199872
VGlut-F-400898,5813034455
VGlut-F-500002,5813011298
VGlut-F-600204,5813061218
VGlut-F-700261,5813047489
VGlut-F-800130,1762359683
fru-F-000094,422751191
Cha-F-400237,1135441187
Trh-M-200043,1671620613
Trh-F-100001,5813062858
Cha-F-000088,1704347707
VGlut-F-400757,1640922516
Cha-F-000088,5813056598
Cha-F-200299,1135441187
VGlut-F-500876,1640922516
VGlut-F-500876,1667251683
Trh-M-100024,5813049824
TH-F-200026,330640044
Trh-M-400023,953414780
Trh-M-100024,5813055834
VGlut-F-500876,1669924220
Trh-M-100024,946308203
TH-F-000012,328533761
TH-F-100036,5812980529
Trh-M-500163,768555687
VGlut-F-800130,1671257931
VGlut-F-200319,5813055865
TH-M-000029,5813021602
VGlut-F-800130,2135408892
Trh-M-400110,953414780
TH-F-000019,5813021602
Trh-F-400055,1070426862
Trh-F-300112,953414780
Trh-F-300112,922069357
VGlut-F-800130,1640555311
Trh-F-400055,953414780
Trh-F-300112,5813053851
Trh-M-400110,957506896
Cha-F-000239,1733677514
TH-F-000036,5813011298
VGlut-F-400757,5901196806
TH-M-000030,328533761
Trh-M-400110,1070426862
VGlut-F-400049,297251714
VGlut-F-400186,1700644008
TH-M-300005,1289359184
VGlut-F-500876,5813034455
TH-F-100050,1289359184
VGlut-F-500876,5901196806
TH-M-000032,5813021602
Trh-F-400055,922069357
VGlut-F-400898,1700644008
Trh-M-400023,957506896
VGlut-F-400757,5813034455
VGlut-F-700541,1700644008
TH-F-100075,5813011298
Trh-M-400131,957506896
VGlut-F-400186,1888199872
Trh-M-400131,953414780
VGlut-F-200392,1135441187
Trh-M-300138,953414780
VGlut-F-700541,5901196806
VGlut-F-500335,5813034455
TH-M-200013,1035601661
Trh-M-300138,1070426862
VGlut-F-400898,5901196806
VGlut-F-700541,5813034455
Trh-M-400052,953414780
Trh-M-400052,1070426862
Trh-M-400052,922069357
Trh-M-400131,1070426862
Trh-M-300140,922069357
Trh-M-300140,1070426862
VGlut-F-400184,1700644008
VGlut-F-200319,360259229
fru-F-000094,328611004
Cha-F-000239,610274029
VGlut-F-500335,1888199872
VGlut-F-000158,296543992
VGlut-F-400184,1888199872
VGlut-F-400184,5901196806
VGlut-F-500335,5901196806
TH-F-000019,361005850
VGlut-F-400184,5813034455
TH-M-000029,361005850
TH-M-200010,548712377
TH-M-000032,296139882
TH-F-200026,5813049380
TH-F-200004,5813021602
TH-M-200095,422751191
fru-F-000094,422738252
TH-M-000032,361005850
TH-M-100016,361312808
TH-F-100075,5813021602
VGlut-F-500002,5813021602
VGlut-F-000158,297917475
TH-M-200010,5813020996
TH-F-200064,361312808
TH-F-200081,361312808
fru-F-000094,548712377
TH-M-300063,5813049380
VGlut-F-000463,610274046
TH-M-200095,548712377
TH-F-300037,361312808
VGlut-F-200319,5813068669
TH-F-200034,361312808
TH-M-200049,361312808
VGlut-F-200036,5813021583
VGlut-F-000463,610274029
TH-M-200064,361312808
Trh-M-300071,957506896
Trh-M-300071,1070426862
TH-F-100095,361312808
TH-F-100075,297251714
VGlut-F-500002,297251714
TH-M-300063,331662710
VGlut-F-500002,296139882
TH-F-200004,361005850
TH-M-000045,361312808
TH-F-200026,331662710
TH-F-000009,5813021112
VGlut-F-200392,950880008
TH-F-100095,328611004
TH-F-200081,328611004
Trh-M-300071,953414780
Cha-F-100135,422738252
TH-F-300037,328611004
TH-F-200034,328611004
TH-M-300005,579268807
TH-M-000008,579268807
TH-F-200037,422751191
TH-F-200037,330640044
TH-F-100095,5813049380
TH-F-100083,5813049380
TH-F-200037,517514142
VGlut-F-200036,823058891
TH-F-100099,328611004
TH-M-100016,328611004
VGlut-F-000111,1043705078
TH-F-200037,328611004
TH-M-000045,328611004
Cha-F-100135,5813020996
VGlut-F-000303,575768294
TH-M-200064,328611004
TH-F-200081,5813049380
TH-F-200096,5813049380
TH-F-300037,393063351
TH-F-200064,328611004
TH-F-000009,797442049
TH-F-200034,393063351
TH-M-200064,298258399
TH-F-100083,329970706
VGlut-F-200062,5813021602
TH-M-200035,543692985
TH-F-200064,5813049380
Cha-F-300267,298258399
VGlut-F-100035,5813011119
Trh-M-100020,328611004
TH-F-000091,298258399
TH-F-100050,5813041180
