fc_id,em_id,score,label,dataset,orient_type,orient_angle_deg
Cha-F-000009,1078693835,0,1.0,D1,1,6.3557000160217285
Cha-F-800086,5812981264,0,1.0,D1,1,32.69599914550781
E0585-F-200015,457175171,0,0.8,D1,1,34.06133270263672
G0239-F-000001,300972942,0,1.0,D1,1,21.68124008178711
G0239-F-000001,5813068729,0,1.0,D1,1,19.0318546295166
G0239-F-000003,300972942,0,1.0,D1,1,21.46453857421875
G0239-F-000003,5813068729,0,1.0,D1,1,18.812904357910156
G0239-F-000005,300972942,0,1.0,D1,1,21.07379150390625
G0239-F-000005,5813068729,0,1.0,D1,1,18.46816635131836
G0239-F-000007,300972942,0,1.0,D1,1,22.14495277404785
G0239-F-000007,5813068729,0,1.0,D1,1,19.54913902282715
G0239-F-000008,300972942,0,1.0,D1,1,9.96833324432373
G0239-F-000008,5813068729,0,1.0,D1,1,7.302694320678711
G0239-F-000009,5813068729,0,1.0,D1,1,16.574743270874023
G0239-F-000009,300972942,0,1.0,D1,1,19.242794036865234
G0239-F-000012,300972942,0,1.0,D1,1,18.39908790588379
G0239-F-000012,5813068729,0,1.0,D1,1,15.795796394348145
G0239-F-000013,300972942,0,1.0,D1,1,26.92061424255371
G0239-F-000013,5813068729,0,1.0,D1,1,24.315269470214844
Gad1-F-300154,517854468,0,0.8,D1,0,7.3738694190979
Gad1-F-300154,423774471,0,0.8,D1,0,29.501543045043945
Gad1-F-400259,457175171,0,1.0,D1,1,34.02553939819336
Gad1-F-500365,768555687,0,0.8,D1,1,12.482457160949707
Gad1-F-500365,5812982924,0,1.0,D1,1,6.022392272949219
Gad1-F-500365,672352543,0,1.0,D1,1,13.405495643615723
Gad1-F-500365,673085197,0,1.0,D1,1,8.055397033691406
Gad1-F-500365,706840303,0,1.0,D1,1,14.048097610473633
Gad1-F-700131,673085197,0,0.8,D1,1,8.675342559814453
Gad1-F-700131,706840303,0,1.0,D1,1,7.098293304443359
Gad1-F-700131,5812982924,0,1.0,D1,1,8.644179344177246
Gad1-F-700131,768555687,0,1.0,D1,1,22.42310333251953
Gad1-F-700131,672352543,0,1.0,D1,1,24.34482192993164
TH-F-000101,331662710,0,1.0,D1,1,6.713027477264404
TH-F-100083,331662710,0,1.0,D1,1,9.21750545501709
TH-F-100099,331662710,0,1.0,D1,1,10.734856605529785
TH-F-200033,517514142,0,0.9,D1,1,11.656632423400879
TH-F-200081,331662710,0,1.0,D1,1,7.6938090324401855
TH-M-300021,517514142,0,0.8,D1,1,9.905141830444336
5HT1A-F-200016,1191315642,0,0.8,D2,1,4.452366352081299
Cha-F-400298,1167304403,0,0.7,D2,1,2.5632293224334717
Cha-F-400298,1261000309,0,0.7,D2,1,3.795707941055298
Gad1-F-700172,5813039309,0,0.0,D2,0,35.987525939941406
TH-F-200037,331662710,0,1.0,D2,1,7.0614142417907715
TH-F-200096,331662710,0,1.0,D2,1,8.363983154296875
TH-F-200106,5813041180,0,0.8,D2,0,2.1816673278808594
TH-M-000008,1131827390,0,0.3,D2,0,3.6541988849639893
TH-M-000021,604289581,0,0.3,D2,0,32.44193649291992
TH-M-000021,550404663,0,0.2,D2,0,44.9119987487793
TH-M-000032,859265651,0,0.8,D2,0,12.83602523803711
TH-M-000032,5813027592,0,0.7,D2,0,23.80626106262207
TH-M-200035,294436967,0,0.8,D2,0,16.673105239868164
TH-M-200035,452971138,0,0.6,D2,0,49.263240814208984
