fc_id,em_id
5HT1A-F-200016,1191315642
Cha-F-400298,1167304403
Cha-F-400298,1261000309
Gad1-F-700172,5813039309
TH-F-100083,331662710
TH-F-200037,331662710
TH-F-200096,331662710
TH-F-200106,5813041180
TH-M-000008,1131827390
TH-M-000021,604289581
TH-M-000021,550404663
TH-M-000032,859265651
TH-M-000032,5813027592
TH-M-200035,294436967
TH-M-200035,452971138
TH-M-300017,5813054384
TH-M-300017,947573616
Trh-F-000008,1671638278
Trh-F-100052,361312808
Trh-M-100024,329289084
Trh-M-700039,5813021583
Trh-M-700039,981000564
VGlut-F-200143,328870472
VGlut-F-200143,298612190
VGlut-F-200251,548712377
VGlut-F-200251,5813020996
VGlut-F-200319,424716408
VGlut-F-200392,857793013
VGlut-F-400186,1762359683
VGlut-F-400186,1916800213
VGlut-F-700541,1762359683
VGlut-F-700541,1888199872
Cha-F-000088,1640887603
Cha-F-000088,5813047691
Cha-F-000239,1640572741
Cha-F-000239,5813054726
Cha-F-000329,640539567
Cha-F-000329,1043705078
Cha-F-000427,573670049
Cha-F-000427,573333284
Cha-F-000461,487144598
Cha-F-100135,393063351
Cha-F-200299,5813027276
Cha-F-200299,1321564092
Cha-F-300267,328611004
Cha-F-300344,5812978978
Cha-F-300344,5813053836
Cha-F-300344,859507274
Cha-F-400237,5813098368
Cha-F-400237,5813027276
Cha-F-500071,1105169664
Cha-F-500071,1012954687
Cha-F-500310,5813009312
Cha-F-700236,360259229
Cha-F-800090,296139882
Cha-F-800090,297251714
E0585-F-600004,5813010510
GH146-M-000001,610274029
Gad1-F-000245,953414780
Gad1-F-000694,5813033371
Gad1-F-000694,1480525278
Gad1-F-000703,424716408
Gad1-F-000703,5813068669
Gad1-F-100171,1224595608
Gad1-F-100784,832016427
Gad1-F-200186,1916800213
Gad1-F-200186,1762359683
Gad1-F-200219,5901197108
Gad1-F-200247,543692985
Gad1-F-200719,5813039309
Gad1-F-200719,1640555311
Gad1-F-400220,550638250
Gad1-F-500004,294436967
Gad1-F-500321,574377562
Gad1-F-500457,1261423370
Gad1-F-600059,328546871
Gad1-F-600604,1793403571
Gad1-F-700193,634379734
Gad1-F-700607,977338882
Gad1-F-700607,915610561
Gad1-F-700607,1008378609
Gad1-F-800371,5813082723
Gad1-F-900395,5813049380
TH-F-000009,5813054384
TH-F-000009,1378251040
TH-F-000010,5812980529
TH-F-000010,360591860
TH-F-000010,5901203505
TH-F-000012,487144598
TH-F-000019,859265651
TH-F-000019,5813027592
TH-F-000036,859265651
TH-F-000046,604289581
TH-F-000046,550404663
TH-F-000079,1378251040
TH-F-000091,331662710
TH-F-100005,1378251040
TH-F-100005,5813054384
TH-F-100036,360591860
TH-F-100036,5901203505
TH-F-100050,1131827390
TH-F-100075,859265651
TH-F-100095,331662710
TH-F-100099,331662710
TH-F-200004,859265651
TH-F-200004,5813011298
TH-F-200010,331662710
TH-F-200026,5813009595
TH-F-200034,331662710
TH-F-200064,331662710
TH-F-200081,331662710
TH-F-200085,1131827390
TH-F-300037,331662710
TH-F-300046,1131827390
TH-F-300062,5813060068
TH-F-300078,5813071348
TH-F-700015,1224941044
TH-M-000029,859265651
TH-M-000029,510049477
TH-M-000030,792692885
TH-M-000045,331662710
TH-M-100016,331662710
TH-M-100027,947573616
TH-M-100027,5813054384
TH-M-100057,1198330286
TH-M-100063,1198330286
TH-M-200010,422738252
TH-M-200013,5813062871
TH-M-200034,5813054384
TH-M-200034,947573616
TH-M-200049,331662710
TH-M-200064,331662710
TH-M-200095,422738252
TH-M-300005,1131827390
TH-M-300063,5813009595
Trh-F-100001,1225290633
Trh-F-100038,1671638278
Trh-F-100066,5813062858
Trh-F-300112,957506896
Trh-F-400055,957506896
Trh-M-000172,1671638278
Trh-M-100020,361312808
Trh-M-100025,1225290633
Trh-M-100025,5813062858
Trh-M-100037,1671638278
Trh-M-100060,297230760
Trh-M-100060,361312808
Trh-M-100071,673746277
Trh-M-100071,1225290633
Trh-M-200043,5813054716
Trh-M-300071,977339122
Trh-M-300138,922069357
Trh-M-300138,832016427
Trh-M-300138,957506896
Trh-M-300140,5813053851
Trh-M-300140,957506896
Trh-M-400023,5813053851
Trh-M-400052,957506896
Trh-M-400052,5813053851
Trh-M-400110,5813053851
Trh-M-400110,5813065004
Trh-M-400131,832016427
Trh-M-500163,922354084
Trh-M-500163,829598814
VGlut-F-000016,5813027276
VGlut-F-000016,950880008
VGlut-F-000111,5812987694
VGlut-F-000111,5813021583
VGlut-F-000158,298254384
VGlut-F-000158,5813020785
VGlut-F-000177,5813056321
VGlut-F-000303,5813011119
VGlut-F-000463,1733677514
VGlut-F-000556,885168486
VGlut-F-100002,914778159
VGlut-F-100003,1671638278
VGlut-F-100035,575768294
VGlut-F-100125,1107081827
VGlut-F-200036,797442049
VGlut-F-200036,5813059915
VGlut-F-200062,297251714
VGlut-F-200062,296139882
VGlut-F-200459,5813011119
VGlut-F-300438,329566197
VGlut-F-400049,297917475
VGlut-F-400184,1762359683
VGlut-F-400184,1667251683
VGlut-F-400334,447599745
VGlut-F-400757,5813039309
VGlut-F-400757,1670597533
VGlut-F-400898,1762359683
VGlut-F-400898,1916800213
VGlut-F-500002,5813011298
VGlut-F-500335,1762359683
VGlut-F-500335,5813039309
VGlut-F-500876,1640555311
VGlut-F-500876,1639886198
VGlut-F-600204,5813061218
VGlut-F-700261,5813047489
VGlut-F-700261,5813057579
VGlut-F-800130,1671620613
VGlut-F-800130,1762359683
fru-F-000094,422751191
fru-F-000131,360591860
fru-F-000131,298258611
fru-F-000131,5812980529
fru-M-000335,673776769
fru-M-000339,329289084
fru-M-000339,452029745
fru-M-300299,579268807
npf-M-300037,5813069630
Cha-F-000088,1670597533
Cha-F-000239,1672320134
Cha-F-000239,5813069085
Cha-F-000239,1704347707
Cha-F-200299,950880008
Cha-F-200299,5813023322
Cha-F-200299,5813098368
Cha-F-300344,5813047970
Cha-F-300344,951916894
Cha-F-400237,1321564092
Cha-F-400237,950880008
Cha-F-400237,951234513
Cha-F-800090,361312808
Cha-F-800090,487144598
Cha-F-800090,329897255
Gad1-F-000694,5813070613
Gad1-F-000694,5813057853
Gad1-F-000694,1383016399
Gad1-F-000703,421641859
Gad1-F-000703,360259229
Gad1-F-200186,1702306037
Gad1-F-200186,5813039309
Gad1-F-200186,5813034455
TH-F-000009,1406911688
TH-F-000010,298258611
TH-F-000019,675767414
TH-F-000019,510049477
TH-M-000029,675767414
TH-M-000032,675767414
TH-M-000032,611629428
TH-M-100027,5813057579
TH-M-100027,797442049
TH-M-100027,5813021583
TH-M-200034,5813021112
TH-M-200034,1406911688
TH-M-200034,797442049
TH-M-200035,387870860
TH-M-300017,5813021112
TH-M-300017,1406911688
Trh-M-100025,673746277
Trh-M-100060,297251714
Trh-M-100071,5813062858
Trh-M-500163,5813033196
Trh-M-700039,797442049
VGlut-F-000016,5813098368
VGlut-F-000016,1321564092
VGlut-F-000016,857793013
VGlut-F-000111,5813057579
VGlut-F-000158,328870472
VGlut-F-000158,298612190
VGlut-F-000158,5813078542
VGlut-F-200036,947573616
VGlut-F-200062,329225149
VGlut-F-200062,361312808
VGlut-F-200062,329897255
VGlut-F-200143,298254384
VGlut-F-200143,5813020785
VGlut-F-400184,1704347707
VGlut-F-400186,5813034455
VGlut-F-400757,1640555311
VGlut-F-400757,1888199872
VGlut-F-400757,1762359683
VGlut-F-400898,1702306037
VGlut-F-400898,5813034455
VGlut-F-500876,5813039309
VGlut-F-700261,5813021112
VGlut-F-700541,5813039309
VGlut-F-700541,1702306037
VGlut-F-800130,1640887603
VGlut-F-800130,1578826464
VGlut-F-800130,1640922754
Cha-F-000009,1048215779
Cha-F-000009,1078693835
Cha-F-400112,1224258912
Cha-F-400112,5813022925
Cha-F-400201,1639886198
Cha-F-400201,1640555311
Cha-F-800086,579916831
Cha-F-800086,5812981543
E0585-F-200015,457175171
E0585-F-200015,518899665
E0585-F-300042,457175171
E0585-F-300042,642664141
fru-F-200052,1228683492
fru-F-200052,456156825
fru-F-400010,862705904
fru-F-400010,1173745330
fru-F-400071,1205090786
fru-F-400071,1173745330
fru-F-400141,862705904
fru-F-400141,1142356576
fru-F-400196,1100792636
fru-F-400196,1141324564
fru-F-400214,983759126
fru-F-400214,1173045815
fru-F-400229,5813087817
fru-F-400229,1700644008
fru-F-400338,1141678665
fru-F-400338,1205090786
fru-F-400437,1173745330
fru-F-400437,1141678665
fru-F-400475,5901203987
fru-F-400475,519591210
fru-F-500083,1261130127
fru-F-500083,1261129711
fru-F-500115,1206114100
fru-F-500115,1173745330
fru-F-500297,1051630846
fru-F-500297,948035783
fru-F-500435,1142011140
fru-F-500435,1510648834
fru-F-500584,862705904
fru-F-500584,1205090786
fru-F-600168,1101133698
fru-F-600168,977343309
fru-F-600186,609587511
fru-F-600186,550280614
fru-F-700104,1142365351
fru-F-700104,1173745330
fru-F-700114,1224945418
fru-F-700114,1224258912
fru-F-700163,1142356576
fru-F-700163,862705904
fru-F-700245,1204175835
fru-F-700245,1100792636
fru-F-700257,1141337605
fru-F-700257,1224258912
fru-M-400031,1290416713
fru-M-400031,1198006801
fru-M-400362,955464899
fru-M-400362,1469403612
fru-M-400401,955464899
fru-M-400401,829261936
fru-M-500174,266187383
fru-M-500174,977343309
fru-M-500374,737832306
fru-M-500374,1224258912
fru-M-500377,1100792636
fru-M-500377,5813057274
fru-M-500383,5813034306
fru-M-500383,1205090786
fru-M-700067,1228683492
fru-M-700067,550617370
fru-M-700270,1204175835
fru-M-700270,1510648834
G0239-F-000001,300972942
G0239-F-000001,5813068729
G0239-F-000003,300972942
G0239-F-000003,5813068729
G0239-F-000005,300972942
G0239-F-000005,5813068729
G0239-F-000007,300972942
G0239-F-000007,5813068729
G0239-F-000008,300972942
G0239-F-000008,267896360
G0239-F-000009,5813068729
G0239-F-000009,300972942
G0239-F-000011,676573560
G0239-F-000011,636667489
G0239-F-000012,300972942
G0239-F-000012,5813068729
G0239-F-000013,300972942
G0239-F-000013,5813068729
Gad1-F-001409,1610224198
Gad1-F-001409,1641250106
Gad1-F-101173,5813020585
Gad1-F-101173,5813020455
Gad1-F-200227,5813022201
Gad1-F-200227,860983686
Gad1-F-300153,1224258912
Gad1-F-300153,1224945418
Gad1-F-300154,517854468
Gad1-F-300154,423774471
Gad1-F-300275,702389193
Gad1-F-300309,955464899
Gad1-F-300309,862705904
Gad1-F-301525,422682603
Gad1-F-301525,1419019956
Gad1-F-301704,424789697
Gad1-F-301704,760686202
Gad1-F-400259,518899665
Gad1-F-400259,296543992
Gad1-F-400718,1266871604
Gad1-F-400718,673518025
Gad1-F-400957,1262114202
Gad1-F-400957,1261423370
Gad1-F-402516,829261936
Gad1-F-402516,862705904
Gad1-F-500136,946641153
Gad1-F-500136,1290416713
Gad1-F-500365,613719036
Gad1-F-500365,768555687
Gad1-F-500524,1173045815
Gad1-F-500524,1141337605
Gad1-F-500559,5813022201
Gad1-F-500559,1171690479
Gad1-F-502126,1142365351
Gad1-F-502126,956138930
Gad1-F-600109,1670278227
Gad1-F-600109,1510648834
Gad1-F-600115,946641153
Gad1-F-600345,922810839
Gad1-F-600345,5813077405
Gad1-F-601324,5812980638
Gad1-F-601324,1172372382
Gad1-F-700131,613719036
Gad1-F-700131,673085197
Gad1-F-800094,1198330641
Gad1-F-800094,1290416713
Gad1-F-900001,1290416713
Gad1-F-900001,5813026366
Gad1-F-900194,1448929233
Gad1-F-900194,1193560072
TH-F-000101,331662710
TH-F-000101,421641859
TH-F-100083,329970706
TH-F-100099,329970706
TH-F-200030,328943204
TH-F-200030,203253253
TH-F-200033,517514142
TH-F-200033,608922563
TH-F-200081,330268940
TH-F-300020,484911954
TH-F-300020,1048172314
TH-F-300073,328943204
TH-F-300073,361040812
TH-F-700001,418969956
TH-F-700001,297166053
TH-F-700004,643830129
TH-F-700004,5813089803
TH-F-700016,5812982779
TH-F-700016,5813089803
TH-F-700022,946645313
TH-F-700022,981362334
TH-M-300021,517514142
TH-M-300021,5813049380
TH-M-500003,580287695
TH-M-500003,456156825
TH-M-600002,1224258912
TH-M-600002,1193560072
TH-M-600003,1224595289
TH-M-600003,1224258912
TH-M-700002,1224595289
TH-M-700002,1224945418
TH-M-700013,5812979156
TH-M-700013,644417074
TH-M-700017,604864392
TH-M-700017,454439022
Trh-M-000099,1602402027
Trh-M-000099,986828383
Trh-M-800009,1048215779
Trh-M-800009,1016835041
VGlut-F-200594,5813058048
VGlut-F-200594,328632707
VGlut-F-300680,5813020585
VGlut-F-300680,1322474586
VGlut-F-800070,894551935
VGlut-F-800070,832357089
VT0765-F-700001,613079053
VT0765-F-700001,486544396
VT16811-F-700000,1078693835
VT16811-F-700000,1729935421
VT24618-F-700000,5813058048
VT24618-F-700000,299082033
VT38815-F-700000,799586652
VT38815-F-700000,1640555311
VT38815-F-700001,799586652
VT38815-F-700001,485745069
VT43401-F-700002,575768294
VT43401-F-700002,5813020673
VT50245-F-700000,5813058316
VT50245-F-700000,700486220
VT50245-F-700001,612414168
VT50245-F-700001,674807824
VT50733-F-700000,919763043
VT50733-F-700000,519046655
VT58722-F-700000,549282467
VT58722-F-700000,326253554
VT58722-F-700001,673509195
VT58722-F-700001,946990515
VT5948-F-700000,422725634
VT5948-F-700000,519279166
VT5948-F-700001,422725634
VT5948-F-700001,736174181
Cha-F-000088,1640909284
Cha-F-400237,1135441187
Trh-M-200043,1671620613
Trh-F-100001,5813062858
Cha-F-000088,1699974843
Cha-F-000088,1704347707
VGlut-F-400757,1640922516
VGlut-F-200392,792326206
Cha-F-000088,5813055277
Cha-F-000088,5813056598
Cha-F-200299,1135441187
VGlut-F-500876,1640922516
VGlut-F-400898,1640922516
VGlut-F-500876,1667251683
Trh-M-100024,5813049824
Trh-M-500163,862671913
VGlut-F-400186,1640922516
VGlut-F-500335,1640922516
Trh-M-100024,5813020684
VGlut-F-700541,1640922516
TH-F-200026,330640044
Trh-M-300140,1008024276
Trh-M-400023,953414780
Trh-M-100024,5813055834
VGlut-F-500876,1669924220
Trh-M-100024,946308203
TH-F-000012,328533761
TH-F-100036,5812980529
Trh-M-500163,953410147
Trh-M-500163,768555687
VGlut-F-800130,1671257931
VGlut-F-200319,5813055865
TH-M-000029,5813021602
VGlut-F-800130,2135408892
VGlut-F-800130,5813132949
Trh-M-400110,953414780
Trh-M-500163,672006007
TH-F-000019,5813021602
Trh-F-400055,1070426862
TH-F-300062,1262360335
Trh-M-500163,891663788
VGlut-F-000463,1037293275
Trh-M-400110,1008024276
Trh-F-300112,953414780
Trh-F-400055,1008024276
Trh-F-300112,922069357
Trh-F-300112,1008024276
Trh-M-400023,988567837
TH-M-100063,1449247522
VGlut-F-400898,1668944259
Trh-M-400052,1008024276
VGlut-F-800130,1640555311
Trh-F-400055,953414780
Trh-F-300112,5813053851
Trh-M-400131,1008024276
Trh-M-400110,957506896
fru-F-000094,298603730
Cha-F-000239,1733677514
TH-F-000036,5813011298
VGlut-F-400757,5901196806
TH-M-000030,328533761
Cha-F-000239,1037293275
VGlut-F-000177,672283773
Trh-M-400110,1070426862
VGlut-F-400049,297251714
VGlut-F-400186,1700644008
TH-M-300005,1289359184
VGlut-F-500876,5813034455
TH-F-100050,1289359184
VGlut-F-500876,5901196806
TH-M-000032,5813021602
TH-F-300062,1666561406
VGlut-F-400757,1730651751
Trh-F-400055,922069357
VGlut-F-400898,1700644008
TH-F-300062,1168915489
Trh-M-300138,1008024276
Trh-M-400023,957506896
TH-M-100057,1449247522
VGlut-F-400757,5813034455
