fc_id,em_id,score,label
TH-F-200037,331662710,0.550014065968464,1.0
TH-F-200096,331662710,0.4824042454599838,1.0
TH-M-000032,859265651,0.6055904456699569,0.8
TH-M-200035,294436967,0.5096347382633998,0.8
Trh-F-000008,1671638278,0.4907099948558444,0.9
Trh-M-100024,329289084,0.4862888870389085,0.8
VGlut-F-200251,548712377,0.5294482292642984,0.8
VGlut-F-200319,424716408,0.4002991229411845,0.5
VGlut-F-700541,1888199872,0.3872430605766228,0.7
Cha-F-000088,1640887603,0.4825711088159403,0.7
Cha-F-100135,393063351,0.4897492976802335,0.7
Cha-F-200299,5813027276,0.5269190409334186,0.6
Cha-F-400237,5813027276,0.5685059404737509,0.4
Cha-F-500071,1012954687,0.2182013361040533,0.5
Gad1-F-500004,294436967,0.4471260441901349,0.7
Gad1-F-600059,328546871,0.3442857127614068,1.0
TH-F-000009,5813054384,0.3721414212226763,0.9
TH-F-000010,5812980529,0.3159569399182844,0.7
TH-F-000010,5901203505,0.2894423386753956,0.7
TH-F-000019,859265651,0.6382303786266297,0.7
TH-F-000091,331662710,0.5668324756120846,1.0
TH-F-100036,360591860,0.4865045461510452,0.7
TH-F-100036,5901203505,0.4439443106655888,0.6
TH-F-100050,1131827390,0.4666297884981769,0.8
TH-F-100095,331662710,0.5244355512777645,1.0
TH-F-200004,5813011298,0.4543043388194623,0.6
TH-F-200026,5813009595,0.4986674899972682,0.9
TH-F-200064,331662710,0.5106528329279262,1.0
TH-F-300062,5813060068,0.6188103760775737,0.8
TH-F-300078,5813071348,0.3925041902810181,0.9
TH-M-000029,859265651,0.6470663448978557,0.8
TH-M-100016,331662710,0.4851887896295162,1.0
TH-M-100063,1198330286,0.4967004555863789,0.8
TH-M-200010,422738252,0.5240464745382378,0.9
TH-M-200013,5813062871,0.4044353679806344,0.9
TH-M-200064,331662710,0.4807767319420359,1.0
TH-M-200095,422738252,0.4806631259405097,0.9
TH-M-300005,1131827390,0.4450687779307167,0.9
Trh-F-100038,1671638278,0.4881651446039942,0.9
Trh-F-100066,5813062858,0.6202377684959806,0.9
Trh-F-300112,957506896,0.5038723042767879,0.9
Trh-F-400055,957506896,0.4851516818791571,0.9
Trh-M-100020,361312808,0.2745041354548048,0.8
Trh-M-100025,5813062858,0.5981823353852156,0.8
Trh-M-100037,1671638278,0.476646010959771,0.9
Trh-M-100071,1225290633,0.3148891080535539,0.6
Trh-M-300138,922069357,0.3883970199988241,0.9
Trh-M-300138,832016427,0.3893663923239814,0.9
Trh-M-300138,957506896,0.4526283718286111,0.9
Trh-M-300140,5813053851,0.3389902247027146,0.9
Trh-M-300140,957506896,0.429703305980211,0.9
Trh-M-400023,5813053851,0.4337012823104026,0.9
Trh-M-400052,957506896,0.4577700293652376,0.9
Trh-M-400052,5813053851,0.3836101704314887,0.9
Trh-M-400110,5813053851,0.4504607141055571,0.9
Trh-M-400110,5813065004,0.3212067758470063,0.7
Trh-M-400131,832016427,0.3476696865764983,0.9
VGlut-F-000016,5813027276,0.3350841802227594,0.8
VGlut-F-000016,950880008,0.5091956365930158,0.8
VGlut-F-000111,5813021583,0.3210676412492182,0.5
VGlut-F-000158,298254384,0.5485413597596356,0.7
VGlut-F-000303,5813011119,0.4535116871322358,0.8
VGlut-F-000463,1733677514,0.473183202386657,0.9
VGlut-F-000556,885168486,0.5928848517695869,0.8
VGlut-F-100002,914778159,0.35497595953815,0.7
VGlut-F-100003,1671638278,0.4698843035830035,0.9
VGlut-F-100035,575768294,0.4024365725774795,0.8
VGlut-F-200036,797442049,0.4588879788999624,0.7
VGlut-F-200062,297251714,0.4888416837164335,0.6
