fc_id,em_id,KT_score,model_predict,binary_label
TH-M-300059,234292899,0.4415542710340397,0.24003278,0
TH-M-300059,5813071027,0.5322504584752422,0.6644654,1
TH-M-300059,916288456,0.5150466966447594,0.5388614,1
TH-M-300059,422191200,0.5096159084718062,0.5688124,1
TH-M-300059,885607728,0.4554672513017262,0.58027583,1
TH-M-300059,1105955480,0.46405451448040863,0.36625794,0
TH-M-300059,5813050747,0.5048701298701298,0.6987035,1
TH-M-300059,762222901,0.5465666929755327,0.59646255,1
TH-M-300059,885262043,0.46184886280264115,0.6356208,1
TH-M-300059,5813069331,0.5126369222548757,0.62745154,1
Cha-F-000364,1537807327,0.4431818181818181,0.4226374,0
Cha-F-000364,1570866455,0.4022727272727272,0.38918647,0
Cha-F-000364,1817790409,0.36079545454545453,0.40971398,0
Cha-F-000364,1776865370,0.3508771929824562,0.42798427,0
Cha-F-000364,1847815147,0.44034090909090906,0.4699454,0
Cha-F-000364,1809264255,0.292364990689013,0.43557617,0
Cha-F-000364,1844421716,0.34450651769087515,0.31673992,0
Cha-F-000364,1440972629,0.48295454545454547,0.4143114,0
Cha-F-000364,1848151571,0.3607954545454545,0.445891,0
Cha-F-000364,1874035952,0.43131462333825704,0.5994429,1
Trh-M-200010,1598663076,0.502547770700637,0.0014619464,0
Trh-M-200010,858587718,0.5296513107660985,0.00082833477,0
Trh-M-200010,1434949542,0.5348127035830619,0.11150964,0
Trh-M-200010,1230933109,0.6421612046058457,0.03489482,0
Trh-M-200010,1640555311,0.7263250883392229,0.21019474,0
Trh-M-200010,1232038141,0.47499434261145074,0.2228156,0
Trh-M-200010,1730651751,0.6038543897216276,0.40369198,0
Trh-M-200010,1535488185,0.50839445802771,0.10894982,0
Trh-M-200010,1572744091,0.4898509581263307,0.029468259,0
Trh-M-200010,5813027235,0.6513499480789199,0.056956932,0
Cha-F-500132,1873734612,0.5348148148148149,0.40914994,0
Cha-F-500132,1808927915,0.46546227417640806,0.51199514,1
Cha-F-500132,2071936445,0.4925217391304348,0.23160927,0
Cha-F-500132,1815126312,0.4551214361140444,0.47507295,0
Cha-F-500132,1815809293,0.4441713483146067,0.5591322,1
Cha-F-500132,1976095316,0.5648695652173912,0.24093913,0
Cha-F-500132,1567482299,0.5302166476624858,0.37408534,0
Cha-F-500132,1754374486,0.5788043478260869,0.49178955,0
Cha-F-500132,5812989274,0.3821062441752097,0.5053385,1
