fc_id,em_id,model_predict
5-HT1B-F-500001,5-HT1B-F-500001,0.682353
5-HT1B-F-500001,5HT1A-F-300008,0.59857404
5-HT1B-F-500001,5HT1A-F-700012,0.070474334
5-HT1B-F-500001,Cha-F-200058,0.21994343
5-HT1B-F-500001,Cha-F-300158,0.1825117
5-HT1B-F-500001,Cha-F-300205,0.32290292
5-HT1B-F-500001,Gad1-F-000355,0.15969393
5-HT1B-F-500001,Gad1-F-000361,0.26408762
5-HT1B-F-500001,Gad1-F-000394,0.54576963
5-HT1B-F-500001,Gad1-F-000492,0.4263654
5-HT1B-F-500001,Gad1-F-100350,0.18007003
5-HT1B-F-500001,Gad1-F-100497,0.36311585
5-HT1B-F-500001,Gad1-F-100601,0.5896007
5-HT1B-F-500001,Gad1-F-200281,0.36145148
5-HT1B-F-500001,Gad1-F-200344,0.6257475
5-HT1B-F-500001,Gad1-F-200461,0.5220288
5-HT1B-F-500001,Gad1-F-200479,0.6465766
5-HT1B-F-500001,Gad1-F-200614,0.40034297
5-HT1B-F-500001,Gad1-F-300048,0.25836822
5-HT1B-F-500001,Gad1-F-300137,0.3568608
5-HT1B-F-500001,Gad1-F-300223,0.49995637
5-HT1B-F-500001,Gad1-F-300276,0.4704323
5-HT1B-F-500001,Gad1-F-400291,0.35904813
5-HT1B-F-500001,Gad1-F-400417,0.53326946
5-HT1B-F-500001,Gad1-F-400645,0.08438591
5-HT1B-F-500001,Gad1-F-400667,0.12134302
5-HT1B-F-500001,Gad1-F-400824,0.42526743
5-HT1B-F-500001,Gad1-F-500141,0.43206385
5-HT1B-F-500001,Gad1-F-500358,0.64010733
5-HT1B-F-500001,Gad1-F-500382,0.36427125
5-HT1B-F-500001,Gad1-F-500596,0.107373245
5-HT1B-F-500001,Gad1-F-500697,0.62358224
5-HT1B-F-500001,Gad1-F-600299,0.52519315
5-HT1B-F-500001,Gad1-F-600475,0.5529345
5-HT1B-F-500001,Gad1-F-600662,0.6245904
5-HT1B-F-500001,Gad1-F-600684,0.0807781
5-HT1B-F-500001,Gad1-F-700105,0.3042047
5-HT1B-F-500001,Gad1-F-700252,0.3203763
5-HT1B-F-500001,Gad1-F-700276,0.32173198
5-HT1B-F-500001,Gad1-F-700488,0.4845611
5-HT1B-F-500001,Gad1-F-800183,0.30035287
5-HT1B-F-500001,Gad1-F-800493,0.5068483
5-HT1B-F-500001,Gad1-F-800638,0.3099424
5-HT1B-F-500001,Gad1-F-900200,0.411748
5-HT1B-F-500001,Gad1-F-900485,0.64390373
5-HT1B-F-500001,fru-F-400442,0.049343526
5-HT1B-F-500001,fru-F-400547,0.024773419
5-HT1B-F-500001,fru-F-500420,0.04951581
5-HT1B-F-500001,fru-F-500439,0.023675777
5-HT1B-F-500001,fru-F-500442,0.013733457
5-HT1B-F-500001,fru-F-500512,0.045121342
5-HT1B-F-500001,fru-F-600263,0.04609627
5-HT1B-F-500001,fru-F-700165,0.015869815
5-HT1B-F-500001,fru-F-800076,0.09272785
5-HT1B-F-500001,Gad1-F-000185,0.03537713
5-HT1B-F-500001,Gad1-F-000550,0.020015026
5-HT1B-F-500001,Gad1-F-000619,0.01939776
5-HT1B-F-500001,Gad1-F-100061,0.03581651
5-HT1B-F-500001,Gad1-F-200064,0.031971928
5-HT1B-F-500001,Gad1-F-300166,0.038476136
5-HT1B-F-500001,Gad1-F-300249,0.082710855
5-HT1B-F-500001,Gad1-F-300563,0.030269716
5-HT1B-F-500001,Gad1-F-300664,0.06762753
5-HT1B-F-500001,Gad1-F-400129,0.043239925
5-HT1B-F-500001,Gad1-F-400314,0.04226935
5-HT1B-F-500001,Gad1-F-400339,0.02603966
5-HT1B-F-500001,Gad1-F-500088,0.023288913
5-HT1B-F-500001,Gad1-F-500568,0.033046216
5-HT1B-F-500001,Gad1-F-500838,0.05225081
5-HT1B-F-500001,Gad1-F-700193,0.042344388
5-HT1B-F-500001,Gad1-F-700238,0.029520638
5-HT1B-F-500001,Gad1-F-700616,0.024929188
5-HT1B-F-500001,Gad1-F-900093,0.060519982
5-HT1B-F-500001,Trh-F-000032,0.06481897
5-HT1B-F-500001,Trh-F-300080,0.11444028
5-HT1B-F-500001,Trh-F-400000,0.042125307
5-HT1B-F-500001,Trh-F-400014,0.10547473
5-HT1B-F-500001,Trh-F-400030,0.059602186
5-HT1B-F-500001,Trh-F-500004,0.118458465
5-HT1B-F-500001,Trh-F-500049,0.036400013
5-HT1B-F-500001,Trh-F-500061,0.13925457
5-HT1B-F-500001,Trh-F-500199,0.05212191
5-HT1B-F-500001,Trh-F-500211,0.09662462
5-HT1B-F-500001,Trh-F-500220,0.038852867
5-HT1B-F-500001,Trh-F-600007,0.058755163
5-HT1B-F-500001,Trh-F-600066,0.023605503
5-HT1B-F-500001,Trh-F-600072,0.0154912295
5-HT1B-F-500001,Trh-F-600092,0.090690926
5-HT1B-F-500001,Trh-F-600108,0.040482167
5-HT1B-F-500001,Trh-F-700019,0.0625742
5-HT1B-F-500001,Trh-F-700021,0.054103874
5-HT1B-F-500001,Trh-F-800002,0.03587385
5-HT1B-F-500001,Trh-F-900031,0.019592257
5-HT1B-F-500001,VGlut-F-000563,0.030781703
5-HT1B-F-500001,VGlut-F-100370,0.017662887
5-HT1B-F-500001,VGlut-F-100376,0.02447756
5-HT1B-F-500001,VGlut-F-200559,0.020603204
5-HT1B-F-500001,VGlut-F-200571,0.08393727
5-HT1B-F-500001,VGlut-F-200574,0.023093503
5-HT1B-F-500001,VGlut-F-300627,0.062372986
5-HT1B-F-500001,VGlut-F-300636,0.07247848
5-HT1B-F-500001,VGlut-F-400096,0.101743005
5-HT1B-F-500001,VGlut-F-400151,0.06677118
5-HT1B-F-500001,VGlut-F-400167,0.05367173
5-HT1B-F-500001,VGlut-F-400178,0.07696554
5-HT1B-F-500001,VGlut-F-400225,0.04331511
5-HT1B-F-500001,VGlut-F-400263,0.040779762
5-HT1B-F-500001,VGlut-F-400434,0.04839211
5-HT1B-F-500001,VGlut-F-500039,0.042846438
5-HT1B-F-500001,VGlut-F-500092,0.0286077
