fc_id,part
VGlut-F-700046,1
VGlut-F-700571,1
VGlut-F-500736,1
VGlut-F-600195,1
VGlut-F-700339,1
VGlut-F-500425,1
VGlut-F-800154,1
VGlut-F-800199,1
VGlut-F-600089,1
VGlut-F-800083,1
VGlut-F-700579,1
VGlut-F-700585,1
VGlut-F-500343,1
VGlut-F-800085,1
VGlut-F-500841,1
VGlut-F-800086,1
VGlut-F-500341,1
VGlut-F-600683,1
VGlut-F-700401,1
VGlut-F-700229,1
VGlut-F-700499,1
VGlut-F-800250,1
VGlut-F-500632,1
VGlut-F-700408,1
VGlut-F-600579,1
VGlut-F-700041,1
VGlut-F-800240,1
VGlut-F-700029,1
VGlut-F-700036,1
VGlut-F-700037,1
VGlut-F-700108,1
VGlut-F-600180,1
VGlut-F-700488,1
VGlut-F-600461,1
VGlut-F-700199,1
VGlut-F-800049,1
VGlut-F-500410,1
VGlut-F-600681,1
VGlut-F-500416,1
VGlut-F-500465,1
VGlut-F-700145,2
VGlut-F-700442,2
VGlut-F-600169,2
VGlut-F-700603,2
VGlut-F-600187,2
VGlut-F-600192,2
VGlut-F-700493,2
VGlut-F-700574,2
VGlut-F-800328,2
VGlut-F-500803,2
VGlut-F-600706,2
VGlut-F-500777,2
VGlut-F-600692,2
VGlut-F-600388,2
VGlut-F-700508,2
VGlut-F-800041,3
VGlut-F-900131,3
VGlut-F-600796,3
VGlut-F-800045,3
VGlut-F-500869,3
VGlut-F-700584,3
VGlut-F-500748,3
VGlut-F-600312,3
VGlut-F-700081,3
VGlut-F-500780,3
VGlut-F-500789,3
VGlut-F-700589,3
VGlut-F-800260,3
VGlut-F-500371,3
VGlut-F-600594,3
VGlut-F-700496,3
VGlut-F-500677,3
VGlut-F-900032,3
VGlut-F-600483,3
VGlut-F-500764,3
VGlut-F-900136,3
VGlut-F-500740,3
VGlut-F-600785,3
VGlut-F-700349,3
VGlut-F-700365,3
VGlut-F-700555,3
VGlut-F-800134,3
VGlut-F-600626,3
VGlut-F-500482,3
VGlut-F-700551,3
VGlut-F-700074,3
VGlut-F-800063,3
VGlut-F-700389,3
VGlut-F-800278,3
VGlut-F-600602,3
VGlut-F-700102,3
VGlut-F-800022,3
VGlut-F-900080,3
VGlut-F-700004,3
VGlut-F-900049,3
VGlut-F-600291,3
VGlut-F-700025,3
VGlut-F-800330,3
VGlut-F-700462,3
VGlut-F-800137,3
