fc_id,em_id,model_predict
5-HT1B-F-500001,5-HT1B-F-500001,0.7592685
5-HT1B-F-500001,5HT1A-F-300008,0.7553716
5-HT1B-F-500001,5HT1A-F-700012,0.25321913
5-HT1B-F-500001,Cha-F-200058,0.42210412
5-HT1B-F-500001,Cha-F-300158,0.3770643
5-HT1B-F-500001,Cha-F-300205,0.6002736
5-HT1B-F-500001,Gad1-F-000355,0.3817635
5-HT1B-F-500001,Gad1-F-000361,0.42164978
5-HT1B-F-500001,Gad1-F-000394,0.5656336
5-HT1B-F-500001,Gad1-F-000492,0.5694261
5-HT1B-F-500001,Gad1-F-100350,0.43595982
5-HT1B-F-500001,Gad1-F-100497,0.54819214
5-HT1B-F-500001,Gad1-F-100601,0.51734424
5-HT1B-F-500001,Gad1-F-200281,0.61197823
5-HT1B-F-500001,Gad1-F-200344,0.7511413
5-HT1B-F-500001,Gad1-F-200461,0.45010623
5-HT1B-F-500001,Gad1-F-200479,0.87631595
5-HT1B-F-500001,Gad1-F-200614,0.535152
5-HT1B-F-500001,Gad1-F-300048,0.42954814
5-HT1B-F-500001,Gad1-F-300137,0.37575066
5-HT1B-F-500001,Gad1-F-300223,0.5247534
5-HT1B-F-500001,Gad1-F-300276,0.6575451
5-HT1B-F-500001,Gad1-F-400291,0.54027015
5-HT1B-F-500001,Gad1-F-400417,0.69164306
5-HT1B-F-500001,Gad1-F-400645,0.3576193
5-HT1B-F-500001,Gad1-F-400667,0.36168852
5-HT1B-F-500001,Gad1-F-400824,0.5491581
5-HT1B-F-500001,Gad1-F-500141,0.6342511
5-HT1B-F-500001,Gad1-F-500358,0.74481684
5-HT1B-F-500001,Gad1-F-500382,0.6369773
5-HT1B-F-500001,Gad1-F-500596,0.34172118
5-HT1B-F-500001,Gad1-F-500697,0.68523884
5-HT1B-F-500001,Gad1-F-600299,0.6908847
5-HT1B-F-500001,Gad1-F-600475,0.6282182
5-HT1B-F-500001,Gad1-F-600662,0.70911914
5-HT1B-F-500001,Gad1-F-600684,0.24585488
5-HT1B-F-500001,Gad1-F-700105,0.4750967
5-HT1B-F-500001,Gad1-F-700252,0.30979285
5-HT1B-F-500001,Gad1-F-700276,0.52331537
5-HT1B-F-500001,Gad1-F-700488,0.5740548
5-HT1B-F-500001,Gad1-F-800183,0.5141613
5-HT1B-F-500001,Gad1-F-800493,0.63095695
5-HT1B-F-500001,Gad1-F-800638,0.49164256
5-HT1B-F-500001,Gad1-F-900200,0.4216375
5-HT1B-F-500001,Gad1-F-900485,0.76665723
5-HT1B-F-500001,fru-F-400442,0.02888547
5-HT1B-F-500001,fru-F-400547,0.07445007
5-HT1B-F-500001,fru-F-500420,0.05475945
5-HT1B-F-500001,fru-F-500439,0.082974
5-HT1B-F-500001,fru-F-500442,0.015328138
5-HT1B-F-500001,fru-F-500512,0.08851662
5-HT1B-F-500001,fru-F-600263,0.034953535
5-HT1B-F-500001,fru-F-700165,0.017766729
5-HT1B-F-500001,fru-F-800076,0.27529123
5-HT1B-F-500001,Gad1-F-000185,0.10996401
5-HT1B-F-500001,Gad1-F-000550,0.008624855
5-HT1B-F-500001,Gad1-F-000619,0.015643584
5-HT1B-F-500001,Gad1-F-100061,0.01914547
5-HT1B-F-500001,Gad1-F-200064,0.08080663
5-HT1B-F-500001,Gad1-F-300166,0.06035024
5-HT1B-F-500001,Gad1-F-300249,0.17047654
5-HT1B-F-500001,Gad1-F-300563,0.05063676
5-HT1B-F-500001,Gad1-F-300664,0.063260466
5-HT1B-F-500001,Gad1-F-400129,0.033885762
5-HT1B-F-500001,Gad1-F-400314,0.209182
5-HT1B-F-500001,Gad1-F-400339,0.028978925
5-HT1B-F-500001,Gad1-F-500088,0.00693693
5-HT1B-F-500001,Gad1-F-500568,0.028418336
5-HT1B-F-500001,Gad1-F-500838,0.05120487
5-HT1B-F-500001,Gad1-F-700193,0.09812601
5-HT1B-F-500001,Gad1-F-700238,0.025614474
5-HT1B-F-500001,Gad1-F-700616,0.047059096
5-HT1B-F-500001,Gad1-F-900093,0.010418781
5-HT1B-F-500001,Trh-F-000032,0.035600685
5-HT1B-F-500001,Trh-F-300080,0.17567833
5-HT1B-F-500001,Trh-F-400000,0.072006345
5-HT1B-F-500001,Trh-F-400014,0.09901162
5-HT1B-F-500001,Trh-F-400030,0.049430422
5-HT1B-F-500001,Trh-F-500004,0.11239354
5-HT1B-F-500001,Trh-F-500049,0.050696667
5-HT1B-F-500001,Trh-F-500061,0.13909279
5-HT1B-F-500001,Trh-F-500199,0.06843443
5-HT1B-F-500001,Trh-F-500211,0.08761012
5-HT1B-F-500001,Trh-F-500220,0.049151488
