analysis,method,within,between,contrast,auc,silhouette,ari_average,nmi_average,ari_complete,nmi_complete,ari_ward,nmi_ward,purity
4-neuropil,FineTune_miniLR (fold 0),0.5328995344647383,0.13330685862784916,0.39959267583688907,0.8842257226973511,0.4060166217557233,0.6665792920275445,0.7538800762329423,0.7348824719612038,0.8339838846571277,0.7448855610424259,0.8274059823006613,
4-neuropil,Annotator (fold 0),0.5498027133554283,0.2666635816330976,0.2831391317223307,0.8365453660703625,0.28843470416758493,0.31700338815189794,0.5643330243672209,0.42877358474176097,0.5587909811967936,1.0,1.0,
4-neuropil,NBLAST (official),0.47623447205109315,0.0679140921206017,0.4083203799304914,0.9671058215093221,0.3378988105141911,0.6639492831181273,0.809597935374472,0.7400505363993805,0.8350941017991002,0.6639492831181273,0.809597935374472,
ALLN-vs-PN,FineTune_miniLR (fold 0),0.669904064104133,0.11028213014300535,0.5596219339611276,0.9759908342686121,,,,,,,,
ALLN-vs-KC,FineTune_miniLR (fold 0),0.5956049030995776,0.05524383427263467,0.5403610688269429,0.9962056720820526,,,,,,,,
ALLN-vs-FB,FineTune_miniLR (fold 0),0.3485607336947358,0.20119603526801402,0.14736469842672176,0.6587053872053872,,,,,,,,
PN-vs-KC,FineTune_miniLR (fold 0),0.6801722280187147,0.13303903674209194,0.5471331912766227,0.971188544853519,,,,,,,,
PN-vs-FB,FineTune_miniLR (fold 0),0.5108893166863477,0.11003518483384646,0.4008541318525013,0.8832652727272727,,,,,,,,
KC-vs-FB,FineTune_miniLR (fold 0),0.42344332652149635,0.17304483319754901,0.25039849332394737,0.7662704850488269,,,,,,,,
ALLN-vs-PN,Annotator (fold 0),0.6118345514737473,0.1390626911308745,0.47277186034287283,0.9643582117471007,,,,,,,,
ALLN-vs-KC,Annotator (fold 0),0.6145066618045464,0.07333647887667022,0.5411701829278761,0.9865207552268044,,,,,,,,
ALLN-vs-FB,Annotator (fold 0),0.38531634596717956,0.15686359363665675,0.2284527523305228,0.8944820800598577,,,,,,,,
PN-vs-KC,Annotator (fold 0),0.6812148212621125,0.43568492276167053,0.245529898500442,0.8401607168227929,,,,,,,,
PN-vs-FB,Annotator (fold 0),0.527090973874551,0.29625653174082545,0.2308344421337255,0.8074079090909092,,,,,,,,
KC-vs-FB,Annotator (fold 0),0.5002439886179951,0.29342457085290413,0.206819417765091,0.7838555272455175,,,,,,,,
ALLN-vs-PN,NBLAST (official),0.4745323428411216,0.3626291204661341,0.11190322237498751,0.7466244668911335,,,,,,,,
ALLN-vs-KC,NBLAST (official),0.5295407784305954,0.0012867138785758881,0.5282540645520195,1.0,,,,,,,,
ALLN-vs-FB,NBLAST (official),0.49116703898870473,0.0036346209237996426,0.4875324180649051,0.9999946876169099,,,,,,,,
PN-vs-KC,NBLAST (official),0.4643044858225238,0.0012525205559960422,0.46305196526652775,1.0,,,,,,,,
PN-vs-FB,NBLAST (official),0.4575234200643486,0.06279340122906335,0.39473001883528525,0.998421909090909,,,,,,,,
KC-vs-FB,NBLAST (official),0.47759434394177647,0.02571951935131571,0.45187482459046074,0.999865046364265,,,,,,,,
FB-3way,FineTune_miniLR (fold 0),,,,,,0.8572389506588058,,,,,,0.94
FB-same-vs-opposite-side,FineTune_miniLR (fold 0),0.5705640615159647,0.12785558430911223,0.44270847720685247,0.9912434620940513,,,,,,,,
FB-3way,Annotator (fold 0),,,,,,0.8816060588890378,,,,,,0.95
FB-same-vs-opposite-side,Annotator (fold 0),0.5297110090704672,0.27693286990322596,0.25277813916724123,0.985086705738187,,,,,,,,
FB-3way,NBLAST (official),,,,,,0.8572389506588058,,,,,,0.94
FB-same-vs-opposite-side,NBLAST (official),0.6808888276818816,0.23300195963672693,0.4478868680451547,1.0,,,,,,,,
