fc_id,em_id,score,shift,score_x,score_y,score_z
fru-F-600263,fru-F-600263,1.0,"(9, 9, 9)",116.0,120.0,129.0
fru-F-600263,Trh-F-600066,0.3613707165109034,"(8, 6, 6)",49.0,41.0,26.0
fru-F-600263,VGlut-F-800158,0.18,"(8, 0, 9)",9.0,21.0,6.0
fru-F-600263,G0239-F-000003,0.21095890410958903,"(12, 4, 17)",17.0,21.0,39.0
fru-F-600263,VGlut-F-700044,0.30684931506849317,"(11, 5, 8)",46.0,42.0,24.0
fru-F-600263,VGlut-F-500869,0.1780821917808219,"(2, 0, 8)",21.0,29.0,15.0
fru-F-600263,VGlut-F-800045,0.20273972602739726,"(3, 0, 9)",25.0,33.0,16.0
fru-F-600263,Trh-F-600108,0.40336134453781514,"(13, 3, 9)",53.0,51.0,40.0
fru-F-600263,Gad1-F-400019,0.1256544502617801,"(9, 0, 8)",7.0,15.0,2.0
fru-F-600263,VGlut-F-600023,0.40607734806629836,"(13, 2, 9)",52.0,57.0,38.0
fru-F-600263,Trh-F-500199,0.37433155080213903,"(11, 3, 10)",46.0,50.0,44.0
fru-F-600263,G0239-F-000011,0.18229166666666666,"(6, 0, 12)",6.0,18.0,11.0
fru-F-600263,VGlut-F-500345,0.1830065359477124,"(7, 0, 7)",3.0,22.0,3.0
fru-F-600263,Gad1-F-300223,0.3577075098814229,"(11, 7, 6)",79.0,53.0,49.0
fru-F-600263,Trh-F-000032,0.40668523676880225,"(11, 4, 9)",49.0,55.0,42.0
fru-F-600263,VGlut-F-100195,0.140625,"(9, 0, 10)",7.0,16.0,4.0
fru-F-600263,VGlut-F-800199,0.15810276679841898,"(10, 0, 8)",17.0,19.0,4.0
fru-F-600263,Gad1-F-500029,0.175,"(7, 0, 8)",7.0,18.0,3.0
fru-F-600263,Gad1-F-000394,0.32098765432098764,"(10, 8, 7)",78.0,55.0,49.0
fru-F-600263,G0239-F-000001,0.23835616438356164,"(12, 3, 18)",28.0,24.0,35.0
fru-F-600263,Gad1-F-400536,0.14367816091954022,"(7, 0, 8)",7.0,15.0,3.0
fru-F-600263,VGlut-F-500721,0.35342465753424657,"(10, 8, 8)",43.0,48.0,38.0
fru-F-600263,Gad1-F-400645,0.27671232876712326,"(10, 5, 10)",41.0,35.0,25.0
fru-F-600263,Gad1-F-600662,0.3278985507246377,"(10, 8, 10)",82.0,49.0,50.0
fru-F-600263,G0239-F-000006,0.1813186813186813,"(5, 0, 10)",5.0,18.0,10.0
fru-F-600263,VGlut-F-600316,0.40668523676880225,"(9, 9, 9)",50.0,46.0,50.0
fru-F-600263,VGlut-F-700493,0.24161073825503357,"(0, 0, 9)",29.0,25.0,18.0
fru-F-600263,VGlut-F-800260,0.23013698630136986,"(3, 0, 9)",29.0,35.0,20.0
fru-F-600263,5HT1A-F-300008,0.3383177570093458,"(10, 7, 7)",79.0,54.0,48.0
fru-F-600263,Gad1-F-200344,0.33691756272401435,"(11, 8, 5)",81.0,56.0,51.0
fru-F-600263,VGlut-F-600107,0.4547945205479452,"(8, 9, 9)",55.0,49.0,62.0
fru-F-600263,Gad1-F-500079,0.15625,"(9, 0, 7)",6.0,17.0,2.0
fru-F-600263,VGlut-F-700145,0.2363013698630137,"(3, 0, 9)",27.0,33.0,9.0
fru-F-600263,Gad1-F-800493,0.34468937875751504,"(9, 7, 9)",78.0,48.0,46.0
fru-F-600263,VGlut-F-500567,0.1377245508982036,"(9, 0, 6)",2.0,19.0,2.0
fru-F-600263,Gad1-F-600475,0.3717948717948718,"(11, 6, 6)",74.0,51.0,49.0
fru-F-600263,Trh-F-400014,0.3452054794520548,"(15, 8, 8)",51.0,45.0,30.0
fru-F-600263,Gad1-F-300249,0.3589041095890411,"(11, 3, 7)",55.0,42.0,34.0
fru-F-600263,VGlut-F-700036,0.15932203389830507,"(13, 0, 11)",20.0,22.0,5.0
fru-F-600263,VGlut-F-500410,0.1647940074906367,"(11, 0, 7)",18.0,21.0,5.0
fru-F-600263,VGlut-F-500371,0.1917808219178082,"(2, 0, 10)",23.0,31.0,16.0
fru-F-600263,VGlut-F-600450,0.4602739726027397,"(8, 9, 10)",59.0,47.0,62.0
fru-F-600263,Trh-F-500004,0.3726027397260274,"(14, 4, 9)",55.0,52.0,29.0
fru-F-600263,VGlut-F-600681,0.1718213058419244,"(12, 0, 10)",22.0,24.0,4.0
fru-F-600263,Gad1-F-700276,0.3643835616438356,"(10, 8, 8)",54.0,43.0,36.0
fru-F-600263,Trh-F-600007,0.36772486772486773,"(13, 3, 9)",50.0,54.0,35.0
fru-F-600263,Trh-F-700013,0.12935323383084577,"(10, 0, 8)",2.0,20.0,4.0
fru-F-600263,VGlut-F-700029,0.14776632302405499,"(12, 3, 11)",11.0,25.0,7.0
fru-F-600263,VGlut-F-800041,0.2054794520547945,"(3, 0, 10)",26.0,37.0,12.0
fru-F-600263,VGlut-F-600169,0.21428571428571427,"(0, 0, 8)",24.0,18.0,15.0
fru-F-600263,Gad1-F-800638,0.31534569983136596,"(10, 10, 7)",83.0,52.0,52.0
fru-F-600263,VGlut-F-400497,0.21019108280254778,"(7, 0, 8)",10.0,18.0,5.0
fru-F-600263,Gad1-F-500568,0.3854748603351955,"(11, 1, 8)",44.0,55.0,39.0
fru-F-600263,VGlut-F-800128,0.32054794520547947,"(11, 4, 9)",41.0,48.0,28.0
fru-F-600263,Gad1-F-800021,0.1511627906976744,"(9, 0, 8)",7.0,17.0,2.0
fru-F-600263,Gad1-F-500697,0.33211678832116787,"(9, 8, 7)",80.0,52.0,50.0
fru-F-600263,Trh-F-900031,0.3654390934844193,"(10, 5, 8)",41.0,45.0,43.0
fru-F-600263,VGlut-F-700442,0.2342007434944238,"(0, 0, 8)",26.0,22.0,15.0
fru-F-600263,VGlut-F-700321,0.5628415300546448,"(9, 9, 9)",64.0,61.0,81.0
fru-F-600263,VGlut-F-500425,0.15625,"(10, 0, 9)",18.0,18.0,4.0
fru-F-600263,VGlut-F-500789,0.19452054794520549,"(1, 1, 10)",30.0,23.0,18.0
fru-F-600263,VGlut-F-200334,0.18421052631578946,"(7, 1, 6)",4.0,21.0,3.0
fru-F-600263,VGlut-F-700589,0.21095890410958903,"(4, 0, 9)",27.0,36.0,14.0
fru-F-600263,Trh-F-400000,0.3424657534246575,"(12, 6, 8)",37.0,55.0,33.0
fru-F-600263,VGlut-F-800240,0.16666666666666666,"(10, 2, 8)",15.0,24.0,8.0
fru-F-600263,VGlut-F-800154,0.16917293233082706,"(11, 0, 8)",18.0,22.0,5.0
fru-F-600263,VGlut-F-100376,0.41643835616438357,"(9, 8, 9)",57.0,51.0,44.0
fru-F-600263,Gad1-F-500008,0.14606741573033707,"(8, 0, 10)",7.0,15.0,4.0
fru-F-600263,VGlut-F-500803,0.2040133779264214,"(0, 0, 9)",27.0,23.0,11.0
fru-F-600263,Cha-F-200058,0.3643835616438356,"(10, 10, 8)",49.0,47.0,37.0
fru-F-600263,VGlut-F-800137,0.20821917808219179,"(1, 2, 10)",24.0,37.0,15.0
fru-F-600263,VGlut-F-700339,0.15894039735099338,"(11, 2, 10)",17.0,24.0,7.0
fru-F-600263,VGlut-F-100370,0.5698630136986301,"(9, 8, 9)",72.0,62.0,74.0
fru-F-600263,Trh-F-600072,0.3835227272727273,"(13, 2, 9)",45.0,53.0,37.0
fru-F-600263,VGlut-F-600602,0.19452054794520549,"(3, 0, 9)",25.0,33.0,13.0
fru-F-600263,VGlut-F-600192,0.2445141065830721,"(1, 0, 10)",32.0,33.0,13.0
fru-F-600263,VGlut-F-600785,0.20821917808219179,"(1, 0, 10)",21.0,38.0,17.0
fru-F-600263,VGlut-F-600553,0.3240223463687151,"(11, 3, 9)",41.0,43.0,32.0
fru-F-600263,Gad1-F-900485,0.3211314475873544,"(11, 9, 7)",85.0,56.0,52.0
fru-F-600263,VGlut-F-200586,0.1511627906976744,"(9, 0, 8)",7.0,17.0,2.0
fru-F-600263,VGlut-F-700571,0.14232209737827714,"(11, 0, 9)",16.0,19.0,3.0
fru-F-600263,Trh-F-700021,0.34794520547945207,"(11, 3, 10)",44.0,47.0,36.0
fru-F-600263,VGlut-F-300627,0.3726027397260274,"(11, 5, 8)",51.0,50.0,35.0
fru-F-600263,Gad1-F-700439,0.13636363636363635,"(10, 0, 7)",1.0,24.0,2.0
fru-F-600263,Gad1-F-400824,0.34530938123752497,"(11, 7, 7)",73.0,55.0,45.0
fru-F-600263,VGlut-F-700199,0.15593220338983052,"(12, 1, 9)",19.0,20.0,7.0
fru-F-600263,VGlut-F-200574,0.4876712328767123,"(9, 9, 8)",57.0,47.0,74.0
fru-F-600263,VGlut-F-700574,0.2366412213740458,"(3, 0, 9)",25.0,30.0,7.0
fru-F-600263,VGlut-F-800086,0.16666666666666666,"(12, 3, 9)",17.0,24.0,9.0
fru-F-600263,VGlut-F-500416,0.15666666666666668,"(12, 2, 9)",15.0,25.0,7.0
fru-F-600263,Gad1-F-300563,0.36065573770491804,"(9, 5, 8)",45.0,50.0,37.0
fru-F-600263,fru-F-800076,0.3095890410958904,"(8, 11, 8)",40.0,38.0,35.0
fru-F-600263,VGlut-F-400167,0.37158469945355194,"(13, 5, 8)",49.0,55.0,32.0
fru-F-600263,VGlut-F-300655,0.135,"(9, 0, 11)",9.0,14.0,4.0
fru-F-600263,Gad1-F-500358,0.3065326633165829,"(11, 8, 6)",78.0,54.0,51.0
fru-F-600263,Gad1-F-900562,0.11702127659574468,"(8, 0, 5)",1.0,19.0,2.0
fru-F-600263,Gad1-F-300137,0.42091152815013405,"(10, 6, 7)",62.0,53.0,42.0
fru-F-600263,VGlut-F-700102,0.19726027397260273,"(1, 0, 8)",25.0,29.0,18.0
fru-F-600263,VGlut-F-800085,0.15355805243445692,"(9, 0, 9)",17.0,20.0,4.0
fru-F-600263,Gad1-F-000185,0.3041095890410959,"(7, 10, 8)",46.0,34.0,31.0
fru-F-600263,Gad1-F-400037,0.1375,"(9, 0, 7)",4.0,16.0,2.0
fru-F-600263,VGlut-F-600706,0.20569620253164558,"(1, 0, 9)",26.0,27.0,12.0
fru-F-600263,Gad1-F-000619,0.4767123287671233,"(9, 9, 9)",54.0,56.0,64.0
fru-F-600263,Gad1-F-800183,0.39452054794520547,"(9, 8, 10)",66.0,43.0,35.0
fru-F-600263,Gad1-F-600684,0.27123287671232876,"(9, 5, 8)",42.0,31.0,26.0
fru-F-600263,VGlut-F-200218,0.14444444444444443,"(7, 0, 4)",3.0,20.0,3.0
fru-F-600263,Trh-F-600092,0.3865546218487395,"(13, 3, 9)",50.0,54.0,34.0
fru-F-600263,VGlut-F-500632,0.17586206896551723,"(12, 4, 10)",14.0,27.0,10.0
fru-F-600263,Gad1-F-400339,0.36754176610978523,"(8, 6, 6)",54.0,51.0,49.0
fru-F-600263,VGlut-F-600180,0.17228464419475656,"(10, 2, 9)",13.0,24.0,9.0
fru-F-600263,fru-F-400547,0.4547945205479452,"(9, 8, 9)",52.0,58.0,56.0
fru-F-600263,Gad1-F-500010,0.11926605504587157,"(10, 2, 7)",1.0,22.0,3.0
fru-F-600263,fru-F-500420,0.29863013698630136,"(8, 11, 7)",43.0,30.0,36.0
fru-F-600263,VGlut-F-700551,0.19726027397260273,"(2, 0, 10)",28.0,34.0,10.0
fru-F-600263,VGlut-F-600796,0.19726027397260273,"(2, 0, 9)",28.0,30.0,14.0
fru-F-600263,Gad1-F-700105,0.3698630136986301,"(11, 8, 8)",57.0,41.0,37.0
fru-F-600263,VGlut-F-700473,0.3671497584541063,"(10, 5, 7)",58.0,56.0,38.0
fru-F-600263,VGlut-F-700221,0.36164383561643837,"(9, 8, 9)",43.0,45.0,44.0
fru-F-600263,VGlut-F-800014,0.16990291262135923,"(12, 1, 11)",12.0,21.0,2.0
fru-F-600263,Gad1-F-400667,0.273972602739726,"(10, 5, 11)",40.0,34.0,26.0
fru-F-600263,Gad1-F-900615,0.12359550561797752,"(10, 1, 7)",2.0,18.0,2.0
fru-F-600263,Gad1-F-300664,0.40443213296398894,"(11, 5, 9)",52.0,52.0,42.0
fru-F-600263,Gad1-F-500097,0.1188118811881188,"(7, 0, 11)",6.0,15.0,3.0
fru-F-600263,Gad1-F-600020,0.16770186335403728,"(9, 0, 7)",4.0,21.0,2.0
fru-F-600263,VGlut-F-700488,0.15570934256055363,"(12, 2, 10)",15.0,24.0,6.0
fru-F-600263,VGlut-F-500736,0.16600790513833993,"(11, 0, 8)",16.0,21.0,5.0
fru-F-600263,VGlut-F-500679,0.16560509554140126,"(8, 0, 8)",8.0,16.0,2.0
fru-F-600263,VGlut-F-600461,0.16838487972508592,"(13, 0, 9)",21.0,25.0,3.0
fru-F-600263,VGlut-F-500357,0.5780821917808219,"(8, 9, 10)",72.0,74.0,65.0
fru-F-600263,VGlut-F-300505,0.11210762331838565,"(9, 0, 12)",7.0,14.0,4.0
fru-F-600263,Gad1-F-500154,0.14285714285714285,"(7, 0, 9)",5.0,17.0,3.0
fru-F-600263,VGlut-F-400096,0.352,"(8, 11, 8)",49.0,40.0,43.0
fru-F-600263,VGlut-F-700515,0.4438356164383562,"(7, 9, 9)",50.0,44.0,68.0
fru-F-600263,Gad1-F-400291,0.3983957219251337,"(7, 12, 8)",59.0,46.0,44.0
fru-F-600263,VGlut-F-700267,0.40502793296089384,"(11, 3, 9)",47.0,56.0,42.0
fru-F-600263,Gad1-F-400417,0.37656903765690375,"(9, 9, 7)",80.0,52.0,48.0
fru-F-600263,Gad1-F-300166,0.365,"(10, 6, 9)",56.0,50.0,40.0
fru-F-600263,Trh-F-400030,0.3850129198966408,"(12, 6, 9)",56.0,57.0,36.0
fru-F-600263,Gad1-F-700009,0.17801047120418848,"(10, 0, 9)",9.0,22.0,3.0
fru-F-600263,VGlut-F-600089,0.16666666666666666,"(11, 0, 8)",18.0,16.0,6.0
fru-F-600263,fru-F-500512,0.45738636363636365,"(8, 9, 10)",52.0,46.0,63.0
fru-F-600263,VGlut-F-700420,0.3781094527363184,"(10, 3, 8)",54.0,59.0,39.0
fru-F-600263,VGlut-F-700041,0.15306122448979592,"(9, 1, 8)",16.0,21.0,8.0
fru-F-600263,VGlut-F-100225,0.11055276381909548,"(10, 0, 8)",1.0,19.0,2.0
fru-F-600263,Gad1-F-400082,0.16666666666666666,"(8, 1, 9)",8.0,16.0,4.0
fru-F-600263,VGlut-F-600195,0.1660377358490566,"(6, 0, 9)",19.0,16.0,9.0
fru-F-600263,Gad1-F-600299,0.3559322033898305,"(10, 8, 7)",75.0,49.0,44.0
fru-F-600263,Gad1-F-700238,0.36797752808988765,"(9, 5, 8)",52.0,46.0,33.0
fru-F-600263,Cha-F-300158,0.40821917808219177,"(12, 8, 10)",66.0,42.0,41.0
fru-F-600263,VGlut-F-600556,0.3835616438356164,"(15, 4, 8)",54.0,58.0,28.0
fru-F-600263,VGlut-F-700401,0.1709090909090909,"(9, 1, 8)",18.0,20.0,9.0
fru-F-600263,Gad1-F-400041,0.13186813186813187,"(9, 0, 5)",0.0,21.0,3.0
fru-F-600263,VGlut-F-700555,0.2358490566037736,"(1, 0, 8)",28.0,24.0,23.0
fru-F-600263,VGlut-F-700365,0.19452054794520549,"(0, 0, 9)",28.0,26.0,17.0
fru-F-600263,Gad1-F-700193,0.35276073619631904,"(14, 3, 7)",45.0,45.0,25.0
fru-F-600263,VGlut-F-400178,0.4199475065616798,"(14, 2, 9)",59.0,61.0,40.0
fru-F-600263,Gad1-F-500063,0.17197452229299362,"(8, 0, 9)",9.0,14.0,4.0
fru-F-600263,VGlut-F-600594,0.18356164383561643,"(2, 0, 10)",25.0,30.0,12.0
fru-F-600263,Gad1-F-600055,0.15730337078651685,"(10, 0, 8)",8.0,17.0,3.0
fru-F-600263,G0239-F-000004,0.16,"(6, 0, 10)",4.0,15.0,9.0
fru-F-600263,VGlut-F-800278,0.18904109589041096,"(1, 0, 10)",24.0,31.0,14.0
fru-F-600263,VGlut-F-500660,0.14689265536723164,"(9, 0, 9)",7.0,18.0,1.0
fru-F-600263,VGlut-F-600452,0.41944444444444445,"(8, 9, 9)",49.0,51.0,51.0
