fc_id,cable,frac_neg,wmean_x,soma_x,group
5-HT1B-F-500001,5607.28322656317,1.0,-70.03110800540833,-126.29,ALLN
5HT1A-F-300008,5347.893434805471,1.0,-63.73904613545528,-91.16,ALLN
5HT1A-F-700012,1056.3848842639927,1.0,-60.29257711211561,-136.78,ALLN
Cha-F-200058,1783.0708771698585,1.0,-83.0493475601625,-142.34,ALLN
Cha-F-300158,1647.779436949961,1.0,-76.89247141398391,-140.75,ALLN
Cha-F-300205,1439.680830333662,1.0,-67.03542254607758,-136.56,ALLN
Gad1-F-000355,1171.975962825261,1.0,-67.02940810995993,-71.78,ALLN
Gad1-F-000361,1749.639374095867,1.0,-57.1861938823851,-126.91,ALLN
Gad1-F-000394,4943.507664455124,1.0,-61.86415339364631,-79.35,ALLN
Gad1-F-000492,4414.906916673742,1.0,-47.156286854253935,-104.35,ALLN
Gad1-F-100350,1628.6408153124685,1.0,-77.46290518166492,-151.09,ALLN
Gad1-F-100497,2354.819043912932,1.0,-74.47930221620659,-102.62,ALLN
Gad1-F-100601,4379.2794966326765,1.0,-64.3896635565808,-126.77,ALLN
Gad1-F-200281,3418.8282331547593,1.0,-73.2527491108382,-114.1,ALLN
Gad1-F-200344,7126.988622155563,1.0,-66.95499347875938,-137.07,ALLN
Gad1-F-200461,3586.5651996430292,1.0,-57.42377687410977,-116.22,ALLN
Gad1-F-200479,5964.413780619641,1.0,-66.17968624468858,-132.8,ALLN
Gad1-F-200614,2076.829061710092,1.0,-72.25324998060677,-91.25,ALLN
Gad1-F-300048,1284.154022425372,1.0,-72.94546958251429,-141.56,ALLN
Gad1-F-300137,2674.2389538661873,0.9985030745795216,-51.29533654478619,-130.01,ALLN
Gad1-F-300223,4661.043786093896,1.0,-65.51771226333203,-131.25,ALLN
Gad1-F-300276,2074.277797992435,1.0,-56.974924117058315,-109.28,ALLN
Gad1-F-400291,2872.1928297248596,1.0,-77.88304735402075,-122.12,ALLN
Gad1-F-400417,4358.5056380570095,1.0,-79.75417269482688,-127.89,ALLN
Gad1-F-400645,891.5652988104296,1.0,-76.1037526910898,-131.93,ALLN
Gad1-F-400667,1091.0510669694454,1.0,-70.03985604806846,-101.93,ALLN
Gad1-F-400824,6783.161956864782,1.0,-62.389251331088595,-121.1,ALLN
Gad1-F-500141,1964.7568601277342,1.0,-65.93437114694557,-139.86,ALLN
Gad1-F-500358,7366.824944408823,1.0,-62.349380062633266,-122.28,ALLN
Gad1-F-500382,2378.896557513295,1.0,-73.1718197894038,-89.06,ALLN
Gad1-F-500596,1243.5955530609492,1.0,-66.91915871567548,-119.02,ALLN
Gad1-F-500697,7026.486478325433,1.0,-70.56856144634952,-141.92,ALLN
Gad1-F-600299,4094.1493678576535,1.0,-67.33541692696653,-123.09,ALLN
Gad1-F-600475,5910.034946145615,1.0,-47.224189796240985,-70.77,ALLN
Gad1-F-600662,5841.411768570615,1.0,-70.33819666645014,-125.61,ALLN
Gad1-F-600684,820.4914383966818,1.0,-80.42046596283123,-143.33,ALLN
Gad1-F-700105,1945.0510190540044,1.0,-73.3027543503019,-138.47,ALLN
Gad1-F-700252,2074.453649778874,1.0,-67.82008602965337,-143.88,ALLN
Gad1-F-700276,1529.1598666121345,1.0,-64.63566938125328,-129.67,ALLN
Gad1-F-700488,5712.689361265105,1.0,-56.894859755482,-125.42,ALLN
Gad1-F-800183,1807.4643441819712,1.0,-81.73751359815374,-104.46,ALLN
Gad1-F-800493,4087.7337749041026,1.0,-64.50052879921657,-122.9,ALLN
Gad1-F-800638,10812.281787425185,1.0,-68.7994987087307,-150.89,ALLN
Gad1-F-900200,2211.8870053936444,1.0,-70.09014474054261,-130.8,ALLN
Gad1-F-900485,8711.584163872167,1.0,-66.97428164761024,-119.22,ALLN
fru-F-400442,1210.1026577772416,1.0,-120.79495590144393,-87.53,PN
fru-F-400547,1312.5342663390365,1.0,-80.69911354224838,-62.75,PN
fru-F-500420,870.7112925249504,1.0,-130.59504752106548,-92.43,PN
fru-F-500439,1068.23051791751,1.0,-105.76335940715595,-108.7,PN
fru-F-500442,1572.8484452334444,1.0,-89.74547586876149,-49.94,PN
fru-F-500512,1315.9437826097123,1.0,-89.08910746006335,-18.06,PN
fru-F-600263,1649.117791699604,1.0,-119.21484774183257,-39.33,PN
fru-F-700165,1359.4009360465527,1.0,-114.30517447723486,-30.11,PN
fru-F-800076,1132.5692474449052,1.0,-119.75166590468227,-97.94,PN
Gad1-F-000185,840.2939698682441,1.0,-137.56779094807396,-101.86,PN
Gad1-F-000550,1429.4740648498744,1.0,-115.55689699796531,-33.29,PN
Gad1-F-000619,1340.2287537300701,1.0,-103.8072853187061,-26.61,PN
Gad1-F-100061,2146.2862464506825,1.0,-71.76396728690021,-125.0,PN
Gad1-F-200064,1165.355179748602,1.0,-119.01280874447755,-145.03,PN
Gad1-F-300166,1752.5380336801254,1.0,-107.45933497523366,-106.08,PN
Gad1-F-300249,1463.833464331234,1.0,-86.5870269235655,-93.79,PN
Gad1-F-300563,1394.69528593931,1.0,-116.09348190368469,-98.45,PN
Gad1-F-300664,1801.8029707835146,1.0,-92.1031911455231,-95.53,PN
Gad1-F-400129,817.6807960451724,1.0,-112.94582988545159,-34.41,PN
Gad1-F-400314,1204.3114925542422,1.0,-88.75479806564597,-83.68,PN
Gad1-F-400339,2433.6515077475806,1.0,-149.65071486862297,-90.06,PN
Gad1-F-500088,1456.749772145707,1.0,-117.00980947925738,-84.01,PN
Gad1-F-500568,1673.242281121614,1.0,-100.95050445611707,-78.84,PN
Gad1-F-500838,895.0534636546063,1.0,-138.6656149778225,-90.81,PN
Gad1-F-700193,1460.1337918358179,1.0,-91.58763938834869,-66.02,PN
Gad1-F-700238,1527.3231580079,1.0,-102.87364799763091,-75.32,PN
Gad1-F-700616,1116.1718430091073,1.0,-152.96927106132185,-129.8,PN
Gad1-F-900093,1621.3095165307316,1.0,-142.7471744706911,-96.57,PN
Trh-F-000032,1311.5682594274297,1.0,-142.1722770991084,-88.05,PN
Trh-F-300080,1301.7163314507575,1.0,-114.16653897867498,-96.68,PN
Trh-F-400000,1564.3125652322876,1.0,-89.17166720351479,-108.46,PN
Trh-F-400014,1163.8174075628299,1.0,-101.24271851927753,-140.87,PN
Trh-F-400030,1567.7909628320874,1.0,-89.02881724867716,-81.84,PN
Trh-F-500004,1462.3414657041824,1.0,-104.32857646679986,-102.21,PN
Trh-F-500049,1417.5591613359707,1.0,-117.5035427448003,-65.52,PN
Trh-F-500061,1418.5250554686481,1.0,-92.91633820452917,-85.04,PN
Trh-F-500199,1902.9407809002726,0.9988646958180881,-91.82635019625314,-89.54,PN
Trh-F-500211,1205.3809518811545,1.0,-91.45848997981389,-137.7,PN
Trh-F-500220,935.5968514403651,1.0,-100.46382745509632,-117.85,PN
Trh-F-600007,1603.915412636415,1.0,-101.09979471901727,-121.86,PN
Trh-F-600066,1437.1321001004017,1.0,-128.14937061987828,-90.11,PN
Trh-F-600072,1388.9782853068582,1.0,-120.74370132718737,-86.14,PN
Trh-F-600092,1302.1802842041002,1.0,-106.95367285224252,-85.71,PN
Trh-F-600108,1194.9257008095951,1.0,-111.11996490400787,-66.36,PN
Trh-F-700019,1291.5508730994006,1.0,-104.271103199729,-88.05,PN
Trh-F-700021,935.3339132361941,1.0,-96.60982375088166,-137.67,PN
Trh-F-800002,1622.909852160743,1.0,-108.08498311563613,-79.13,PN
Trh-F-900031,1368.1757435854502,0.9837746381464452,-106.80388616493573,-63.36,PN
VGlut-F-000563,911.1940417163714,1.0,-131.64519410267948,-20.97,PN
VGlut-F-100370,1711.1627862579517,1.0,-119.0219505428116,-47.69,PN
VGlut-F-100376,1059.6578347887937,1.0,-94.12512772933373,-24.33,PN
VGlut-F-200559,1562.2459995350432,1.0,-70.3502391374183,-13.52,PN
VGlut-F-200571,1310.2456681151648,1.0,-106.36770575171988,-96.62,PN
VGlut-F-200574,1126.388856631836,1.0,-133.52999808984157,-114.94,PN
VGlut-F-300627,1643.4827218871196,1.0,-82.98219058494568,-132.19,PN
VGlut-F-300636,1497.080275133123,1.0,-89.21512462980598,-84.15,PN
VGlut-F-400096,1709.8743928420608,1.0,-100.16877235583787,-93.14,PN
VGlut-F-400151,1701.12492165765,1.0,-83.08093427168195,-127.53,PN
VGlut-F-400167,1543.931725749157,1.0,-98.89670205341257,-110.61,PN
VGlut-F-400178,1638.1218284930374,1.0,-90.08927857289574,-104.14,PN
VGlut-F-400225,1607.2808255737368,1.0,-113.55517766707231,-90.69,PN
VGlut-F-400263,1471.750041923402,1.0,-86.04165697535484,-79.29,PN
VGlut-F-400434,3332.726873910901,1.0,-86.09368962082729,-4.66,PN
VGlut-F-500039,1218.2828697889424,1.0,-89.94260203656549,-102.54,PN
VGlut-F-500092,1251.1979927267316,1.0,-106.8231429197168,-90.29,PN
VGlut-F-500114,1495.1212982771701,1.0,-110.93028593400078,-111.04,PN
VGlut-F-500300,1075.0798632060714,1.0,-131.84942617939714,-96.73,PN
VGlut-F-500357,1539.933576713538,1.0,-123.38257660177418,-44.83,PN
VGlut-F-500551,1131.5313547585001,1.0,-113.14030382252558,-118.01,PN
VGlut-F-500721,1076.6986839883036,1.0,-119.80065096785945,-93.84,PN
VGlut-F-500761,1033.2253008022606,1.0,-108.7307178294807,-89.43,PN
VGlut-F-500787,1368.2532017689082,1.0,-110.44332634531895,-91.5,PN
VGlut-F-500809,1276.1097420519764,1.0,-122.17164309398228,-107.2,PN
VGlut-F-600023,1612.6420547283224,1.0,-92.08990557910838,-81.89,PN
VGlut-F-600107,1277.3789410453205,1.0,-112.86173733957312,-153.41,PN
VGlut-F-600316,878.244277392295,1.0,-100.7043595505457,-22.02,PN
VGlut-F-600366,2062.7177427410097,1.0,-97.84626212374255,-52.84,PN
VGlut-F-600450,1063.8406276085357,1.0,-119.15107784454992,-117.33,PN
VGlut-F-600452,946.0463260116969,1.0,-118.74755512866035,-43.37,PN
VGlut-F-600553,869.4014872600849,1.0,-117.90767349909896,-82.72,PN
VGlut-F-600556,1240.3150854414714,1.0,-103.795714732293,-95.26,PN
VGlut-F-600669,2374.1829538989314,1.0,-81.4214944198758,-93.22,PN
VGlut-F-600787,1303.392895710561,1.0,-86.88701872141331,-18.14,PN
VGlut-F-700044,851.7155377032861,1.0,-104.44720833554446,-86.9,PN
VGlut-F-700076,1441.4193425517308,1.0,-104.35145697209137,-97.87,PN
VGlut-F-700218,1635.9789638423895,1.0,-119.32391653059348,-123.58,PN
VGlut-F-700221,952.5626109521518,1.0,-104.71105019443638,-73.95,PN
VGlut-F-700267,1147.4054426889052,1.0,-101.59064331949602,-108.15,PN
VGlut-F-700321,2041.7928418297938,1.0,-108.81160390435626,-35.83,PN
VGlut-F-700410,1322.1044295698657,1.0,-100.8773252829147,-93.66,PN
VGlut-F-700420,2270.155361556848,1.0,-105.55281056082237,-126.98,PN
VGlut-F-700428,1378.5183461154147,1.0,-124.74924528178632,-104.34,PN
VGlut-F-700473,1912.2467421114893,1.0,-101.66344186611468,-86.71,PN
VGlut-F-700515,878.4068814768566,1.0,-110.84907773332914,-136.21,PN
VGlut-F-700569,1418.5941289680459,1.0,-97.04583030934756,-88.73,PN
VGlut-F-800128,999.8246566288598,1.0,-90.45388301978397,-98.83,PN
VGlut-F-800257,1248.6487301037469,1.0,-82.24791536005637,-74.96,PN
VGlut-F-800276,1107.039329438204,1.0,-99.24343494834602,-105.23,PN
VGlut-F-900045,1132.5123284588403,1.0,-78.65035739386745,-38.4,PN
VGlut-F-900120,1717.3117110397761,1.0,-97.03545370161685,-121.0,PN
Gad1-F-400019,537.8373809440843,0.0,106.27750485542524,142.34,KC
Gad1-F-400037,605.3606537249981,0.0,117.2215089491919,189.18,KC
Gad1-F-400040,760.7382439768012,0.0,88.73530722384751,80.53,KC
